 Nascidos vivos - Brasil
Nascim p/resid.mãeNascim p/ocorrênc por Município
Período:2000-2022
"Município";"Nascim_p/resid.mãe";"Nascim_p/ocorrênc"
"150010 ABAETETUBA";61877;57915
"150013 ABEL FIGUEIREDO";2638;1336
"150020 ACARA";20772;12515
"150030 AFUA";18779;7028
"150034 AGUA AZUL DO NORTE";4488;2934
"150040 ALENQUER";28715;29911
"150050 ALMEIRIM";17991;20559
"150060 ALTAMIRA";52921;66853
"150070 ANAJAS";15334;13700
"150080 ANANINDEUA";202835;150630
"150085 ANAPU";11070;8245
"150090 AUGUSTO CORREA";21630;9599
"150095 AURORA DO PARA";9698;4953
"150100 AVEIRO";5143;2578
"150110 BAGRE";11062;8960
"150120 BAIAO";11973;10365
"150125 BANNACH";1146;218
"150130 BARCARENA";46362;41502
"150140 BELEM";503791;687000
"150145 BELTERRA";6013;2097
"150150 BENEVIDES";21969;5544
"150157 BOM JESUS DO TOCANTINS";5686;4290
"150160 BONITO";4413;206
"150170 BRAGANCA";51183;80981
"150172 BRASIL NOVO";6901;6027
"150175 BREJO GRANDE DO ARAGUAIA";2556;1578
"150178 BREU BRANCO";17571;6064
"150180 BREVES";54191;56948
"150190 BUJARU";11192;6968
"150195 CACHOEIRA DO PIRIA";6657;1339
"150200 CACHOEIRA DO ARARI";6116;4888
"150210 CAMETA";58492;62788
"150215 CANAA DOS CARAJAS";19159;17245
"150220 CAPANEMA";26460;54827
"150230 CAPITAO POCO";19814;24498
"150240 CASTANHAL";75686;122791
"150250 CHAVES";6414;2519
"150260 COLARES";3922;1269
"150270 CONCEICAO DO ARAGUAIA";20000;21596
"150275 CONCORDIA DO PARA";10812;8744
"150276 CUMARU DO NORTE";2998;1211
"150277 CURIONOPOLIS";8646;5423
"150280 CURRALINHO";12792;11213
"150285 CURUA";5259;2420
"150290 CURUCA";10907;3648
"150293 DOM ELISEU";18716;18267
"150295 ELDORADO DOS CARAJAS";13313;9480
"150300 FARO";3359;3007
"150304 FLORESTA DO ARAGUAIA";6808;5453
"150307 GARRAFAO DO NORTE";11164;4242
"150309 GOIANESIA DO PARA";15177;16250
"150310 GURUPA";15476;12466
"150320 IGARAPE-ACU";13554;4685
"150330 IGARAPE-MIRI";26633;23537
"150340 INHANGAPI";4014;226
"150345 IPIXUNA DO PARA";12971;9627
"150350 IRITUIA";11886;3995
"150360 ITAITUBA";58194;62568
"150370 ITUPIRANGA";21374;16690
"150375 JACAREACANGA";10952;10510
"150380 JACUNDA";22926;23078
"150390 JURUTI";20620;19967
"150400 LIMOEIRO DO AJURU";10352;6435
"150405 MAE DO RIO";15161;16496
"150410 MAGALHAES BARATA";2454;666
"150420 MARABA";108469;124685
"150430 MARACANA";9443;5106
"150440 MARAPANIM";7198;2400
"150442 MARITUBA";39288;48277
"150445 MEDICILANDIA";11212;9260
"150450 MELGACO";12512;8976
"150460 MOCAJUBA";11762;12412
"150470 MOJU";27839;18926
"150475 MOJUI DOS CAMPOS";2342;24
"150480 MONTE ALEGRE";27296;28944
"150490 MUANA";11858;10475
"150495 NOVA ESPERANCA DO PIRIA";8426;5591
"150497 NOVA IPIXUNA";4741;622
"150500 NOVA TIMBOTEUA";3824;306
"150503 NOVO PROGRESSO";11524;12109
"150506 NOVO REPARTIMENTO";29485;30274
"150510 OBIDOS";24102;24665
"150520 OEIRAS DO PARA";16138;12498
"150530 ORIXIMINA";34280;34214
"150540 OUREM";7093;4604
"150543 OURILANDIA DO NORTE";12057;11884
"150548 PACAJA";15832;11100
"150549 PALESTINA DO PARA";3215;2252
"150550 PARAGOMINAS";47141;45736
"150553 PARAUAPEBAS";90440;97012
"150555 PAU D'ARCO";2956;2474
"150560 PEIXE-BOI";2637;212
"150563 PICARRA";3756;594
"150565 PLACAS";6372;4348
"150570 PONTA DE PEDRAS";7101;3567
"150580 PORTEL";29402;27677
"150590 PORTO DE MOZ";14993;14084
"150600 PRAINHA";15067;11425
"150610 PRIMAVERA";4461;1765
"150611 QUATIPURU";4425;1007
"150613 REDENCAO";39403;48532
"150616 RIO MARIA";7627;7305
"150618 RONDON DO PARA";18760;19565
"150619 RUROPOLIS";10012;10133
"150620 SALINOPOLIS";16655;20753
"150630 SALVATERRA";7315;6630
"150635 SANTA BARBARA DO PARA";6727;89
"150640 SANTA CRUZ DO ARARI";1749;1312
"150650 SANTA IZABEL DO PARA";21830;10738
"150655 SANTA LUZIA DO PARA";8258;1001
"150658 SANTA MARIA DAS BARREIRAS";3940;1365
"150660 SANTA MARIA DO PARA";10251;9021
"150670 SANTANA DO ARAGUAIA";14260;13641
"150680 SANTAREM";151587;162254
"150690 SANTAREM NOVO";2350;371
"150700 SANTO ANTONIO DO TAUA";11478;9832
"150710 SAO CAETANO DE ODIVELAS";5141;1271
"150715 SAO DOMINGOS DO ARAGUAIA";10225;7597
"150720 SAO DOMINGOS DO CAPIM";13801;6757
"150730 SAO FELIX DO XINGU";22243;18798
"150740 SAO FRANCISCO DO PARA";5316;227
"150745 SAO GERALDO DO ARAGUAIA";12596;11238
"150746 SAO JOAO DA PONTA";1776;345
"150747 SAO JOAO DE PIRABAS";7412;2984
"150750 SAO JOAO DO ARAGUAIA";4705;1643
"150760 SAO MIGUEL DO GUAMA";23418;17625
"150770 SAO SEBASTIAO DA BOA VISTA";10091;10665
"150775 SAPUCAIA";2142;979
"150780 SENADOR JOSE PORFIRIO";6645;2739
"150790 SOURE";9109;9120
"150795 TAILANDIA";34549;32495
"150796 TERRA ALTA";4087;274
"150797 TERRA SANTA";6886;6592
"150800 TOME-ACU";27794;25924
"150803 TRACUATEUA";12545;869
"150805 TRAIRAO";5439;3650
"150808 TUCUMA";15438;16567
"150810 TUCURUI";45378;59130
"150812 ULIANOPOLIS";10212;9099
"150815 URUARA";18693;17973
"150820 VIGIA";17915;12299
"150830 VISEU";27220;19006
"150835 VITORIA DO XINGU";6079;3538
"150840 XINGUARA";19802;20539
" MUNICIPIO IGNORADO - AP";8;-
"160005 SERRA DO NAVIO";1934;931
"160010 AMAPA";3850;2747
"160015 PEDRA BRANCA DO AMAPARI";4562;1818
"160020 CALCOENE";4377;3115
"160021 CUTIAS";2081;941
"160023 FERREIRA GOMES";3205;1121
"160025 ITAUBAL";2287;622
"160027 LARANJAL DO JARI";20131;21806
"160030 MACAPA";205848;249374
"160040 MAZAGAO";10009;2064
"160050 OIAPOQUE";10674;9845
"160053 PORTO GRANDE";7773;2866
"160055 PRACUUBA";1658;719
"160060 SANTANA";51681;60266
"160070 TARTARUGALZINHO";6175;3672
"160080 VITORIA DO JARI";6401;1575
" MUNICIPIO IGNORADO - TO";53;4
"170025 ABREULANDIA";844;119
"170030 AGUIARNOPOLIS";1753;13
"170035 ALIANCA DO TOCANTINS";1980;131
"170040 ALMAS";3308;535
"170070 ALVORADA";2896;442
"170100 ANANAS";4589;3278
"170105 ANGICO";1070;6
"170110 APARECIDA DO RIO NEGRO";1642;145
"170130 ARAGOMINAS";1950;39
"170190 ARAGUACEMA";2366;1286
"170200 ARAGUACU";2827;2321
"170210 ARAGUAINA";68786;128243
"170215 ARAGUANA";2159;62
"170220 ARAGUATINS";13633;5269
"170230 ARAPOEMA";2915;2477
"170240 ARRAIAS";4227;5224
"170255 AUGUSTINOPOLIS";8136;38157
"170270 AURORA DO TOCANTINS";974;166
"170290 AXIXA DO TOCANTINS";5217;478
"170300 BABACULANDIA";2933;116
"170305 BANDEIRANTES DO TOCANTINS";1092;5
"170307 BARRA DO OURO";1801;141
"170310 BARROLANDIA";1874;289
"170320 BERNARDO SAYAO";1472;12
"170330 BOM JESUS DO TOCANTINS";1574;8
"170360 BRASILANDIA DO TOCANTINS";726;4
"170370 BREJINHO DE NAZARE";1946;350
"170380 BURITI DO TOCANTINS";3916;686
"170382 CACHOEIRINHA";797;12
"170384 CAMPOS LINDOS";3057;432
"170386 CARIRI DO TOCANTINS";1133;28
"170388 CARMOLANDIA";980;10
"170389 CARRASCO BONITO";1729;18
"170390 CASEARA";1820;293
"170410 CENTENARIO";801;89
"170460 CHAPADA DE AREIA";412;5
"170510 CHAPADA DA NATIVIDADE";1142;26
"170550 COLINAS DO TOCANTINS";14632;13698
"170555 COMBINADO";1708;834
"170560 CONCEICAO DO TOCANTINS";1655;601
"170600 COUTO MAGALHAES";1657;52
"170610 CRISTALANDIA";2432;1152
"170625 CRIXAS DO TOCANTINS";480;6
"170650 DARCINOPOLIS";2214;56
"170700 DIANOPOLIS";8028;11131
"170710 DIVINOPOLIS DO TOCANTINS";2479;142
"170720 DOIS IRMAOS DO TOCANTINS";1685;170
"170730 DUERE";1535;107
"170740 ESPERANTINA";4183;651
"170755 FATIMA";1382;30
"170765 FIGUEIROPOLIS";1774;490
"170770 FILADELFIA";2956;453
"170820 FORMOSO DO ARAGUAIA";7749;4158
"170825 FORTALEZA DO TABOCAO";1108;1
"170830 GOIANORTE";1535;438
"170900 GOIATINS";6108;3518
"170930 GUARAI";9538;15835
"170950 GURUPI";31142;48987
"170980 IPUEIRAS";620;3
"171050 ITACAJA";3229;2624
"171070 ITAGUATINS";2262;652
"171090 ITAPIRATINS";1125;21
"171110 ITAPORA DO TOCANTINS";1001;399
"171150 JAU DO TOCANTINS";943;51
"171180 JUARINA";796;6
"171190 LAGOA DA CONFUSAO";4474;270
"171195 LAGOA DO TOCANTINS";1559;170
"171200 LAJEADO";1154;11
"171215 LAVANDEIRA";504;14
"171240 LIZARDA";1238;378
"171245 LUZINOPOLIS";1049;30
"171250 MARIANOPOLIS DO TOCANTINS";1497;139
"171270 MATEIROS";929;219
"171280 MAURILANDIA DO TOCANTINS";972;48
"171320 MIRACEMA DO TOCANTINS";9239;16172
"171330 MIRANORTE";4848;475
"171360 MONTE DO CARMO";2306;114
"171370 MONTE SANTO DO TOCANTINS";635;13
"171380 PALMEIRAS DO TOCANTINS";1773;20
"171395 MURICILANDIA";1425;52
"171420 NATIVIDADE";3404;2001
"171430 NAZARE";1671;1000
"171488 NOVA OLINDA";4607;273
"171500 NOVA ROSALANDIA";1212;41
"171510 NOVO ACORDO";1635;224
"171515 NOVO ALEGRE";531;9
"171525 NOVO JARDIM";975;32
"171550 OLIVEIRA DE FATIMA";446;2
"171570 PALMEIRANTE";1579;86
"171575 PALMEIROPOLIS";2293;1211
"171610 PARAISO DO TOCANTINS";18859;28945
"171620 PARANA";3961;3043
"171630 PAU D'ARCO";1511;42
"171650 PEDRO AFONSO";5454;8937
"171660 PEIXE";3423;2294
"171665 PEQUIZEIRO";1567;26
"171670 COLMEIA";3246;1606
"171700 PINDORAMA DO TOCANTINS";1522;281
"171720 PIRAQUE";1005;314
"171750 PIUM";2335;1151
"171780 PONTE ALTA DO BOM JESUS";1466;254
"171790 PONTE ALTA DO TOCANTINS";2795;450
"171800 PORTO ALEGRE DO TOCANTINS";1106;32
"171820 PORTO NACIONAL";23696;36427
"171830 PRAIA NORTE";3097;25
"171840 PRESIDENTE KENNEDY";1463;854
"171845 PUGMIL";790;16
"171850 RECURSOLANDIA";1755;495
"171855 RIACHINHO";1526;21
"171865 RIO DA CONCEICAO";755;15
"171870 RIO DOS BOIS";932;3
"171875 RIO SONO";1763;239
"171880 SAMPAIO";2010;37
"171884 SANDOLANDIA";1035;14
"171886 SANTA FE DO ARAGUAIA";3142;129
"171888 SANTA MARIA DO TOCANTINS";1000;30
"171889 SANTA RITA DO TOCANTINS";548;2
"171890 SANTA ROSA DO TOCANTINS";1921;184
"171900 SANTA TEREZA DO TOCANTINS";1128;51
"172000 SANTA TEREZINHA DO TOCANTINS";811;6
"172010 SAO BENTO DO TOCANTINS";1842;180
"172015 SAO FELIX DO TOCANTINS";600;59
"172020 SAO MIGUEL DO TOCANTINS";2800;169
"172025 SAO SALVADOR DO TOCANTINS";785;83
"172030 SAO SEBASTIAO DO TOCANTINS";1842;347
"172049 SAO VALERIO";1551;498
"172065 SILVANOPOLIS";2058;374
"172080 SITIO NOVO DO TOCANTINS";3686;732
"172085 SUCUPIRA";595;3
"172090 TAGUATINGA";5336;5814
"172093 TAIPAS DO TOCANTINS";714;23
"172097 TALISMA";670;8
"172100 PALMAS";103823;137145
"172110 TOCANTINIA";4302;272
"172120 TOCANTINOPOLIS";10533;12057
"172125 TUPIRAMA";536;1
"172130 TUPIRATINS";583;12
"172208 WANDERLANDIA";3684;393
"172210 XAMBIOA";6116;7146
" MUNICIPIO IGNORADO - MA";84;-
