 Nascidos vivos - Brasil
Nascim p/resid.mãeNascim p/ocorrênc por Município
Período:2000-2022
"Município";"Nascim_p/resid.mãe";"Nascim_p/ocorrênc"
"250905 MARCACAO";3500;87
"250910 MARI";6495;362
"250915 MARIZOPOLIS";2041;-
"250920 MASSARANDUBA";4344;526
"250930 MATARACA";3399;94
"250933 MATINHAS";1641;33
"250937 MATO GROSSO";819;2
"250939 MATUREIA";2354;32
"250940 MOGEIRO";4576;49
"250950 MONTADAS";1951;22
"250960 MONTE HOREBE";1544;15
"250970 MONTEIRO";11359;18926
"250980 MULUNGU";3118;71
"250990 NATUBA";2673;747
"251000 NAZAREZINHO";2434;142
"251010 NOVA FLORESTA";3660;1420
"251020 NOVA OLINDA";2226;573
"251030 NOVA PALMEIRA";1110;4
"251040 OLHO D'AGUA";2609;348
"251050 OLIVEDOS";1080;4
"251060 OURO VELHO";973;2
"251065 PARARI";535;1
"251070 PASSAGEM";837;11
"251080 PATOS";36230;81593
"251090 PAULISTA";3343;120
"251100 PEDRA BRANCA";1321;13
"251110 PEDRA LAVRADA";2288;1448
"251120 PEDRAS DE FOGO";11018;4654
"251130 PIANCO";4871;8662
"251140 PICUI";6803;15900
"251150 PILAR";4259;412
"251160 PILOES";3057;19
"251170 PILOEZINHOS";1998;11
"251180 PIRPIRITUBA";3422;102
"251190 PITIMBU";6450;116
"251200 POCINHOS";6720;1036
"251203 POCO DANTAS";1470;88
"251207 POCO DE JOSE DE MOURA";1164;9
"251210 POMBAL";9981;16049
"251220 PRATA";1288;60
"251230 PRINCESA ISABEL";7358;11636
"251240 PUXINANA";4881;70
"251250 QUEIMADAS";15146;5504
"251260 QUIXABA";690;43
"251270 REMIGIO";6538;408
"251272 PEDRO REGIS";1648;30
"251274 RIACHAO";1184;4
"251275 RIACHAO DO BACAMARTE";1472;11
"251276 RIACHAO DO POCO";1381;17
"251278 RIACHO DE SANTO ANTONIO";839;4
"251280 RIACHO DOS CAVALOS";2932;43
"251290 RIO TINTO";7758;4081
"251300 SALGADINHO";1234;9
"251310 SALGADO DE SAO FELIX";3376;8
"251315 SANTA CECILIA";2166;18
"251320 SANTA CRUZ";1734;100
"251330 SANTA HELENA";1680;49
"251335 SANTA INES";1026;29
"251340 SANTA LUZIA";4879;4451
"251350 SANTANA DE MANGUEIRA";1725;99
"251360 SANTANA DOS GARROTES";2217;107
"251365 JOCA CLAUDINO";659;1
"251370 SANTA RITA";51691;55149
"251380 SANTA TERESINHA";1713;196
"251385 SANTO ANDRE";695;5
"251390 SAO BENTO";10645;7676
"251392 SAO BENTINHO";1171;3
"251394 SAO DOMINGOS DO CARIRI";741;12
"251396 SAO DOMINGOS";836;8
"251398 SAO FRANCISCO";1116;4
"251400 SAO JOAO DO CARIRI";1341;6
"251410 SAO JOAO DO TIGRE";1346;55
"251420 SAO JOSE DA LAGOA TAPADA";2425;50
"251430 SAO JOSE DE CAIANA";2344;613
"251440 SAO JOSE DE ESPINHARAS";1456;3
"251445 SAO JOSE DOS RAMOS";1952;15
"251450 SAO JOSE DE PIRANHAS";6498;1096
"251455 SAO JOSE DE PRINCESA";1018;5
"251460 SAO JOSE DO BONFIM";1323;16
"251465 SAO JOSE DO BREJO DO CRUZ";548;4
"251470 SAO JOSE DO SABUGI";1122;5
"251480 SAO JOSE DOS CORDEIROS";1180;2
"251490 SAO MAMEDE";2587;1191
"251500 SAO MIGUEL DE TAIPU";2445;16
"251510 SAO SEBASTIAO DE LAGOA DE ROCA";3442;16
"251520 SAO SEBASTIAO DO UMBUZEIRO";1083;12
"251530 SAPE";17138;7788
"251540 SAO VICENTE DO SERIDO";3969;1048
"251550 SERRA BRANCA";3672;3047
"251560 SERRA DA RAIZ";931;9
"251570 SERRA GRANDE";1078;67
"251580 SERRA REDONDA";2231;36
"251590 SERRARIA";2127;252
"251593 SERTAOZINHO";1580;7
"251597 SOBRADO";2503;1
"251600 SOLANEA";9975;10935
"251610 SOLEDADE";5040;1438
"251615 SOSSEGO";1251;16
"251620 SOUSA";23277;43329
"251630 SUME";5531;8754
"251640 TACIMA";2638;8
"251650 TAPEROA";5170;1499
"251660 TAVARES";4862;812
"251670 TEIXEIRA";5840;1657
"251675 TENORIO";990;7
"251680 TRIUNFO";2716;179
"251690 UIRAUNA";4274;3804
"251700 UMBUZEIRO";2926;78
"251710 VARZEA";719;9
"251720 VIEIROPOLIS";1258;5
"251740 ZABELE";827;-
" MUNICIPIO IGNORADO - PE";142;5
"260005 ABREU E LIMA";32731;18969
"260010 AFOGADOS DA INGAZEIRA";14249;43493
"260020 AFRANIO";7352;4718
"260030 AGRESTINA";8393;8284
"260040 AGUA PRETA";12569;1349
"260050 AGUAS BELAS";18994;11548
"260060 ALAGOINHA";4833;718
"260070 ALIANCA";13737;4295
"260080 ALTINHO";6711;2473
"260090 AMARAJI";7934;2626
"260100 ANGELIM";3727;1290
"260105 ARACOIABA";7444;1009
"260110 ARARIPINA";38995;49060
"260120 ARCOVERDE";27568;63263
"260130 BARRA DE GUABIRABA";4504;1126
"260140 BARREIROS";18370;17929
"260150 BELEM DE MARIA";3775;811
"260160 BELEM DE SAO FRANCISCO";9075;5283
"260170 BELO JARDIM";28290;19466
"260180 BETANIA";4956;2529
"260190 BEZERROS";19170;15838
"260200 BODOCO";14194;7286
"260210 BOM CONSELHO";15852;10565
"260220 BOM JARDIM";11961;3014
"260230 BONITO";15654;9279
"260240 BREJAO";4490;2479
"260250 BREJINHO";2690;234
"260260 BREJO DA MADRE DE DEUS";17487;6245
"260270 BUENOS AIRES";4590;898
"260280 BUIQUE";23787;10796
"260290 CABO DE SANTO AGOSTINHO";73642;40986
"260300 CABROBO";13554;9368
"260310 CACHOEIRINHA";6879;2494
"260320 CAETES";10538;6105
"260330 CALCADO";3608;1426
"260340 CALUMBI";2437;43
"260345 CAMARAGIBE";52449;23665
"260350 CAMOCIM DE SAO FELIX";5528;992
"260360 CAMUTANGA";2901;432
"260370 CANHOTINHO";9004;5865
"260380 CAPOEIRAS";7274;2623
"260390 CARNAIBA";6915;959
"260392 CARNAUBEIRA DA PENHA";7179;1992
"260400 CARPINA";24736;11692
"260410 CARUARU";125812;210573
"260415 CASINHAS";4662;978
"260420 CATENDE";13677;3288
"260430 CEDRO";4156;1593
"260440 CHA DE ALEGRIA";4767;669
"260450 CHA GRANDE";7367;3345
"260460 CONDADO";8460;1625
"260470 CORRENTES";5812;2633
"260480 CORTES";5421;3551
"260490 CUMARU";4676;1320
"260500 CUPIRA";8729;3901
"260510 CUSTODIA";13031;14304
"260515 DORMENTES";6490;2563
"260520 ESCADA";25816;18480
"260530 EXU";12934;5627
"260540 FEIRA NOVA";7694;2425
"260545 FERNANDO DE NORONHA";467;51
"260550 FERREIROS";3698;36
"260560 FLORES";7183;1022
"260570 FLORESTA";11953;15931
"260580 FREI MIGUELINHO";3854;491
"260590 GAMELEIRA";8957;2463
"260600 GARANHUNS";53456;113761
"260610 GLORIA DO GOITA";9436;1174
"260620 GOIANA";28695;17211
"260630 GRANITO";2572;940
"260640 GRAVATA";26244;8233
"260650 IATI";8411;5549
"260660 IBIMIRIM";11604;5976
"260670 IBIRAJUBA";2516;772
"260680 IGARASSU";35828;3387
"260690 IGUARACY";3764;436
"260700 INAJA";7847;3984
"260710 INGAZEIRA";1436;32
"260720 IPOJUCA";36730;14738
"260730 IPUBI";13291;6361
"260740 ITACURUBA";1921;564
"260750 ITAIBA";10727;5555
"260760 ILHA DE ITAMARACA";7167;880
"260765 ITAMBE";12130;3860
"260770 ITAPETIM";4802;5374
"260775 ITAPISSUMA";8709;477
"260780 ITAQUITINGA";5956;1477
"260790 JABOATAO DOS GUARARAPES";216602;121537
"260795 JAQUEIRA";4794;322
"260800 JATAUBA";6412;3378
"260805 JATOBA";5565;2284
"260810 JOAO ALFREDO";9422;2704
"260820 JOAQUIM NABUCO";6486;1029
"260825 JUCATI";4346;22
"260830 JUPI";6563;3076
"260840 JUREMA";5541;2593
"260845 LAGOA DO CARRO";5428;1102
"260850 LAGOA DE ITAENGA";9041;3136
"260860 LAGOA DO OURO";4914;2755
"260870 LAGOA DOS GATOS";5138;1642
"260875 LAGOA GRANDE";9612;4189
"260880 LAJEDO";15724;8510
"260890 LIMOEIRO";19555;48752
"260900 MACAPARANA";9532;7021
"260910 MACHADOS";4697;1358
"260915 MANARI";7757;3931
"260920 MARAIAL";5354;1255
"260930 MIRANDIBA";6695;2840
"260940 MORENO";18483;21760
"260950 NAZARE DA MATA";10507;34510
"260960 OLINDA";138510;121612
"260970 OROBO";7133;2647
"260980 OROCO";6242;2987
"260990 OURICURI";28425;49498
"261000 PALMARES";27369;107738
"261010 PALMEIRINA";3123;916
"261020 PANELAS";9470;4086
"261030 PARANATAMA";5205;539
"261040 PARNAMIRIM";8513;3998
"261050 PASSIRA";10200;2680
"261060 PAUDALHO";20374;15337
"261070 PAULISTA";89892;33110
"261080 PEDRA";8829;3813
"261090 PESQUEIRA";24713;24766
"261100 PETROLANDIA";16549;17962
"261110 PETROLINA";133978;160805
"261120 POCAO";4490;1163
"261130 POMBOS";9030;3689
"261140 PRIMAVERA";4430;806
"261150 QUIPAPA";8528;4167
"261153 QUIXABA";2291;55
"261160 RECIFE";514965;1007447
"261170 RIACHO DAS ALMAS";6964;2799
"261180 RIBEIRAO";15230;8882
"261190 RIO FORMOSO";9483;4406
"261200 SAIRE";3531;782
"261210 SALGADINHO";1717;47
"261220 SALGUEIRO";24593;57143
"261230 SALOA";5882;2853
"261240 SANHARO";7233;2727
"261245 SANTA CRUZ";6420;2609
"261247 SANTA CRUZ DA BAIXA VERDE";4590;260
"261250 SANTA CRUZ DO CAPIBARIBE";30248;16014
"261255 SANTA FILOMENA";5343;2463
"261260 SANTA MARIA DA BOA VISTA";18717;12342
"261270 SANTA MARIA DO CAMBUCA";4802;61
"261280 SANTA TEREZINHA";3792;729
"261290 SAO BENEDITO DO SUL";3988;872
"261300 SAO BENTO DO UNA";19248;9707
"261310 SAO CAITANO";13470;5918
"261320 SAO JOAO";8517;3845
"261330 SAO JOAQUIM DO MONTE";8246;8658
"261340 SAO JOSE DA COROA GRANDE";7692;279
"261350 SAO JOSE DO BELMONTE";12939;9815
"261360 SAO JOSE DO EGITO";10492;13786
"261370 SAO LOURENCO DA MATA";36267;20512
"261380 SAO VICENTE FERRER";6590;2665
"261390 SERRA TALHADA";32331;53738
"261400 SERRITA";7404;3321
"261410 SERTANIA";11257;5484
"261420 SIRINHAEM";16537;10037
"261430 MOREILANDIA";3589;813
"261440 SOLIDAO";2232;277
"261450 SURUBIM";19879;23819
"261460 TABIRA";10750;5425
"261470 TACAIMBO";4112;61
"261480 TACARATU";7760;3454
"261485 TAMANDARE";9177;3105
"261500 TAQUARITINGA DO NORTE";8912;6843
"261510 TEREZINHA";2555;1101
"261520 TERRA NOVA";3526;767
"261530 TIMBAUBA";19750;24631
"261540 TORITAMA";13869;3887
"261550 TRACUNHAEM";4760;90
"261560 TRINDADE";13863;11408
"261570 TRIUNFO";4882;1777
"261580 TUPANATINGA";9571;5321
"261590 TUPARETAMA";2977;3789
"261600 VENTUROSA";6501;4747
"261610 VERDEJANTE";3906;602
"261618 VERTENTE DO LERIO";2992;1924
"261620 VERTENTES";7467;8664
"261630 VICENCIA";10151;4456
"261640 VITORIA DE SANTO ANTAO";48305;124220
"261650 XEXEU";6504;335
" MUNICIPIO IGNORADO - AL";14;-
"270010 AGUA BRANCA";8418;3541
"270020 ANADIA";6360;1810
"270030 ARAPIRACA";92029;196170
"270040 ATALAIA";18077;9559
"270050 BARRA DE SANTO ANTONIO";6439;414
"270060 BARRA DE SAO MIGUEL";3361;95
"270070 BATALHA";7311;12365
"270080 BELEM";1912;60
"270090 BELO MONTE";2460;12
"270100 BOCA DA MATA";10391;4590
"270110 BRANQUINHA";4894;106
"270120 CACIMBINHAS";4388;1145
"270130 CAJUEIRO";8995;4392
"270135 CAMPESTRE";2694;928
"270140 CAMPO ALEGRE";14894;4468
"270150 CAMPO GRANDE";4194;108
"270160 CANAPI";7553;2072
"270170 CAPELA";6936;3405
"270180 CARNEIROS";4005;135
"270190 CHA PRETA";2936;382
"270200 COITE DO NOIA";4156;75
"270210 COLONIA LEOPOLDINA";8057;4664
"270220 COQUEIRO SECO";2145;46
"270230 CORURIPE";22087;22597
"270235 CRAIBAS";10295;3063
"270240 DELMIRO GOUVEIA";20837;18822
"270250 DOIS RIACHOS";4467;922
"270255 ESTRELA DE ALAGOAS";5704;88
"270260 FEIRA GRANDE";8651;1081
"270270 FELIZ DESERTO";1720;12
"270280 FLEXEIRAS";5225;1593
"270290 GIRAU DO PONCIANO";14143;3367
"270300 IBATEGUARA";6466;1039
"270310 IGACI";8966;869
"270320 IGREJA NOVA";9389;228
"270330 INHAPI";8023;3185
"270340 JACARE DOS HOMENS";2735;58
"270350 JACUIPE";2286;225
"270360 JAPARATINGA";3547;59
"270370 JARAMATAIA";2498;12
"270375 JEQUIA DA PRAIA";3840;95
"270380 JOAQUIM GOMES";10494;5222
"270390 JUNDIA";1520;110
"270400 JUNQUEIRO";9262;3270
"270410 LAGOA DA CANOA";7872;219
"270420 LIMOEIRO DE ANADIA";8817;1734
"270430 MACEIO";352844;522878
"270440 MAJOR ISIDORO";7115;2321
"270450 MARAGOGI";12818;6822
"270460 MARAVILHA";4023;286
"270470 MARECHAL DEODORO";19727;4236
"270480 MARIBONDO";4937;66
"270490 MAR VERMELHO";1038;2
"270500 MATA GRANDE";9257;4248
"270510 MATRIZ DE CAMARAGIBE";10578;5111
"270520 MESSIAS";6892;732
"270530 MINADOR DO NEGRAO";2204;690
"270540 MONTEIROPOLIS";3254;37
"270550 MURICI";12542;6319
"270560 NOVO LINO";4437;1210
"270570 OLHO D'AGUA DAS FLORES";8994;4309
"270580 OLHO D'AGUA DO CASADO";3524;876
"270590 OLHO D'AGUA GRANDE";2098;98
"270600 OLIVENCA";4466;126
"270610 OURO BRANCO";4623;845
"270620 PALESTINA";2275;15
"270630 PALMEIRA DOS INDIOS";31303;63060
"270640 PAO DE ACUCAR";10595;13189
"270642 PARICONHA";4243;130
"270644 PARIPUEIRA";4864;24
"270650 PASSO DE CAMARAGIBE";5964;1686
"270660 PAULO JACINTO";2566;825
"270670 PENEDO";25766;48670
"270680 PIACABUCU";7633;1163
"270690 PILAR";14032;6113
"270700 PINDOBA";1002;49
"270710 PIRANHAS";11300;6466
"270720 POCO DAS TRINCHEIRAS";5669;264
"270730 PORTO CALVO";11693;8736
"270740 PORTO DE PEDRAS";2972;96
"270750 PORTO REAL DO COLEGIO";7624;62
"270760 QUEBRANGULO";4486;1535
"270770 RIO LARGO";27173;5866
"270780 ROTEIRO";3711;90
"270790 SANTA LUZIA DO NORTE";2876;42
"270800 SANTANA DO IPANEMA";20997;69067
"270810 SANTANA DO MUNDAU";4278;136
"270820 SAO BRAS";2606;1312
"270830 SAO JOSE DA LAJE";10116;4771
"270840 SAO JOSE DA TAPERA";14614;4870
"270850 SAO LUIS DO QUITUNDE";14920;8242
"270860 SAO MIGUEL DOS CAMPOS";24379;46949
"270870 SAO MIGUEL DOS MILAGRES";2539;75
"270880 SAO SEBASTIAO";14497;3899
"270890 SATUBA";4938;13
"270895 SENADOR RUI PALMEIRA";5565;731
"270900 TANQUE D'ARCA";1983;81
"270910 TAQUARANA";7551;2099
"270915 TEOTONIO VILELA";18188;7304
"270920 TRAIPU";9420;1898
"270930 UNIAO DOS PALMARES";28601;47200
"270940 VICOSA";10948;10646
" MUNICIPIO IGNORADO - SE";21;5
"280010 AMPARO DE SAO FRANCISCO";842;5
"280020 AQUIDABA";6817;1655
"280030 ARACAJU";212597;443012
"280040 ARAUA";4201;378
"280050 AREIA BRANCA";6729;97
"280060 BARRA DOS COQUEIROS";10700;106
"280067 BOQUIM";9223;4017
"280070 BREJO GRANDE";3198;132
"280100 CAMPO DO BRITO";6202;330
"280110 CANHOBA";1775;222
"280120 CANINDE DE SAO FRANCISCO";13133;5459
"280130 CAPELA";12834;30169
"280140 CARIRA";7728;1277
"280150 CARMOPOLIS";6003;1210
"280160 CEDRO DE SAO JOAO";1855;8
"280170 CRISTINAPOLIS";7497;725
"280190 CUMBE";1243;6
"280200 DIVINA PASTORA";1729;10
"280210 ESTANCIA";25928;71963
"280220 FEIRA NOVA";2248;21
"280230 FREI PAULO";5417;275
"280240 GARARU";3686;129
"280250 GENERAL MAYNARD";901;5
"280260 GRACHO CARDOSO";1928;27
"280270 ILHA DAS FLORES";3495;673
"280280 INDIAROBA";7147;584
"280290 ITABAIANA";34181;90892
"280300 ITABAIANINHA";15616;3223
"280310 ITABI";1448;126
"280320 ITAPORANGA D'AJUDA";12965;3054
"280330 JAPARATUBA";6127;735
"280340 JAPOATA";5274;137
"280350 LAGARTO";35929;59226
"280360 LARANJEIRAS";11031;832
"280370 MACAMBIRA";2381;50
"280380 MALHADA DOS BOIS";1569;15
"280390 MALHADOR";4300;37
"280400 MARUIM";6902;190
"280410 MOITA BONITA";3401;35
"280420 MONTE ALEGRE DE SERGIPE";5836;510
"280430 MURIBECA";2719;42
"280440 NEOPOLIS";6568;5463
"280445 NOSSA SENHORA APARECIDA";2748;48
"280450 NOSSA SENHORA DA GLORIA";13473;31471
"280460 NOSSA SENHORA DAS DORES";9252;1624
"280470 NOSSA SENHORA DE LOURDES";2098;78
"280480 NOSSA SENHORA DO SOCORRO";68096;17473
"280490 PACATUBA";5386;633
"280500 PEDRA MOLE";948;82
"280510 PEDRINHAS";3190;376
"280520 PINHAO";2260;291
"280530 PIRAMBU";3558;48
"280540 POCO REDONDO";12392;3020
"280550 POCO VERDE";7410;2718
"280560 PORTO DA FOLHA";10320;3174
"280570 PROPRIA";10961;20257
"280580 RIACHAO DO DANTAS";7476;1118
"280590 RIACHUELO";4048;1023
"280600 RIBEIROPOLIS";5060;310
"280610 ROSARIO DO CATETE";3866;440
"280620 SALGADO";6688;766
"280630 SANTA LUZIA DO ITANHY";5848;156
"280640 SANTANA DO SAO FRANCISCO";2564;9
"280650 SANTA ROSA DE LIMA";1607;72
"280660 SANTO AMARO DAS BROTAS";4314;84
"280670 SAO CRISTOVAO";31130;1992
"280680 SAO DOMINGOS";3500;32
"280690 SAO FRANCISCO";1112;16
"280700 SAO MIGUEL DO ALEIXO";1297;91
"280710 SIMAO DIAS";14863;6584
"280720 SIRIRI";2970;69
"280730 TELHA";1107;9
"280740 TOBIAS BARRETO";17804;6324
"280750 TOMAR DO GERU";4981;582
"280760 UMBAUBA";9792;808
" MUNICIPIO IGNORADO - BA";1167;3
"290010 ABAIRA";1389;61
"290020 ABARE";6957;3610
"290030 ACAJUTIBA";5362;1105
"290035 ADUSTINA";4526;1183
"290040 AGUA FRIA";4172;2043
"290050 ERICO CARDOSO";2788;85
"290060 AIQUARA";1454;113
"290070 ALAGOINHAS";50436;59606
"290080 ALCOBACA";7660;4487
"290090 ALMADINA";1855;57
"290100 AMARGOSA";11710;8477
"290110 AMELIA RODRIGUES";6954;470
"290115 AMERICA DOURADA";5718;3431
"290120 ANAGE";6728;1222
"290130 ANDARAI";4832;2883
"290135 ANDORINHA";4454;470
"290140 ANGICAL";4508;203
"290150 ANGUERA";2273;266
"290160 ANTAS";3828;28806
"290170 ANTONIO CARDOSO";3693;229
"290180 ANTONIO GONCALVES";3008;598
"290190 APORA";5146;993
"290195 APUAREMA";2347;117
"290200 ARACATU";4339;635
"290205 ARACAS";4300;846
"290210 ARACI";18773;13707
"290220 ARAMARI";3001;47
"290225 ARATACA";3346;143
"290230 ARATUIPE";2722;27
"290240 AURELINO LEAL";5102;3094
"290250 BAIANOPOLIS";4608;2073
"290260 BAIXA GRANDE";6378;3834
"290265 BANZAE";4204;234
"290270 BARRA";19944;24780
"290280 BARRA DA ESTIVA";9115;17996
"290290 BARRA DO CHOCA";13517;8039
"290300 BARRA DO MENDES";4884;3413
"290310 BARRA DO ROCHA";1988;315
"290320 BARREIRAS";60425;98904
"290323 BARRO ALTO";4380;2018
"290327 BARROCAS";4358;1494
"290330 BARRO PRETO";2006;415
"290340 BELMONTE";7996;6520
"290350 BELO CAMPO";5837;3581
"290360 BIRITINGA";5211;2462
"290370 BOA NOVA";4663;601
"290380 BOA VISTA DO TUPIM";6609;2610
"290390 BOM JESUS DA LAPA";25285;29703
"290395 BOM JESUS DA SERRA";3351;2988
"290400 BONINAL";4403;3028
"290405 BONITO";5994;2972
"290410 BOQUIRA";6799;5208
"290420 BOTUPORA";3602;3730
"290430 BREJOES";4983;3749
"290440 BREJOLANDIA";2230;856
"290450 BROTAS DE MACAUBAS";3230;2069
"290460 BRUMADO";21609;33680
"290470 BUERAREMA";6928;735
"290475 BURITIRAMA";7224;3094
"290480 CAATIBA";2298;1121
"290485 CABACEIRAS DO PARAGUACU";5815;231
"290490 CACHOEIRA";9810;8148
"290500 CACULE";6725;10689
"290510 CAEM";4316;3274
"290515 CAETANOS";3198;426
"290520 CAETITE";16387;15384
"290530 CAFARNAUM";7276;5607
"290540 CAIRU";5642;235
"290550 CALDEIRAO GRANDE";4444;3418
"290560 CAMACAN";11808;18596
"290570 CAMACARI";91174;74185
"290580 CAMAMU";13464;6058
"290590 CAMPO ALEGRE DE LOURDES";12033;11883
"290600 CAMPO FORMOSO";27876;29229
"290610 CANAPOLIS";3186;2828
"290620 CANARANA";9674;6640
"290630 CANAVIEIRAS";12334;9558
"290640 CANDEAL";2473;247
"290650 CANDEIAS";25814;16950
"290660 CANDIBA";3861;3181
"290670 CANDIDO SALES";9476;5325
"290680 CANSANCAO";11326;6253
"290682 CANUDOS";5311;3782
"290685 CAPELA DO ALTO ALEGRE";2876;715
"290687 CAPIM GROSSO";11298;16159
"290689 CARAIBAS";2705;204
"290690 CARAVELAS";6599;3631
"290700 CARDEAL DA SILVA";3152;259
"290710 CARINHANHA";10443;8669
"290720 CASA NOVA";26282;12311
"290730 CASTRO ALVES";8505;9240
"290740 CATOLANDIA";1087;140
"290750 CATU";15608;9086
"290755 CATURAMA";2414;146
"290760 CENTRAL";6161;3847
"290770 CHORROCHO";4141;1445
"290780 CICERO DANTAS";9529;12488
"290790 CIPO";6449;5348
"290800 COARACI";7648;1728
"290810 COCOS";6038;5670
"290820 CONCEICAO DA FEIRA";5963;455
"290830 CONCEICAO DO ALMEIDA";4456;3170
"290840 CONCEICAO DO COITE";24358;27019
"290850 CONCEICAO DO JACUIPE";9361;4744
"290860 CONDE";8729;4676
"290870 CONDEUBA";5252;2252
"290880 CONTENDAS DO SINCORA";1139;182
"290890 CORACAO DE MARIA";7170;662
"290900 CORDEIROS";2120;508
"290910 CORIBE";4373;4077
"290920 CORONEL JOAO SA";5586;1112
"290930 CORRENTINA";10976;10042
"290940 COTEGIPE";4267;1117
"290950 CRAVOLANDIA";1855;1073
"290960 CRISOPOLIS";6746;4747
"290970 CRISTOPOLIS";4090;244
"290980 CRUZ DAS ALMAS";19029;31853
"290990 CURACA";13068;5549
"291000 DARIO MEIRA";4179;445
"291005 DIAS D'AVILA";25263;18365
"291010 DOM BASILIO";3346;1025
"291020 DOM MACEDO COSTA";1160;10
"291030 ELISIO MEDRADO";2068;264
"291040 ENCRUZILHADA";7598;6124
"291050 ENTRE RIOS";14578;8812
"291060 ESPLANADA";12540;17179
"291070 EUCLIDES DA CUNHA";18289;19645
"291072 EUNAPOLIS";43060;52966
"291075 FATIMA";5362;647
"291077 FEIRA DA MATA";1068;54
"291080 FEIRA DE SANTANA";215988;317372
"291085 FILADELFIA";6367;5286
"291090 FIRMINO ALVES";1534;22
"291100 FLORESTA AZUL";3337;408
"291110 FORMOSA DO RIO PRETO";9226;7063
"291120 GANDU";12303;16949
"291125 GAVIAO";1198;36
"291130 GENTIO DO OURO";3371;1394
"291140 GLORIA";5497;98
"291150 GONGOGI";2290;617
"291160 GOVERNADOR MANGABEIRA";6356;374
"291165 GUAJERU";2229;135
"291170 GUANAMBI";28174;49037
"291180 GUARATINGA";6731;5026
"291185 HELIOPOLIS";3691;72
"291190 IACU";10337;8399
"291200 IBIASSUCE";2876;6982
"291210 IBICARAI";8437;2454
"291220 IBICOARA";7169;112
"291230 IBICUI";4606;3614
"291240 IBIPEBA";5555;4074
"291250 IBIPITANGA";3708;922
"291260 IBIQUERA";1427;233
"291270 IBIRAPITANGA";9554;4502
"291280 IBIRAPUA";2229;435
"291290 IBIRATAIA";8164;5494
"291300 IBITIARA";4521;6947
"291310 IBITITA";5994;4393
"291320 IBOTIRAMA";10442;20758
"291330 ICHU";1588;600
"291340 IGAPORA";4020;3265
"291345 IGRAPIUNA";4479;1298
"291350 IGUAI";9120;9266
"291360 ILHEUS";64810;75801
"291370 INHAMBUPE";11986;7017
"291380 IPECAETA";4275;355
"291390 IPIAU";16377;29022
"291400 IPIRA";19210;17823
"291410 IPUPIARA";2598;2869
"291420 IRAJUBA";2339;1234
"291430 IRAMAIA";3100;1385
"291440 IRAQUARA";9231;18839
"291450 IRARA";8370;3583
"291460 IRECE";28882;65583
"291465 ITABELA";13014;9144
"291470 ITABERABA";23934;39627
"291480 ITABUNA";74447;156653
"291490 ITACARE";7698;3064
"291500 ITAETE";5753;3791
"291510 ITAGI";5373;3385
"291520 ITAGIBA";5146;3021
"291530 ITAGIMIRIM";2428;640
"291535 ITAGUACU DA BAHIA";4510;2202
"291540 ITAJU DO COLONIA";2453;1317
"291550 ITAJUIPE";7390;1447
"291560 ITAMARAJU";26444;27271
"291570 ITAMARI";3145;1715
"291580 ITAMBE";7820;5727
"291590 ITANAGRA";2229;194
"291600 ITANHEM";5597;5982
"291610 ITAPARICA";6322;12417
"291620 ITAPE";3301;52
"291630 ITAPEBI";3909;1101
"291640 ITAPETINGA";25745;29976
"291650 ITAPICURU";9287;5011
"291660 ITAPITANGA";2565;798
"291670 ITAQUARA";2660;1410
"291680 ITARANTIM";5584;3773
"291685 ITATIM";4754;1485
"291690 ITIRUCU";3966;1906
"291700 ITIUBA";14134;13911
"291710 ITORORO";6666;6333
"291720 ITUACU";6179;2871
"291730 ITUBERA";10376;10597
"291733 IUIU";3570;1533
"291735 JABORANDI";3003;3379
"291740 JACARACI";3353;2799
"291750 JACOBINA";30555;50353
"291760 JAGUAQUARA";19881;21666
"291770 JAGUARARI";10597;4650
"291780 JAGUARIPE";4600;115
"291790 JANDAIRA";3319;217
"291800 JEQUIE";57930;91616
"291810 JEREMOABO";12874;5579
"291820 JIQUIRICA";4084;1776
"291830 JITAUNA";4799;736
"291835 JOAO DOURADO";10149;6725
"291840 JUAZEIRO";95979;134481
"291845 JUCURUCU";2262;723
"291850 JUSSARA";6236;3741
"291855 JUSSARI";2233;937
"291860 JUSSIAPE";1631;550
"291870 LAFAIETE COUTINHO";977;22
"291875 LAGOA REAL";2979;157
"291880 LAJE";7752;4583
"291890 LAJEDAO";958;16
"291900 LAJEDINHO";1272;150
"291905 LAJEDO DO TABOCAL";2247;956
"291910 LAMARAO";2163;170
"291915 LAPAO";10597;6283
"291920 LAURO DE FREITAS";65790;40621
"291930 LENCOIS";3418;1256
"291940 LICINIO DE ALMEIDA";3437;2346
"291950 LIVRAMENTO DE NOSSA SENHORA";13490;18064
"291955 LUIS EDUARDO MAGALHAES";30522;28621
"291960 MACAJUBA";4151;1995
"291970 MACARANI";5520;3522
"291980 MACAUBAS";13670;13721
"291990 MACURURE";2611;1208
"291992 MADRE DE DEUS";6309;4979
"291995 MAETINGA";2045;247
"292000 MAIQUINIQUE";2832;1241
"292010 MAIRI";5682;5752
"292020 MALHADA";5995;4136
"292030 MALHADA DE PEDRAS";2656;167
"292040 MANOEL VITORINO";4772;248
"292045 MANSIDAO";2213;286
"292050 MARACAS";9094;7266
"292060 MARAGOGIPE";11835;754
"292070 MARAU";5316;1041
"292080 MARCIONILIO SOUZA";3812;2003
