 Nascidos vivos - Brasil;;;;;;;;;
Nascim p/resid.mãe por Município e Peso ao nascer;;;;;;;;;
Período:2000-2022;;;;;;;;;
Município;Menos de 500g;500 a 999g;1000 a 1499 g;1500 a 2499 g;2500 a 2999 g;3000 a 3999 g;4000g e mais;Ignorado;Total
210230 BURITI BRAVO;51;16;41;473;1384;6608;1012;88;9673
210232 BURITICUPU;35;52;107;1492;5091;20870;2817;82;30546
210235 BURITIRANA;17;12;37;267;852;3014;405;143;4747
210237 CACHOEIRA GRANDE;2;6;17;189;648;1992;203;127;3184
210240 CAJAPIO;30;6;25;315;958;2397;205;140;4076
210250 CAJARI;25;11;34;402;1354;3741;327;47;5941
210255 CAMPESTRE DO MARANHAO;4;11;29;261;994;3505;374;6;5184
210260 CANDIDO MENDES;10;6;31;357;1327;4177;406;72;6386
210270 CANTANHEDE;9;13;42;467;1595;4807;463;21;7417
210275 CAPINZAL DO NORTE;2;6;16;192;598;2378;385;76;3653
210280 CAROLINA;9;18;37;465;1425;6028;861;23;8866
210290 CARUTAPERA;11;10;39;625;2366;5815;463;17;9346
210300 CAXIAS;80;182;447;4584;13913;40856;3769;26;63857
210310 CEDRAL;3;3;14;165;533;1825;250;23;2816
210312 CENTRAL DO MARANHAO;6;3;10;184;591;1939;230;14;2977
210315 CENTRO DO GUILHERME;15;6;26;243;755;2739;416;4;4204
210317 CENTRO NOVO DO MARANHAO;21;9;17;314;1026;4243;627;91;6348
210320 CHAPADINHA;44;81;184;2407;8077;24410;2185;841;38229
210325 CIDELANDIA;5;9;30;235;786;2950;379;10;4404
210330 CODO;40;153;270;3719;11624;33521;3211;82;52620
210340 COELHO NETO;21;47;95;1198;4278;14774;1768;10;22191
210350 COLINAS;8;22;72;1004;3622;10603;909;13;16253
210355 CONCEICAO DO LAGO-ACU;11;14;39;434;1335;3376;255;142;5606
210360 COROATA;24;73;180;2023;6428;18150;1632;517;29027
210370 CURURUPU;12;23;85;814;2546;7661;795;23;11959
210375 DAVINOPOLIS;13;11;17;294;1053;3452;333;32;5205
210380 DOM PEDRO;5;17;30;360;1270;5687;841;124;8334
210390 DUQUE BACELAR;1;6;19;429;909;3171;368;1;4904
210400 ESPERANTINOPOLIS;18;14;33;338;1143;5557;841;9;7953
210405 ESTREITO;6;37;68;603;1951;10139;1595;17;14416
210407 FEIRA NOVA DO MARANHAO;2;7;9;99;342;1900;346;1;2706
210408 FERNANDO FALCAO;5;5;13;236;723;2749;450;531;4712
210409 FORMOSA DA SERRA NEGRA;7;6;23;274;1059;4467;623;5;6464
210410 FORTALEZA DOS NOGUEIRAS;4;10;18;236;688;3727;632;3;5318
210420 FORTUNA;8;10;27;422;1511;4972;555;24;7529
210430 GODOFREDO VIANA;6;9;14;206;680;2053;237;39;3244
210440 GONCALVES DIAS;13;4;24;289;926;4174;681;19;6130
210450 GOVERNADOR ARCHER;12;10;16;195;614;2485;353;117;3802
210455 GOVERNADOR EDISON LOBAO;13;12;51;381;1257;3877;346;29;5966
210460 GOVERNADOR EUGENIO BARROS;5;8;25;388;1109;4094;539;8;6176
210462 GOVERNADOR LUIZ ROCHA;12;4;21;164;514;2332;309;19;3375
210465 GOVERNADOR NEWTON BELLO;2;6;17;195;654;2440;330;185;3829
210467 GOVERNADOR NUNES FREIRE;17;13;38;660;2225;8750;1104;195;13002
210470 GRACA ARANHA;5;1;10;87;311;1280;194;5;1893
210480 GRAJAU;99;54;136;1610;5155;24273;3905;94;35326
210490 GUIMARAES;4;11;16;201;782;2660;302;66;4042
210500 HUMBERTO DE CAMPOS;10;18;44;602;2260;7249;772;32;10987
210510 ICATU;11;29;41;620;2075;6397;670;58;9901
210515 IGARAPE DO MEIO;17;13;24;334;1074;3753;444;167;5826
210520 IGARAPE GRANDE;13;6;14;203;727;2846;338;14;4161
210530 IMPERATRIZ;171;396;731;7273;24188;75251;6289;558;114857
210535 ITAIPAVA DO GRAJAU;22;12;23;261;890;3840;495;19;5562
210540 ITAPECURU MIRIM;33;86;185;2018;6456;18137;1736;10;28661
210542 ITINGA DO MARANHAO;15;24;41;460;1520;5930;696;22;8708
210545 JATOBA;1;3;9;184;649;2117;243;12;3218
210547 JENIPAPO DOS VIEIRAS;3;13;28;338;1293;4821;473;66;7035
210550 JOAO LISBOA;19;26;50;612;1949;6848;765;16;10285
210560 JOSELANDIA;6;2;20;305;876;4228;583;20;6040
210565 JUNCO DO MARANHAO;6;6;9;107;420;1773;239;10;2570
210570 LAGO DA PEDRA;23;34;69;917;3394;14797;1949;23;21206
210580 LAGO DO JUNCO;5;5;17;185;665;2498;331;85;3791
210590 LAGO VERDE;6;16;36;447;1522;4570;453;124;7174
210592 LAGOA DO MATO;1;7;12;150;417;2116;288;7;2998
210594 LAGO DOS RODRIGUES;8;1;19;151;595;2216;256;24;3270
210596 LAGOA GRANDE DO MARANHAO;6;11;22;234;759;3737;521;11;5301
210598 LAJEADO NOVO;2;5;10;92;378;1626;206;6;2325
210600 LIMA CAMPOS;5;10;21;272;951;3288;312;29;4888
210610 LORETO;-;6;10;187;637;2724;293;4;3861
210620 LUIS DOMINGUES;12;7;6;144;541;1621;132;18;2481
210630 MAGALHAES DE ALMEIDA;6;11;18;256;809;3959;609;6;5674
210632 MARACACUME;11;9;35;401;1438;5562;738;24;8218
210635 MARAJA DO SENA;7;5;12;154;472;1844;300;6;2800
210637 MARANHAOZINHO;5;8;16;210;751;2699;391;24;4104
210640 MATA ROMA;7;22;38;426;1545;5008;510;10;7566
210650 MATINHA;17;20;54;564;1866;6032;515;2;9070
210660 MATOES;7;29;91;821;2287;7510;850;40;11635
210663 MATOES DO NORTE;-;8;13;192;581;1757;150;16;2717
210667 MILAGRES DO MARANHAO;8;1;7;93;347;1412;159;6;2033
210670 MIRADOR;20;17;34;436;1465;5346;626;3;7947
210675 MIRANDA DO NORTE;9;20;43;485;1546;5254;512;25;7894
210680 MIRINZAL;8;7;19;269;767;3742;663;5;5480
210690 MONCAO;16;24;54;844;2751;7675;722;11;12097
210700 MONTES ALTOS;10;4;11;179;617;2386;343;11;3561
210710 MORROS;8;12;42;431;1606;4988;573;21;7681
210720 NINA RODRIGUES;10;9;27;365;1033;3403;363;49;5259
210725 NOVA COLINAS;5;2;8;92;327;1402;147;1;1984
210730 NOVA IORQUE;1;1;3;70;234;849;103;2;1263
210735 NOVA OLINDA DO MARANHAO;8;5;30;377;1237;4248;497;26;6428
210740 OLHO D'AGUA DAS CUNHAS;11;13;25;324;1164;4432;539;49;6557
210745 OLINDA NOVA DO MARANHAO;20;9;28;319;985;2978;273;35;4647
210750 PACO DO LUMIAR;97;189;262;2541;7920;22490;2133;42;35674
210760 PALMEIRANDIA;10;18;32;397;1285;3778;360;127;6007
210770 PARAIBANO;8;16;43;403;1270;5456;765;11;7972
210780 PARNARAMA;15;32;69;903;2529;8553;1011;187;13299
210790 PASSAGEM FRANCA;6;10;29;380;1159;5322;815;119;7840
210800 PASTOS BONS;12;14;30;400;1387;4874;570;10;7297
210805 PAULINO NEVES;12;9;25;334;1038;4414;740;122;6694
210810 PAULO RAMOS;32;14;40;463;1525;6317;841;42;9274
210820 PEDREIRAS;19;55;71;788;2543;11040;1508;36;16060
210825 PEDRO DO ROSARIO;24;11;33;480;1429;4949;589;386;7901
210830 PENALVA;27;32;95;1164;4114;9078;610;366;15486
210840 PERI MIRIM;4;3;19;219;815;2056;177;106;3399
210845 PERITORO;8;20;40;639;2022;5669;544;332;9274
210850 PINDARE-MIRIM;26;16;67;802;2798;8989;961;26;13685
210860 PINHEIRO;24;87;186;2235;7660;22378;2090;115;34775
210870 PIO XII;16;14;31;554;2070;7416;775;13;10889
210880 PIRAPEMAS;12;6;42;460;1565;4448;453;178;7164
210890 POCAO DE PEDRAS;6;15;33;447;1355;4832;503;47;7238
210900 PORTO FRANCO;9;25;39;549;1876;6765;724;8;9995
210905 PORTO RICO DO MARANHAO;10;2;3;122;349;1376;152;60;2074
210910 PRESIDENTE DUTRA;14;24;59;724;2692;13031;2066;9;18619
210920 PRESIDENTE JUSCELINO;4;5;30;400;1126;2955;377;5;4902
210923 PRESIDENTE MEDICI;5;6;8;129;384;1532;195;23;2282
210927 PRESIDENTE SARNEY;12;14;31;406;1465;4765;458;114;7265
210930 PRESIDENTE VARGAS;31;5;28;300;984;2915;295;116;4674
210940 PRIMEIRA CRUZ;11;7;18;257;781;2918;381;92;4465
210945 RAPOSA;23;64;82;786;2432;7410;695;17;11509
210950 RIACHAO;7;10;46;349;1209;5919;1088;14;8642
210955 RIBAMAR FIQUENE;4;7;16;167;511;1778;182;17;2682
210960 ROSARIO;14;49;105;1090;3420;9611;1000;157;15446
210970 SAMBAIBA;-;1;2;72;187;1024;175;5;1466
210975 SANTA FILOMENA DO MARANHAO;1;-;6;96;336;1350;215;2;2006
210980 SANTA HELENA;20;17;55;623;2316;8271;817;48;12167
210990 SANTA INES;18;90;186;2023;6745;26978;3210;70;39320
211000 SANTA LUZIA;29;49;124;1708;5768;20129;2356;59;30222
211003 SANTA LUZIA DO PARUA;10;9;48;500;1696;6209;702;9;9183
211010 SANTA QUITERIA DO MARANHAO;26;17;52;632;2059;8042;948;51;11827
211020 SANTA RITA;15;46;89;881;3024;8360;774;11;13200
211023 SANTANA DO MARANHAO;-;6;6;125;486;2118;336;20;3097
211027 SANTO AMARO DO MARANHAO;23;9;17;263;626;2430;408;663;4439
211030 SANTO ANTONIO DOS LOPES;6;9;22;242;681;3014;494;1222;5690
211040 SAO BENEDITO DO RIO PRETO;10;13;23;512;1785;6001;753;17;9114
211050 SAO BENTO;11;18;43;690;2399;8803;937;75;12976
211060 SAO BERNARDO;6;17;41;582;2000;8035;1147;28;11856
211065 SAO DOMINGOS DO AZEITAO;-;2;15;118;484;1798;218;17;2652
211070 SAO DOMINGOS DO MARANHAO;8;22;51;839;2754;10478;1180;333;15665
211080 SAO FELIX DE BALSAS;1;4;2;75;240;890;93;-;1305
211085 SAO FRANCISCO DO BREJAO;8;3;15;127;530;2004;264;13;2964
211090 SAO FRANCISCO DO MARANHAO;5;15;22;231;739;2362;258;21;3653
211100 SAO JOAO BATISTA;8;17;49;482;1645;4245;300;162;6908
211102 SAO JOAO DO CARU;15;7;19;218;775;3389;431;8;4862
211105 SAO JOAO DO PARAISO;-;5;12;179;679;2600;311;10;3796
211107 SAO JOAO DO SOTER;8;13;41;491;1457;4071;390;73;6544
211110 SAO JOAO DOS PATOS;10;27;47;577;1915;6480;600;19;9675
211120 SAO JOSE DE RIBAMAR;157;260;438;4101;12896;39490;3828;40;61210
211125 SAO JOSE DOS BASILIOS;8;3;8;109;428;1682;221;20;2479
211130 SAO LUIS;1041;2441;3476;30616;90824;246542;21044;582;396566
211140 SAO LUIS GONZAGA DO MARANHAO;11;12;45;583;1596;5265;424;52;7988
211150 SAO MATEUS DO MARANHAO;15;35;72;1070;3258;10943;1184;51;16628
211153 SAO PEDRO DA AGUA BRANCA;4;14;22;195;641;2674;395;45;3990
211157 SAO PEDRO DOS CRENTES;3;3;11;71;250;1196;223;9;1766
211160 SAO RAIMUNDO DAS MANGABEIRAS;6;14;34;363;1195;5050;682;26;7370
211163 SAO RAIMUNDO DO DOCA BEZERRA;1;3;6;104;337;1447;188;60;2146
211167 SAO ROBERTO;7;3;6;75;309;1409;194;-;2003
211170 SAO VICENTE FERRER;6;13;40;587;1758;4626;359;14;7403
211172 SATUBINHA;6;2;13;157;567;1716;122;15;2598
211174 SENADOR ALEXANDRE COSTA;6;8;16;238;709;2878;415;12;4282
211176 SENADOR LA ROCQUE;12;28;61;437;1561;5139;531;25;7794
211178 SERRANO DO MARANHAO;7;7;21;246;785;2279;242;115;3702
211180 SITIO NOVO;23;10;29;300;974;4398;750;31;6515
211190 SUCUPIRA DO NORTE;10;5;11;189;651;2707;374;2;3949
211195 SUCUPIRA DO RIACHAO;3;2;11;101;366;1178;115;4;1780
211200 TASSO FRAGOSO;6;10;10;183;565;1971;241;6;2992
211210 TIMBIRAS;23;34;65;903;2784;7767;648;317;12541
211220 TIMON;71;268;423;4792;15080;41678;3660;79;66051
211223 TRIZIDELA DO VALE;11;15;44;340;1301;5388;964;28;8091
211227 TUFILANDIA;-;3;7;117;406;1640;195;65;2433
211230 TUNTUM;11;20;52;672;2217;9826;1367;8;14173
211240 TURIACU;17;22;58;889;2695;8695;1006;11;13393
211245 TURILANDIA;10;3;28;502;1539;4651;464;139;7336
211250 TUTOIA;31;39;96;1169;3870;14270;1875;823;22173
211260 URBANO SANTOS;9;28;69;993;2683;9584;1109;327;14802
211270 VARGEM GRANDE;19;39;103;1465;4784;13451;1421;67;21349
211280 VIANA;35;71;114;1494;5224;14053;1128;99;22218
211285 VILA NOVA DOS MARTIRIOS;6;11;26;183;661;2404;239;6;3536
211290 VITORIA DO MEARIM;27;30;56;935;3145;8311;691;605;13800
211300 VITORINO FREIRE;31;18;39;598;2025;8987;1231;147;13076
211400 ZE DOCA;21;29;89;1127;3846;13799;1625;169;20705
 MUNICIPIO IGNORADO - PI;-;-;-;2;5;20;1;-;28
220005 ACAUA;-;2;11;127;323;1611;190;3;2267
220010 AGRICOLANDIA;3;10;8;106;336;1115;118;9;1705
220020 AGUA BRANCA;5;21;40;407;1270;4371;436;2;6552
220025 ALAGOINHA DO PIAUI;1;4;15;137;514;1487;81;2;2241
220027 ALEGRETE DO PIAUI;-;-;4;88;311;1093;84;2;1582
220030 ALTO LONGA;2;11;27;265;780;2187;169;36;3477
220040 ALTOS;23;61;108;1109;3479;9371;746;1;14898
220045 ALVORADA DO GURGUEIA;3;5;8;131;477;1257;109;4;1994
220050 AMARANTE;9;21;45;453;1261;4337;483;4;6613
220060 ANGICAL DO PIAUI;6;9;14;159;420;1441;165;-;2214
220070 ANISIO DE ABREU;1;2;6;142;507;2324;258;3;3243
220080 ANTONIO ALMEIDA;-;4;6;66;185;720;68;23;1072
220090 AROAZES;1;8;7;79;307;1300;134;2;1838
220095 AROEIRAS DO ITAIM;-;-;3;23;95;317;16;1;455
220100 ARRAIAL;-;5;6;107;382;1068;75;9;1652
220105 ASSUNCAO DO PIAUI;2;5;18;177;552;2215;297;54;3320
220110 AVELINO LOPES;3;5;14;188;658;3326;449;9;4652
220115 BAIXA GRANDE DO RIBEIRO;8;13;17;217;850;3694;520;18;5337
220117 BARRA D'ALCANTARA;2;2;7;75;243;800;91;2;1222
220120 BARRAS;21;52;98;1296;4219;12023;1140;7;18856
220130 BARREIRAS DO PIAUI;-;3;6;38;154;683;98;41;1023
220140 BARRO DURO;4;10;17;189;500;1449;122;1;2292
220150 BATALHA;5;37;43;594;1836;5742;596;82;8935
220155 BELA VISTA DO PIAUI;1;9;12;153;418;633;23;-;1249
220157 BELEM DO PIAUI;-;1;5;56;157;569;58;2;848
220160 BENEDITINOS;4;10;15;194;693;1956;143;1;3016
220170 BERTOLINIA;2;11;6;104;305;1376;150;6;1960
220173 BETANIA DO PIAUI;2;6;9;132;450;1951;225;1;2776
220177 BOA HORA;3;6;12;134;509;1496;142;3;2305
220180 BOCAINA;-;3;10;68;248;790;59;3;1181
220190 BOM JESUS;13;46;63;765;2546;6816;533;1;10783
220191 BOM PRINCIPIO DO PIAUI;4;1;17;129;507;1679;178;3;2518
220192 BONFIM DO PIAUI;1;6;7;77;309;1304;140;5;1849
220194 BOQUEIRAO DO PIAUI;-;3;4;101;428;1602;159;-;2297
220196 BRASILEIRA;5;6;5;120;476;1543;169;-;2324
220198 BREJO DO PIAUI;2;1;2;71;308;860;76;-;1320
220200 BURITI DOS LOPES;9;14;38;507;1715;5505;507;89;8384
220202 BURITI DOS MONTES;1;2;9;126;493;1396;109;35;2171
220205 CABECEIRAS DO PIAUI;2;6;15;179;598;2134;183;1;3118
220207 CAJAZEIRAS DO PIAUI;1;2;4;43;175;625;82;18;950
220208 CAJUEIRO DA PRAIA;2;5;10;130;473;1604;138;1;2363
220209 CALDEIRAO GRANDE DO PIAUI;1;6;7;108;379;1099;80;24;1704
220210 CAMPINAS DO PIAUI;2;7;8;97;395;1091;113;16;1729
220211 CAMPO ALEGRE DO FIDALGO;1;7;9;91;387;1026;95;-;1616
220213 CAMPO GRANDE DO PIAUI;1;4;10;97;402;1422;94;-;2030
220217 CAMPO LARGO DO PIAUI;1;15;19;189;566;1651;153;10;2604
220220 CAMPO MAIOR;9;53;77;788;3024;11040;1022;2;16015
220225 CANAVIEIRA;1;3;4;78;245;825;94;2;1252
220230 CANTO DO BURITI;3;19;41;460;1461;4698;483;1;7166
220240 CAPITAO DE CAMPOS;3;5;22;212;864;2591;243;6;3946
220245 CAPITAO GERVASIO OLIVEIRA;-;2;6;63;229;888;98;8;1294
220250 CARACOL;3;13;14;223;732;2740;302;9;4036
220253 CARAUBAS DO PIAUI;1;2;10;116;434;1315;153;7;2038
220255 CARIDADE DO PIAUI;2;6;8;91;341;1205;114;2;1769
220260 CASTELO DO PIAUI;3;30;40;444;1287;5164;561;41;7570
220265 CAXINGO;3;8;7;103;402;1475;134;9;2141
220270 COCAL;7;22;44;706;2148;6695;602;103;10327
220271 COCAL DE TELHA;-;1;10;68;355;1156;98;9;1697
220272 COCAL DOS ALVES;-;5;15;108;407;1209;105;25;1874
220273 COIVARAS;1;2;6;76;250;769;67;14;1185
220275 COLONIA DO GURGUEIA;5;4;16;134;447;1443;134;4;2187
220277 COLONIA DO PIAUI;-;2;14;104;410;1542;186;5;2263
220280 CONCEICAO DO CANINDE;-;8;6;131;423;1045;86;3;1702
220285 CORONEL JOSE DIAS;1;3;7;63;240;922;107;9;1352
220290 CORRENTE;4;28;42;540;1749;6978;776;419;10536
220300 CRISTALANDIA DO PIAUI;1;1;13;138;494;1952;253;108;2960
220310 CRISTINO CASTRO;1;7;22;260;918;2765;254;6;4233
220320 CURIMATA;6;16;21;192;755;3497;423;3;4913
220323 CURRAIS;1;5;8;165;516;1297;97;4;2093
220325 CURRALINHOS;3;8;8;103;288;828;68;1;1307
220327 CURRAL NOVO DO PIAUI;1;3;11;112;316;1224;122;11;1800
220330 DEMERVAL LOBAO;2;15;37;331;1065;3341;295;5;5091
220335 DIRCEU ARCOVERDE;3;12;9;112;421;1410;160;17;2144
220340 DOM EXPEDITO LOPES;5;2;4;114;392;1343;104;1;1965
220342 DOMINGOS MOURAO;-;4;3;79;340;1015;119;-;1560
220345 DOM INOCENCIO;5;2;13;95;442;1614;187;8;2366
220350 ELESBAO VELOSO;7;15;34;291;846;2988;290;8;4479
220360 ELISEU MARTINS;-;4;9;78;226;1000;89;-;1406
220370 ESPERANTINA;12;49;93;1037;3263;10272;897;96;15719
220375 FARTURA DO PIAUI;-;5;9;72;307;1170;138;32;1733
220380 FLORES DO PIAUI;1;3;5;90;347;1018;111;1;1576
220385 FLORESTA DO PIAUI;-;1;2;29;132;431;43;-;638
220390 FLORIANO;10;68;153;1427;4300;14650;1616;65;22289
220400 FRANCINOPOLIS;1;6;8;91;334;1089;117;4;1650
220410 FRANCISCO AYRES;2;3;9;90;273;1016;120;5;1518
220415 FRANCISCO MACEDO;1;3;2;46;189;545;37;-;823
220420 FRANCISCO SANTOS;1;6;9;148;516;1664;161;6;2511
220430 FRONTEIRAS;1;6;19;201;565;2574;266;-;3632
220435 GEMINIANO;-;3;12;102;342;1361;119;3;1942
220440 GILBUES;2;8;13;213;722;3019;424;72;4473
220450 GUADALUPE;2;12;24;236;705;2727;310;2;4018
220455 GUARIBAS;6;1;8;94;316;1197;105;141;1868
220460 HUGO NAPOLEAO;-;3;8;89;249;753;57;1;1160
220465 ILHA GRANDE;2;8;9;227;748;2427;271;3;3695
220470 INHUMA;2;14;20;229;967;3324;360;8;4924
220480 IPIRANGA DO PIAUI;1;9;14;190;629;2106;200;2;3151
220490 ISAIAS COELHO;2;3;12;192;709;1929;142;46;3035
220500 ITAINOPOLIS;3;7;16;184;666;2038;183;2;3099
220510 ITAUEIRA;4;10;26;174;655;2431;256;4;3560
220515 JACOBINA DO PIAUI;1;3;10;93;365;1259;126;2;1859
220520 JAICOS;8;14;27;301;1117;5092;614;6;7179
220525 JARDIM DO MULATO;-;5;5;91;217;761;82;1;1162
220527 JATOBA DO PIAUI;-;6;8;67;301;1078;109;-;1569
220530 JERUMENHA;1;5;11;101;315;1001;111;2;1547
220535 JOAO COSTA;-;1;5;68;204;601;54;-;933
220540 JOAQUIM PIRES;1;11;26;302;1121;3557;347;8;5373
220545 JOCA MARQUES;1;2;9;99;396;1363;150;1;2021
220550 JOSE DE FREITAS;11;48;109;957;2720;9008;869;39;13761
220551 JUAZEIRO DO PIAUI;1;4;10;99;313;1171;106;9;1713
220552 JULIO BORGES;1;9;15;100;344;1274;152;22;1917
220553 JUREMA;1;3;7;90;315;1249;179;11;1855
220554 LAGOINHA DO PIAUI;2;2;6;65;166;570;66;-;877
220555 LAGOA ALEGRE;1;9;24;186;573;1770;162;3;2728
220556 LAGOA DO BARRO DO PIAUI;1;1;12;99;315;1115;122;1;1666
220557 LAGOA DE SAO FRANCISCO;3;3;12;125;440;1273;120;2;1978
220558 LAGOA DO PIAUI;4;6;14;82;251;785;67;1;1210
220559 LAGOA DO SITIO;2;5;14;115;282;1034;83;5;1540
220560 LANDRI SALES;1;4;11;74;316;1297;179;-;1882
220570 LUIS CORREIA;3;21;61;620;2026;7469;1002;7;11209
220580 LUZILANDIA;2;27;48;528;1831;6655;784;12;9887
220585 MADEIRO;-;11;14;162;576;2244;243;1;3251
220590 MANOEL EMIDIO;1;2;11;98;328;1289;128;-;1857
220595 MARCOLANDIA;4;9;19;211;734;2067;106;1;3151
220600 MARCOS PARENTE;1;3;13;101;286;1128;109;7;1648
220605 MASSAPE DO PIAUI;1;5;5;76;312;1287;144;2;1832
220610 MATIAS OLIMPIO;3;15;17;230;801;2963;323;2;4354
220620 MIGUEL ALVES;25;38;98;956;2571;8356;965;12;13021
220630 MIGUEL LEAO;-;2;3;27;86;251;26;-;395
220635 MILTON BRANDAO;3;5;16;121;404;1276;104;-;1929
220640 MONSENHOR GIL;2;14;16;227;659;1939;179;6;3042
220650 MONSENHOR HIPOLITO;1;6;16;175;655;1622;111;6;2592
220660 MONTE ALEGRE DO PIAUI;6;13;22;219;763;2672;294;29;4018
220665 MORRO CABECA NO TEMPO;3;2;1;73;247;1034;124;44;1528
220667 MORRO DO CHAPEU DO PIAUI;4;8;11;146;482;1613;144;2;2410
220669 MURICI DOS PORTELAS;1;4;9;149;580;1880;177;18;2818
220670 NAZARE DO PIAUI;-;6;7;129;452;1637;166;8;2405
220672 NAZARIA;1;9;13;141;425;1306;115;1;2011
220675 NOSSA SENHORA DE NAZARE;2;3;7;53;247;937;98;10;1357
220680 NOSSA SENHORA DOS REMEDIOS;1;9;19;280;809;2428;228;48;3822
220690 NOVO ORIENTE DO PIAUI;1;3;6;70;308;1300;194;1;1883
220695 NOVO SANTO ANTONIO;1;1;12;38;177;455;50;8;742
220700 OEIRAS;7;35;67;758;2542;8609;940;15;12973
220710 OLHO D'AGUA DO PIAUI;2;-;5;69;191;663;50;2;982
220720 PADRE MARCOS;-;11;14;110;403;1598;155;2;2293
220730 PAES LANDIM;2;4;5;65;288;1060;119;-;1543
220735 PAJEU DO PIAUI;-;1;6;41;147;546;55;1;797
220740 PALMEIRA DO PIAUI;3;5;10;130;461;1235;82;2;1928
220750 PALMEIRAIS;5;14;41;344;995;2950;320;13;4682
220755 PAQUETA;2;4;5;64;249;788;62;1;1175
220760 PARNAGUA;3;4;23;250;792;2902;266;72;4312
220770 PARNAIBA;40;161;337;3306;10738;36728;4199;66;55575
220775 PASSAGEM FRANCA DO PIAUI;1;12;9;95;286;949;116;7;1475
