 Nascidos vivos - Brasil;;;;;;;;;
Nascim p/resid.mãe por Município e Peso ao nascer;;;;;;;;;
Período:2000-2022;;;;;;;;;
Município;Menos de 500g;500 a 999g;1000 a 1499 g;1500 a 2499 g;2500 a 2999 g;3000 a 3999 g;4000g e mais;Ignorado;Total
313470 JACINTO;4;8;21;211;691;2109;188;7;3239
313480 JACUI;2;6;11;148;522;1295;89;2;2075
313490 JACUTINGA;5;22;48;444;1616;4519;314;13;6981
313500 JAGUARACU;1;4;4;56;194;470;24;-;753
313505 JAIBA;22;122;85;968;3373;7926;463;25;12984
313507 JAMPRUCA;3;9;9;132;360;973;66;10;1562
313510 JANAUBA;30;137;208;2019;7109;15353;862;3;25721
313520 JANUARIA;10;88;159;1769;5658;15185;1197;67;24133
313530 JAPARAIBA;-;5;8;92;298;717;26;1;1147
313535 JAPONVAR;2;7;11;156;629;1567;91;9;2472
313540 JECEABA;1;9;12;96;320;791;35;2;1266
313545 JENIPAPO DE MINAS;5;4;13;152;483;990;67;9;1723
313550 JEQUERI;1;13;30;264;817;2002;139;4;3270
313560 JEQUITAI;3;13;20;137;474;1326;105;5;2083
313570 JEQUITIBA;4;10;6;104;335;784;46;23;1312
313580 JEQUITINHONHA;-;16;47;559;1684;4222;277;5;6810
313590 JESUANIA;-;8;8;79;286;756;81;2;1220
313600 JOAIMA;2;12;29;397;1158;3505;324;2;5429
313610 JOANESIA;1;7;6;85;310;675;33;4;1121
313620 JOAO MONLEVADE;35;130;211;1913;6148;13042;712;30;22221
313630 JOAO PINHEIRO;11;85;105;1326;4422;9983;525;11;16468
313640 JOAQUIM FELICIO;-;6;11;78;250;714;64;1;1124
313650 JORDANIA;5;7;14;156;590;1772;159;11;2714
313652 JOSE GONCALVES DE MINAS;4;4;3;93;303;754;38;3;1202
313655 JOSE RAYDAN;1;4;8;86;311;773;52;19;1254
313657 JOSENOPOLIS;3;4;8;108;347;888;62;32;1452
313660 NOVA UNIAO;2;4;16;137;447;960;43;-;1609
313665 JUATUBA;12;35;70;688;2219;4793;245;3;8065
313670 JUIZ DE FORA;162;991;1473;14041;41489;86154;4452;93;148855
313680 JURAMENTO;-;3;5;80;298;659;39;2;1086
313690 JURUAIA;-;11;21;156;637;2014;121;4;2964
313695 JUVENILIA;-;4;5;114;396;1005;78;31;1633
313700 LADAINHA;5;20;36;386;1383;2897;159;306;5192
313710 LAGAMAR;1;8;13;140;404;862;37;4;1469
313720 LAGOA DA PRATA;18;69;107;1038;3789;8590;434;4;14049
313730 LAGOA DOS PATOS;4;7;8;110;299;677;52;15;1172
313740 LAGOA DOURADA;5;14;33;282;984;2271;124;7;3720
313750 LAGOA FORMOSA;2;27;33;440;1229;2566;98;1;4396
313753 LAGOA GRANDE;2;9;16;219;653;1368;71;8;2346
313760 LAGOA SANTA;12;87;140;1372;4442;9896;528;5;16482
313770 LAJINHA;10;31;51;497;1649;4511;304;6;7059
313780 LAMBARI;4;34;33;428;1359;3681;295;1;5835
313790 LAMIM;2;3;-;66;281;546;34;25;957
313800 LARANJAL;1;6;9;81;223;703;46;5;1074
313810 LASSANCE;2;15;16;137;503;1231;89;17;2010
313820 LAVRAS;43;176;257;2559;7916;18552;1019;35;30557
313830 LEANDRO FERREIRA;-;3;5;61;204;476;28;1;778
313835 LEME DO PRADO;1;4;5;88;282;825;59;2;1266
313840 LEOPOLDINA;4;78;119;1036;3212;9682;889;6;15026
313850 LIBERDADE;1;7;5;102;265;703;51;3;1137
313860 LIMA DUARTE;4;21;36;346;1123;2540;147;2;4219
313862 LIMEIRA DO OESTE;2;4;11;147;568;1070;42;3;1847
313865 LONTRA;1;6;10;140;589;1677;109;18;2550
313867 LUISBURGO;3;11;17;175;598;1458;85;5;2352
313868 LUISLANDIA;-;13;10;163;540;1283;71;16;2096
313870 LUMINARIAS;-;2;21;130;343;768;65;9;1338
313880 LUZ;3;24;38;345;1236;2927;217;-;4790
313890 MACHACALIS;3;11;22;112;381;1600;205;14;2348
313900 MACHADO;14;66;91;938;3020;7465;483;17;12094
313910 MADRE DE DEUS DE MINAS;-;6;12;108;362;738;41;2;1269
313920 MALACACHETA;3;15;47;535;1628;4189;339;100;6856
313925 MAMONAS;2;8;7;74;286;848;62;5;1292
313930 MANGA;10;27;46;620;2107;5443;387;16;8656
313940 MANHUACU;42;129;208;2414;8004;19614;1288;34;31733
