 Nascidos vivos - Brasil;;;;
Nascim p/resid.mãe por Município e Sexo;;;;
Período:2000-2022;;;;
Município;Masc;Fem;Ign;Total
231095 PIRES FERREIRA;1514;1384;-;2898
231100 PORANGA;2240;2141;1;4382
231110 PORTEIRAS;3123;2815;2;5940
231120 POTENGI;1785;1769;-;3554
231123 POTIRETAMA;989;919;3;1911
231126 QUITERIANOPOLIS;3342;3109;2;6453
231130 QUIXADA;15682;14906;29;30617
231135 QUIXELO;2641;2480;1;5122
231140 QUIXERAMOBIM;13677;13171;8;26856
231150 QUIXERE;3329;3156;-;6485
231160 REDENCAO;5063;4815;5;9883
231170 RERIUTABA;3104;2969;3;6076
231180 RUSSAS;11737;10942;5;22684
231190 SABOEIRO;2772;2699;1;5472
231195 SALITRE;3516;3363;-;6879
231200 SANTANA DO ACARAU;5901;5542;1;11444
231210 SANTANA DO CARIRI;3419;3317;2;6738
231220 SANTA QUITERIA;7024;6822;2;13848
231230 SAO BENEDITO;9800;9359;2;19161
231240 SAO GONCALO DO AMARANTE;8665;8322;9;16996
231250 SAO JOAO DO JAGUARIBE;978;934;-;1912
231260 SAO LUIS DO CURU;1996;2088;6;4090
231270 SENADOR POMPEU;4232;4110;2;8344
231280 SENADOR SA;1328;1199;1;2528
231290 SOBRAL;38529;36830;4;75363
231300 SOLONOPOLE;2451;2304;2;4757
231310 TABULEIRO DO NORTE;4545;4476;10;9031
231320 TAMBORIL;4555;4309;1;8865
231325 TARRAFAS;1209;1177;-;2386
231330 TAUA;9855;9208;3;19066
231335 TEJUCUOCA;2943;2827;10;5780
231340 TIANGUA;16041;15251;4;31296
231350 TRAIRI;9326;8750;8;18084
231355 TURURU;3080;2902;1;5983
231360 UBAJARA;6439;6196;1;12636
231370 UMARI;1257;1147;-;2404
231375 UMIRIM;3427;3220;5;6652
231380 URUBURETAMA;4355;4316;2;8673
231390 URUOCA;2217;2153;1;4371
231395 VARJOTA;3241;3167;2;6410
231400 VARZEA ALEGRE;6583;6268;1;12852
231410 VICOSA DO CEARA;12368;11704;4;24076
 MUNICIPIO IGNORADO - RN;31;47;1;79
240010 ACARI;1685;1645;-;3330
240020 ACU;9560;9078;13;18651
240030 AFONSO BEZERRA;1660;1568;-;3228
240040 AGUA NOVA;512;553;-;1065
240050 ALEXANDRIA;2262;2084;-;4346
240060 ALMINO AFONSO;793;786;1;1580
240070 ALTO DO RODRIGUES;1887;1826;-;3713
240080 ANGICOS;1904;1855;1;3760
240090 ANTONIO MARTINS;1216;1122;-;2338
240100 APODI;5442;5045;2;10489
240110 AREIA BRANCA;4349;4097;5;8451
240120 ARES;2430;2268;6;4704
240130 AUGUSTO SEVERO;1382;1344;3;2729
240140 BAIA FORMOSA;1574;1416;4;2994
240145 BARAUNA;4905;4628;4;9537
240150 BARCELONA;532;555;-;1087
240160 BENTO FERNANDES;900;890;-;1790
240165 BODO;510;480;-;990
240170 BOM JESUS;1659;1579;2;3240
240180 BREJINHO;2156;2061;3;4220
240185 CAICARA DO NORTE;1120;941;2;2063
240190 CAICARA DO RIO DO VENTO;565;552;-;1117
240200 CAICO;9471;9001;9;18481
240210 CAMPO REDONDO;1676;1590;-;3266
240220 CANGUARETAMA;6667;6470;10;13147
240230 CARAUBAS;3458;3207;14;6679
240240 CARNAUBA DOS DANTAS;1158;1057;1;2216
240250 CARNAUBAIS;1598;1499;1;3098
240260 CEARA-MIRIM;14354;13682;10;28046
240270 CERRO CORA;1805;1779;1;3585
240280 CORONEL EZEQUIEL;912;921;-;1833
240290 CORONEL JOAO PESSOA;878;820;2;1700
240300 CRUZETA;1199;1145;-;2344
240310 CURRAIS NOVOS;6775;6523;3;13301
240320 DOUTOR SEVERIANO;1261;1213;3;2477
240325 PARNAMIRIM;40179;38105;234;78518
240330 ENCANTO;990;1004;2;1996
240340 EQUADOR;959;963;-;1922
240350 ESPIRITO SANTO;1437;1263;1;2701
240360 EXTREMOZ;5510;5187;4;10701
240370 FELIPE GUERRA;737;712;1;1450
240375 FERNANDO PEDROZA;471;423;-;894
240380 FLORANIA;1471;1466;5;2942
240390 FRANCISCO DANTAS;494;498;-;992
240400 FRUTUOSO GOMES;715;692;1;1408
240410 GALINHOS;341;376;-;717
240420 GOIANINHA;5670;5406;12;11088
240430 GOVERNADOR DIX-SEPT ROSADO;2006;1928;4;3938
240440 GROSSOS;1424;1363;2;2789
240450 GUAMARE;2832;2767;2;5601
240460 IELMO MARINHO;1627;1558;1;3186
240470 IPANGUACU;2686;2630;1;5317
240480 IPUEIRA;304;256;-;560
240485 ITAJA;1367;1236;3;2606
240490 ITAU;843;796;1;1640
240500 JACANA;1391;1246;1;2638
240510 JANDAIRA;1239;1155;2;2396
240520 JANDUIS;926;829;-;1755
240530 JANUARIO CICCO;1624;1503;2;3129
240540 JAPI;1289;1224;1;2514
240550 JARDIM DE ANGICOS;402;382;-;784
240560 JARDIM DE PIRANHAS;2064;2008;3;4075
240570 JARDIM DO SERIDO;1408;1467;1;2876
240580 JOAO CAMARA;6713;6130;1;12844
240590 JOAO DIAS;465;414;-;879
240600 JOSE DA PENHA;1000;941;1;1942
240610 JUCURUTU;2928;2744;9;5681
240615 JUNDIA;420;372;-;792
240620 LAGOA D'ANTA;1117;1017;-;2134
240630 LAGOA DE PEDRAS;1187;1109;1;2297
240640 LAGOA DE VELHOS;525;447;1;973
240650 LAGOA NOVA;2837;2758;4;5599
240660 LAGOA SALGADA;1681;1683;4;3368
240670 LAJES;1525;1466;-;2991
240680 LAJES PINTADAS;863;808;-;1671
240690 LUCRECIA;526;514;1;1041
240700 LUIS GOMES;1949;1802;3;3754
240710 MACAIBA;11433;11060;13;22506
240720 MACAU;3912;3735;1;7648
240725 MAJOR SALES;645;629;-;1274
240730 MARCELINO VIEIRA;1337;1296;-;2633
240740 MARTINS;1218;1225;1;2444
240750 MAXARANGUAPE;1699;1646;1;3346
