 Nascidos vivos - Brasil;;;;
Nascim p/resid.mãe por Município e Sexo;;;;
Período:2000-2022;;;;
Município;Masc;Fem;Ign;Total
251280 RIACHO DOS CAVALOS;1499;1433;-;2932
251290 RIO TINTO;3903;3851;4;7758
251300 SALGADINHO;640;593;1;1234
251310 SALGADO DE SAO FELIX;1711;1650;15;3376
251315 SANTA CECILIA;1129;1035;2;2166
251320 SANTA CRUZ;883;838;13;1734
251330 SANTA HELENA;901;777;2;1680
251335 SANTA INES;498;528;-;1026
251340 SANTA LUZIA;2464;2391;24;4879
251350 SANTANA DE MANGUEIRA;908;817;-;1725
251360 SANTANA DOS GARROTES;1170;1044;3;2217
251365 JOCA CLAUDINO;329;329;1;659
251370 SANTA RITA;26212;25368;111;51691
251380 SANTA TERESINHA;881;828;4;1713
251385 SANTO ANDRE;346;349;-;695
251390 SAO BENTO;5475;5168;2;10645
251392 SAO BENTINHO;593;578;-;1171
251394 SAO DOMINGOS DO CARIRI;378;363;-;741
251396 SAO DOMINGOS;431;403;2;836
251398 SAO FRANCISCO;568;537;11;1116
251400 SAO JOAO DO CARIRI;651;689;1;1341
251410 SAO JOAO DO TIGRE;711;632;3;1346
251420 SAO JOSE DA LAGOA TAPADA;1237;1175;13;2425
251430 SAO JOSE DE CAIANA;1208;1134;2;2344
251440 SAO JOSE DE ESPINHARAS;739;717;-;1456
251445 SAO JOSE DOS RAMOS;1017;929;6;1952
251450 SAO JOSE DE PIRANHAS;3310;3183;5;6498
251455 SAO JOSE DE PRINCESA;520;494;4;1018
251460 SAO JOSE DO BONFIM;647;676;-;1323
251465 SAO JOSE DO BREJO DO CRUZ;275;271;2;548
251470 SAO JOSE DO SABUGI;568;547;7;1122
251480 SAO JOSE DOS CORDEIROS;615;563;2;1180
251490 SAO MAMEDE;1328;1259;-;2587
251500 SAO MIGUEL DE TAIPU;1222;1222;1;2445
251510 SAO SEBASTIAO DE LAGOA DE ROCA;1761;1680;1;3442
251520 SAO SEBASTIAO DO UMBUZEIRO;575;505;3;1083
251530 SAPE;8716;8405;17;17138
251540 SAO VICENTE DO SERIDO;2002;1966;1;3969
251550 SERRA BRANCA;1872;1800;-;3672
251560 SERRA DA RAIZ;464;467;-;931
251570 SERRA GRANDE;551;525;2;1078
251580 SERRA REDONDA;1122;1108;1;2231
251590 SERRARIA;1085;1042;-;2127
251593 SERTAOZINHO;816;763;1;1580
251597 SOBRADO;1280;1220;3;2503
251600 SOLANEA;5055;4916;4;9975
251610 SOLEDADE;2611;2428;1;5040
251615 SOSSEGO;634;617;-;1251
251620 SOUSA;11804;11257;216;23277
251630 SUME;2831;2687;13;5531
251640 TACIMA;1357;1278;3;2638
251650 TAPEROA;2676;2481;13;5170
251660 TAVARES;2530;2319;13;4862
251670 TEIXEIRA;2989;2847;4;5840
251675 TENORIO;514;475;1;990
251680 TRIUNFO;1422;1287;7;2716
251690 UIRAUNA;2147;2121;6;4274
251700 UMBUZEIRO;1477;1449;-;2926
251710 VARZEA;368;345;6;719
251720 VIEIROPOLIS;649;602;7;1258
251740 ZABELE;432;394;1;827
 MUNICIPIO IGNORADO - PE;69;73;-;142
260005 ABREU E LIMA;16722;15986;23;32731
260010 AFOGADOS DA INGAZEIRA;7318;6929;2;14249
260020 AFRANIO;3772;3579;1;7352
260030 AGRESTINA;4282;4103;8;8393
260040 AGUA PRETA;6302;6265;2;12569
260050 AGUAS BELAS;9667;9317;10;18994
260060 ALAGOINHA;2533;2292;8;4833
260070 ALIANCA;7007;6728;2;13737
260080 ALTINHO;3397;3313;1;6711
260090 AMARAJI;4044;3889;1;7934
260100 ANGELIM;1941;1784;2;3727
260105 ARACOIABA;3748;3691;5;7444
260110 ARARIPINA;19915;19077;3;38995
260120 ARCOVERDE;14060;13503;5;27568
260130 BARRA DE GUABIRABA;2322;2178;4;4504
260140 BARREIROS;9347;9019;4;18370
260150 BELEM DE MARIA;1942;1833;-;3775
260160 BELEM DE SAO FRANCISCO;4656;4416;3;9075
260170 BELO JARDIM;14386;13886;18;28290
260180 BETANIA;2507;2449;-;4956
260190 BEZERROS;9902;9262;6;19170
260200 BODOCO;7288;6902;4;14194
260210 BOM CONSELHO;8137;7713;2;15852
260220 BOM JARDIM;6093;5860;8;11961
260230 BONITO;8042;7599;13;15654
260240 BREJAO;2246;2238;6;4490
260250 BREJINHO;1401;1288;1;2690
260260 BREJO DA MADRE DE DEUS;8940;8540;7;17487
260270 BUENOS AIRES;2320;2267;3;4590
260280 BUIQUE;12247;11534;6;23787
260290 CABO DE SANTO AGOSTINHO;37855;35767;20;73642
260300 CABROBO;6914;6637;3;13554
260310 CACHOEIRINHA;3484;3392;3;6879
260320 CAETES;5463;5070;5;10538
260330 CALCADO;1838;1765;5;3608
260340 CALUMBI;1244;1193;-;2437
260345 CAMARAGIBE;26903;25534;12;52449
260350 CAMOCIM DE SAO FELIX;2873;2651;4;5528
260360 CAMUTANGA;1487;1412;2;2901
260370 CANHOTINHO;4599;4401;4;9004
260380 CAPOEIRAS;3677;3591;6;7274
260390 CARNAIBA;3536;3378;1;6915
260392 CARNAUBEIRA DA PENHA;3572;3606;1;7179
260400 CARPINA;12665;12041;30;24736
260410 CARUARU;64273;61514;25;125812
260415 CASINHAS;2430;2231;1;4662
260420 CATENDE;6934;6743;-;13677
260430 CEDRO;2194;1960;2;4156
260440 CHA DE ALEGRIA;2444;2317;6;4767
260450 CHA GRANDE;3732;3633;2;7367
260460 CONDADO;4306;4150;4;8460
260470 CORRENTES;3026;2781;5;5812
260480 CORTES;2761;2659;1;5421
260490 CUMARU;2379;2295;2;4676
260500 CUPIRA;4442;4287;-;8729
260510 CUSTODIA;6716;6314;1;13031
260515 DORMENTES;3296;3194;-;6490
260520 ESCADA;13250;12561;5;25816
260530 EXU;6594;6340;-;12934
260540 FEIRA NOVA;3923;3770;1;7694
260545 FERNANDO DE NORONHA;248;219;-;467
260550 FERREIROS;1861;1835;2;3698
260560 FLORES;3681;3501;1;7183
260570 FLORESTA;6169;5780;4;11953
260580 FREI MIGUELINHO;1962;1891;1;3854
260590 GAMELEIRA;4600;4356;1;8957
260600 GARANHUNS;27351;26080;25;53456
260610 GLORIA DO GOITA;4812;4622;2;9436
260620 GOIANA;14697;13968;30;28695
260630 GRANITO;1343;1229;-;2572
260640 GRAVATA;13372;12871;1;26244
260650 IATI;4323;4066;22;8411
260660 IBIMIRIM;5956;5644;4;11604
260670 IBIRAJUBA;1315;1199;2;2516
260680 IGARASSU;18495;17300;33;35828
260690 IGUARACY;1902;1862;-;3764
260700 INAJA;4078;3766;3;7847
260710 INGAZEIRA;725;711;-;1436
260720 IPOJUCA;18861;17852;17;36730
260730 IPUBI;6637;6652;2;13291
260740 ITACURUBA;974;947;-;1921
260750 ITAIBA;5551;5175;1;10727
260760 ILHA DE ITAMARACA;3725;3439;3;7167
260765 ITAMBE;6246;5856;28;12130
260770 ITAPETIM;2474;2327;1;4802
260775 ITAPISSUMA;4491;4216;2;8709
260780 ITAQUITINGA;3056;2897;3;5956
260790 JABOATAO DOS GUARARAPES;110834;105720;48;216602
260795 JAQUEIRA;2446;2348;-;4794
260800 JATAUBA;3330;3078;4;6412
260805 JATOBA;2919;2638;8;5565
260810 JOAO ALFREDO;4794;4619;9;9422
260820 JOAQUIM NABUCO;3314;3166;6;6486
260825 JUCATI;2224;2116;6;4346
260830 JUPI;3378;3169;16;6563
260840 JUREMA;2836;2702;3;5541
260845 LAGOA DO CARRO;2724;2692;12;5428
260850 LAGOA DE ITAENGA;4562;4477;2;9041
260860 LAGOA DO OURO;2470;2444;-;4914
260870 LAGOA DOS GATOS;2665;2473;-;5138
260875 LAGOA GRANDE;4968;4644;-;9612
260880 LAJEDO;7976;7695;53;15724
260890 LIMOEIRO;10055;9489;11;19555
260900 MACAPARANA;4933;4598;1;9532
260910 MACHADOS;2367;2330;-;4697
260915 MANARI;3992;3765;-;7757
260920 MARAIAL;2720;2632;2;5354
260930 MIRANDIBA;3405;3289;1;6695
260940 MORENO;9523;8951;9;18483
260950 NAZARE DA MATA;5356;5145;6;10507
260960 OLINDA;70909;67568;33;138510
260970 OROBO;3691;3438;4;7133
260980 OROCO;3303;2937;2;6242
260990 OURICURI;14556;13865;4;28425
261000 PALMARES;13978;13387;4;27369
261010 PALMEIRINA;1532;1586;5;3123
261020 PANELAS;4758;4708;4;9470
261030 PARANATAMA;2719;2483;3;5205
261040 PARNAMIRIM;4308;4202;3;8513
261050 PASSIRA;5269;4929;2;10200
261060 PAUDALHO;10531;9821;22;20374
261070 PAULISTA;45994;43836;62;89892
261080 PEDRA;4583;4243;3;8829
261090 PESQUEIRA;12590;12116;7;24713
261100 PETROLANDIA;8489;8052;8;16549
261110 PETROLINA;68629;65331;18;133978
261120 POCAO;2306;2182;2;4490
261130 POMBOS;4655;4373;2;9030
261140 PRIMAVERA;2289;2141;-;4430
261150 QUIPAPA;4362;4164;2;8528
261153 QUIXABA;1162;1129;-;2291
261160 RECIFE;263566;251206;193;514965
261170 RIACHO DAS ALMAS;3570;3390;4;6964
261180 RIBEIRAO;7728;7499;3;15230
261190 RIO FORMOSO;4860;4617;6;9483
261200 SAIRE;1859;1671;1;3531
261210 SALGADINHO;842;875;-;1717
261220 SALGUEIRO;12545;12040;8;24593
261230 SALOA;2976;2904;2;5882
261240 SANHARO;3725;3507;1;7233
261245 SANTA CRUZ;3261;3158;1;6420
261247 SANTA CRUZ DA BAIXA VERDE;2326;2264;-;4590
261250 SANTA CRUZ DO CAPIBARIBE;15618;14623;7;30248
261255 SANTA FILOMENA;2728;2611;4;5343
261260 SANTA MARIA DA BOA VISTA;9707;9006;4;18717
261270 SANTA MARIA DO CAMBUCA;2424;2376;2;4802
261280 SANTA TEREZINHA;1907;1883;2;3792
261290 SAO BENEDITO DO SUL;2039;1948;1;3988
261300 SAO BENTO DO UNA;9863;9375;10;19248
261310 SAO CAITANO;6790;6675;5;13470
261320 SAO JOAO;4310;4204;3;8517
261330 SAO JOAQUIM DO MONTE;4240;4003;3;8246
261340 SAO JOSE DA COROA GRANDE;3936;3755;1;7692
261350 SAO JOSE DO BELMONTE;6576;6361;2;12939
261360 SAO JOSE DO EGITO;5404;5088;-;10492
261370 SAO LOURENCO DA MATA;18756;17497;14;36267
261380 SAO VICENTE FERRER;3438;3150;2;6590
261390 SERRA TALHADA;16478;15849;4;32331
261400 SERRITA;3760;3642;2;7404
261410 SERTANIA;5728;5527;2;11257
261420 SIRINHAEM;8489;7989;59;16537
261430 MOREILANDIA;1814;1775;-;3589
261440 SOLIDAO;1163;1066;3;2232
261450 SURUBIM;10265;9609;5;19879
261460 TABIRA;5510;5238;2;10750
261470 TACAIMBO;2105;2004;3;4112
261480 TACARATU;3995;3762;3;7760
261485 TAMANDARE;4661;4509;7;9177
261500 TAQUARITINGA DO NORTE;4564;4345;3;8912
261510 TEREZINHA;1310;1243;2;2555
261520 TERRA NOVA;1829;1697;-;3526
261530 TIMBAUBA;10079;9667;4;19750
261540 TORITAMA;7008;6849;12;13869
261550 TRACUNHAEM;2418;2339;3;4760
261560 TRINDADE;7136;6726;1;13863
261570 TRIUNFO;2476;2405;1;4882
261580 TUPANATINGA;4808;4762;1;9571
261590 TUPARETAMA;1531;1446;-;2977
261600 VENTUROSA;3339;3161;1;6501
261610 VERDEJANTE;1954;1950;2;3906
261618 VERTENTE DO LERIO;1539;1452;1;2992
261620 VERTENTES;3819;3647;1;7467
261630 VICENCIA;5114;5036;1;10151
261640 VITORIA DE SANTO ANTAO;24685;23613;7;48305
261650 XEXEU;3298;3205;1;6504
 MUNICIPIO IGNORADO - AL;5;9;-;14
270010 AGUA BRANCA;4337;4079;2;8418
270020 ANADIA;3293;3066;1;6360
270030 ARAPIRACA;47434;44588;7;92029
270040 ATALAIA;9238;8828;11;18077
270050 BARRA DE SANTO ANTONIO;3282;3155;2;6439
270060 BARRA DE SAO MIGUEL;1733;1628;-;3361
270070 BATALHA;3774;3536;1;7311
270080 BELEM;985;927;-;1912
270090 BELO MONTE;1236;1223;1;2460
270100 BOCA DA MATA;5297;5094;-;10391
270110 BRANQUINHA;2481;2410;3;4894
270120 CACIMBINHAS;2205;2182;1;4388
270130 CAJUEIRO;4598;4395;2;8995
270135 CAMPESTRE;1374;1318;2;2694
270140 CAMPO ALEGRE;7578;7311;5;14894
270150 CAMPO GRANDE;2172;2022;-;4194
270160 CANAPI;3883;3666;4;7553
270170 CAPELA;3564;3370;2;6936
270180 CARNEIROS;1999;2006;-;4005
270190 CHA PRETA;1547;1387;2;2936
270200 COITE DO NOIA;2150;2006;-;4156
270210 COLONIA LEOPOLDINA;4007;4044;6;8057
270220 COQUEIRO SECO;1097;1046;2;2145
270230 CORURIPE;11246;10826;15;22087
270235 CRAIBAS;5256;5038;1;10295
270240 DELMIRO GOUVEIA;10697;10135;5;20837
270250 DOIS RIACHOS;2357;2110;-;4467
270255 ESTRELA DE ALAGOAS;2910;2792;2;5704
270260 FEIRA GRANDE;4508;4142;1;8651
270270 FELIZ DESERTO;889;830;1;1720
270280 FLEXEIRAS;2691;2533;1;5225
270290 GIRAU DO PONCIANO;7247;6894;2;14143
270300 IBATEGUARA;3315;3149;2;6466
270310 IGACI;4575;4391;-;8966
270320 IGREJA NOVA;4768;4617;4;9389
270330 INHAPI;4114;3906;3;8023
270340 JACARE DOS HOMENS;1404;1331;-;2735
270350 JACUIPE;1195;1088;3;2286
270360 JAPARATINGA;1747;1800;-;3547
270370 JARAMATAIA;1259;1238;1;2498
270375 JEQUIA DA PRAIA;2016;1824;-;3840
270380 JOAQUIM GOMES;5357;5120;17;10494
270390 JUNDIA;767;752;1;1520
270400 JUNQUEIRO;4759;4494;9;9262
270410 LAGOA DA CANOA;4025;3847;-;7872
270420 LIMOEIRO DE ANADIA;4594;4220;3;8817
270430 MACEIO;180441;172339;64;352844
270440 MAJOR ISIDORO;3591;3522;2;7115
270450 MARAGOGI;6506;6311;1;12818
270460 MARAVILHA;2045;1977;1;4023
270470 MARECHAL DEODORO;10157;9566;4;19727
270480 MARIBONDO;2571;2364;2;4937
270490 MAR VERMELHO;550;487;1;1038
270500 MATA GRANDE;4799;4455;3;9257
270510 MATRIZ DE CAMARAGIBE;5389;5180;9;10578
270520 MESSIAS;3429;3463;-;6892
270530 MINADOR DO NEGRAO;1130;1074;-;2204
270540 MONTEIROPOLIS;1650;1604;-;3254
270550 MURICI;6330;6211;1;12542
270560 NOVO LINO;2276;2158;3;4437
270570 OLHO D'AGUA DAS FLORES;4585;4406;3;8994
270580 OLHO D'AGUA DO CASADO;1826;1694;4;3524
270590 OLHO D'AGUA GRANDE;1076;1021;1;2098
270600 OLIVENCA;2230;2236;-;4466
270610 OURO BRANCO;2349;2273;1;4623
270620 PALESTINA;1154;1121;-;2275
270630 PALMEIRA DOS INDIOS;16034;15266;3;31303
270640 PAO DE ACUCAR;5445;5149;1;10595
270642 PARICONHA;2199;2043;1;4243
270644 PARIPUEIRA;2466;2398;-;4864
270650 PASSO DE CAMARAGIBE;3070;2891;3;5964
270660 PAULO JACINTO;1326;1239;1;2566
270670 PENEDO;13271;12492;3;25766
270680 PIACABUCU;3927;3697;9;7633
270690 PILAR;7161;6861;10;14032
270700 PINDOBA;492;510;-;1002
270710 PIRANHAS;5775;5519;6;11300
270720 POCO DAS TRINCHEIRAS;2913;2756;-;5669
270730 PORTO CALVO;6050;5637;6;11693
270740 PORTO DE PEDRAS;1530;1442;-;2972
270750 PORTO REAL DO COLEGIO;3904;3716;4;7624
270760 QUEBRANGULO;2248;2238;-;4486
270770 RIO LARGO;14040;13127;6;27173
270780 ROTEIRO;1913;1798;-;3711
270790 SANTA LUZIA DO NORTE;1483;1391;2;2876
270800 SANTANA DO IPANEMA;10764;10230;3;20997
270810 SANTANA DO MUNDAU;2177;2100;1;4278
270820 SAO BRAS;1298;1300;8;2606
270830 SAO JOSE DA LAJE;5200;4913;3;10116
270840 SAO JOSE DA TAPERA;7459;7153;2;14614
270850 SAO LUIS DO QUITUNDE;7650;7267;3;14920
270860 SAO MIGUEL DOS CAMPOS;12528;11847;4;24379
270870 SAO MIGUEL DOS MILAGRES;1270;1269;-;2539
270880 SAO SEBASTIAO;7478;7013;6;14497
270890 SATUBA;2486;2452;-;4938
270895 SENADOR RUI PALMEIRA;2795;2768;2;5565
270900 TANQUE D'ARCA;984;998;1;1983
270910 TAQUARANA;3882;3668;1;7551
270915 TEOTONIO VILELA;9417;8763;8;18188
270920 TRAIPU;4753;4665;2;9420
270930 UNIAO DOS PALMARES;14532;14064;5;28601
270940 VICOSA;5580;5364;4;10948
 MUNICIPIO IGNORADO - SE;14;7;-;21
280010 AMPARO DE SAO FRANCISCO;451;389;2;842
280020 AQUIDABA;3456;3360;1;6817
280030 ARACAJU;108785;103767;45;212597
280040 ARAUA;2138;2061;2;4201
280050 AREIA BRANCA;3432;3297;-;6729
280060 BARRA DOS COQUEIROS;5508;5187;5;10700
280067 BOQUIM;4770;4451;2;9223
280070 BREJO GRANDE;1657;1534;7;3198
280100 CAMPO DO BRITO;3213;2989;-;6202
280110 CANHOBA;939;832;4;1775
280120 CANINDE DE SAO FRANCISCO;6701;6431;1;13133
280130 CAPELA;6496;6335;3;12834
280140 CARIRA;3905;3821;2;7728
280150 CARMOPOLIS;3067;2934;2;6003
280160 CEDRO DE SAO JOAO;944;909;2;1855
280170 CRISTINAPOLIS;3889;3608;-;7497
280190 CUMBE;643;600;-;1243
280200 DIVINA PASTORA;906;819;4;1729
280210 ESTANCIA;13323;12599;6;25928
280220 FEIRA NOVA;1167;1081;-;2248
280230 FREI PAULO;2728;2688;1;5417
280240 GARARU;1873;1809;4;3686
280250 GENERAL MAYNARD;481;419;1;901
280260 GRACHO CARDOSO;967;961;-;1928
280270 ILHA DAS FLORES;1777;1718;-;3495
280280 INDIAROBA;3638;3508;1;7147
280290 ITABAIANA;17642;16531;8;34181
280300 ITABAIANINHA;7975;7636;5;15616
280310 ITABI;775;673;-;1448
280320 ITAPORANGA D'AJUDA;6637;6322;6;12965
280330 JAPARATUBA;3090;3019;18;6127
280340 JAPOATA;2809;2462;3;5274
280350 LAGARTO;18605;17314;10;35929
280360 LARANJEIRAS;5726;5302;3;11031
280370 MACAMBIRA;1222;1158;1;2381
280380 MALHADA DOS BOIS;816;752;1;1569
280390 MALHADOR;2163;2135;2;4300
280400 MARUIM;3539;3353;10;6902
280410 MOITA BONITA;1743;1657;1;3401
280420 MONTE ALEGRE DE SERGIPE;3054;2782;-;5836
280430 MURIBECA;1383;1334;2;2719
280440 NEOPOLIS;3340;3225;3;6568
280445 NOSSA SENHORA APARECIDA;1363;1382;3;2748
280450 NOSSA SENHORA DA GLORIA;6865;6607;1;13473
280460 NOSSA SENHORA DAS DORES;4734;4517;1;9252
280470 NOSSA SENHORA DE LOURDES;1072;1026;-;2098
280480 NOSSA SENHORA DO SOCORRO;35084;32996;16;68096
280490 PACATUBA;2710;2676;-;5386
280500 PEDRA MOLE;491;457;-;948
280510 PEDRINHAS;1665;1525;-;3190
280520 PINHAO;1133;1119;8;2260
280530 PIRAMBU;1854;1703;1;3558
280540 POCO REDONDO;6393;5994;5;12392
280550 POCO VERDE;3800;3609;1;7410
280560 PORTO DA FOLHA;5322;4996;2;10320
280570 PROPRIA;5606;5349;6;10961
280580 RIACHAO DO DANTAS;3799;3674;3;7476
280590 RIACHUELO;2081;1955;12;4048
280600 RIBEIROPOLIS;2631;2429;-;5060
280610 ROSARIO DO CATETE;1995;1871;-;3866
280620 SALGADO;3428;3258;2;6688
280630 SANTA LUZIA DO ITANHY;3005;2840;3;5848
280640 SANTANA DO SAO FRANCISCO;1340;1224;-;2564
280650 SANTA ROSA DE LIMA;835;771;1;1607
280660 SANTO AMARO DAS BROTAS;2201;2111;2;4314
280670 SAO CRISTOVAO;15911;15207;12;31130
280680 SAO DOMINGOS;1764;1736;-;3500
280690 SAO FRANCISCO;567;544;1;1112
280700 SAO MIGUEL DO ALEIXO;666;630;1;1297
280710 SIMAO DIAS;7528;7333;2;14863
280720 SIRIRI;1503;1467;-;2970
280730 TELHA;550;557;-;1107
280740 TOBIAS BARRETO;9120;8668;16;17804
280750 TOMAR DO GERU;2568;2411;2;4981
280760 UMBAUBA;4936;4849;7;9792
 MUNICIPIO IGNORADO - BA;568;563;36;1167
290010 ABAIRA;720;666;3;1389
290020 ABARE;3537;3413;7;6957
290030 ACAJUTIBA;2765;2590;7;5362
290035 ADUSTINA;2285;2240;1;4526
290040 AGUA FRIA;2097;2065;10;4172
290050 ERICO CARDOSO;1384;1403;1;2788
290060 AIQUARA;715;739;-;1454
290070 ALAGOINHAS;25807;24600;29;50436
290080 ALCOBACA;3897;3749;14;7660
290090 ALMADINA;937;914;4;1855
290100 AMARGOSA;6050;5657;3;11710
290110 AMELIA RODRIGUES;3477;3426;51;6954
290115 AMERICA DOURADA;2967;2749;2;5718
290120 ANAGE;3467;3260;1;6728
290130 ANDARAI;2472;2359;1;4832
290135 ANDORINHA;2246;2207;1;4454
290140 ANGICAL;2294;2201;13;4508
290150 ANGUERA;1191;1070;12;2273
290160 ANTAS;1941;1878;9;3828
290170 ANTONIO CARDOSO;1824;1818;51;3693
290180 ANTONIO GONCALVES;1519;1475;14;3008
290190 APORA;2687;2454;5;5146
290195 APUAREMA;1242;1105;-;2347
290200 ARACATU;2188;2148;3;4339
290205 ARACAS;2133;2165;2;4300
290210 ARACI;9712;9042;19;18773
290220 ARAMARI;1557;1443;1;3001
290225 ARATACA;1794;1551;1;3346
290230 ARATUIPE;1375;1344;3;2722
290240 AURELINO LEAL;2585;2507;10;5102
290250 BAIANOPOLIS;2299;2306;3;4608
290260 BAIXA GRANDE;3296;3077;5;6378
290265 BANZAE;2113;2091;-;4204
290270 BARRA;10199;9740;5;19944
290280 BARRA DA ESTIVA;4714;4398;3;9115
290290 BARRA DO CHOCA;6916;6598;3;13517
290300 BARRA DO MENDES;2542;2341;1;4884
290310 BARRA DO ROCHA;1035;951;2;1988
290320 BARREIRAS;30988;29330;107;60425
290323 BARRO ALTO;2211;2169;-;4380
290327 BARROCAS;2197;2142;19;4358
290330 BARRO PRETO;1013;993;-;2006
290340 BELMONTE;4147;3814;35;7996
290350 BELO CAMPO;3049;2785;3;5837
290360 BIRITINGA;2630;2548;33;5211
290370 BOA NOVA;2377;2273;13;4663
290380 BOA VISTA DO TUPIM;3461;3141;7;6609
290390 BOM JESUS DA LAPA;12924;12354;7;25285
290395 BOM JESUS DA SERRA;1743;1605;3;3351
290400 BONINAL;2244;2156;3;4403
290405 BONITO;3117;2876;1;5994
290410 BOQUIRA;3470;3329;-;6799
290420 BOTUPORA;1898;1704;-;3602
290430 BREJOES;2538;2442;3;4983
290440 BREJOLANDIA;1142;1085;3;2230
290450 BROTAS DE MACAUBAS;1686;1541;3;3230
290460 BRUMADO;11067;10536;6;21609
290470 BUERAREMA;3584;3339;5;6928
290475 BURITIRAMA;3616;3604;4;7224
290480 CAATIBA;1195;1100;3;2298
290485 CABACEIRAS DO PARAGUACU;2945;2842;28;5815
290490 CACHOEIRA;5001;4797;12;9810
290500 CACULE;3359;3355;11;6725
290510 CAEM;2224;2079;13;4316
290515 CAETANOS;1637;1558;3;3198
290520 CAETITE;8497;7875;15;16387
290530 CAFARNAUM;3740;3534;2;7276
290540 CAIRU;2873;2769;-;5642
290550 CALDEIRAO GRANDE;2214;2223;7;4444
290560 CAMACAN;5987;5816;5;11808
290570 CAMACARI;46994;44158;22;91174
290580 CAMAMU;6889;6454;121;13464
290590 CAMPO ALEGRE DE LOURDES;6226;5804;3;12033
290600 CAMPO FORMOSO;14262;13605;9;27876
290610 CANAPOLIS;1689;1485;12;3186
290620 CANARANA;4959;4713;2;9674
290630 CANAVIEIRAS;6326;5980;28;12334
290640 CANDEAL;1277;1183;13;2473
290650 CANDEIAS;13182;12541;91;25814
290660 CANDIBA;1975;1885;1;3861
290670 CANDIDO SALES;4878;4595;3;9476
290680 CANSANCAO;5754;5542;30;11326
290682 CANUDOS;2674;2635;2;5311
290685 CAPELA DO ALTO ALEGRE;1457;1400;19;2876
290687 CAPIM GROSSO;5889;5404;5;11298
290689 CARAIBAS;1346;1359;-;2705
290690 CARAVELAS;3353;3229;17;6599
290700 CARDEAL DA SILVA;1587;1557;8;3152
290710 CARINHANHA;5375;5064;4;10443
290720 CASA NOVA;13557;12724;1;26282
290730 CASTRO ALVES;4290;4179;36;8505
290740 CATOLANDIA;573;513;1;1087
290750 CATU;7959;7636;13;15608
290755 CATURAMA;1221;1193;-;2414
290760 CENTRAL;3203;2953;5;6161
290770 CHORROCHO;2137;2003;1;4141
290780 CICERO DANTAS;4973;4550;6;9529
290790 CIPO;3300;3130;19;6449
290800 COARACI;3807;3829;12;7648
290810 COCOS;3116;2921;1;6038
290820 CONCEICAO DA FEIRA;3069;2869;25;5963
290830 CONCEICAO DO ALMEIDA;2240;2208;8;4456
290840 CONCEICAO DO COITE;12327;12023;8;24358
290850 CONCEICAO DO JACUIPE;4750;4583;28;9361
290860 CONDE;4482;4243;4;8729
290870 CONDEUBA;2746;2500;6;5252
290880 CONTENDAS DO SINCORA;600;539;-;1139
290890 CORACAO DE MARIA;3601;3526;43;7170
290900 CORDEIROS;1085;1032;3;2120
290910 CORIBE;2174;2195;4;4373
290920 CORONEL JOAO SA;2914;2671;1;5586
290930 CORRENTINA;5673;5300;3;10976
290940 COTEGIPE;2159;2096;12;4267
290950 CRAVOLANDIA;963;889;3;1855
290960 CRISOPOLIS;3402;3329;15;6746
290970 CRISTOPOLIS;2160;1927;3;4090
290980 CRUZ DAS ALMAS;9717;9170;142;19029
290990 CURACA;6639;6429;-;13068
291000 DARIO MEIRA;2163;2011;5;4179
291005 DIAS D'AVILA;12884;12362;17;25263
291010 DOM BASILIO;1655;1684;7;3346
291020 DOM MACEDO COSTA;597;563;-;1160
291030 ELISIO MEDRADO;1080;988;-;2068
291040 ENCRUZILHADA;3936;3661;1;7598
291050 ENTRE RIOS;7444;7133;1;14578
291060 ESPLANADA;6451;6088;1;12540
291070 EUCLIDES DA CUNHA;9491;8795;3;18289
291072 EUNAPOLIS;22232;20811;17;43060
291075 FATIMA;2748;2612;2;5362
291077 FEIRA DA MATA;564;502;2;1068
291080 FEIRA DE SANTANA;109961;104742;1285;215988
291085 FILADELFIA;3169;3189;9;6367
291090 FIRMINO ALVES;785;748;1;1534
291100 FLORESTA AZUL;1704;1629;4;3337
291110 FORMOSA DO RIO PRETO;4672;4550;4;9226
291120 GANDU;6310;5993;-;12303
291125 GAVIAO;597;594;7;1198
291130 GENTIO DO OURO;1693;1678;-;3371
291140 GLORIA;2838;2657;2;5497
291150 GONGOGI;1176;1112;2;2290
291160 GOVERNADOR MANGABEIRA;3179;3137;40;6356
291165 GUAJERU;1149;1076;4;2229
291170 GUANAMBI;14445;13713;16;28174
291180 GUARATINGA;3432;3297;2;6731
291185 HELIOPOLIS;1901;1786;4;3691
291190 IACU;5230;5091;16;10337
291200 IBIASSUCE;1455;1420;1;2876
291210 IBICARAI;4283;4153;1;8437
291220 IBICOARA;3697;3472;-;7169
291230 IBICUI;2356;2249;1;4606
291240 IBIPEBA;2789;2765;1;5555
291250 IBIPITANGA;1938;1769;1;3708
291260 IBIQUERA;736;681;10;1427
291270 IBIRAPITANGA;4967;4580;7;9554
291280 IBIRAPUA;1145;1078;6;2229
291290 IBIRATAIA;4153;4008;3;8164
291300 IBITIARA;2312;2206;3;4521
291310 IBITITA;3065;2927;2;5994
291320 IBOTIRAMA;5331;5106;5;10442
291330 ICHU;818;764;6;1588
291340 IGAPORA;2068;1952;-;4020
291345 IGRAPIUNA;2315;2158;6;4479
291350 IGUAI;4613;4488;19;9120
291360 ILHEUS;33074;31499;237;64810
