 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município e Adeq quant pré-natal*
Período:2000-2022
"Município";"Não fez pré-natal";"Inadequado";"Intermediário";"Adequado";"Mais que adequado";"Não Classificados";"Não informado";"Total"
"220205 CABECEIRAS DO PIAUI";1;166;62;112;622;74;2081;3118
"220207 CAJAZEIRAS DO PIAUI";1;87;17;33;195;8;609;950
"220208 CAJUEIRO DA PRAIA";8;301;141;100;422;45;1346;2363
"220209 CALDEIRAO GRANDE DO PIAUI";4;108;10;25;460;20;1077;1704
"220210 CAMPINAS DO PIAUI";1;125;38;53;274;20;1218;1729
"220211 CAMPO ALEGRE DO FIDALGO";-;149;14;28;351;6;1068;1616
"220213 CAMPO GRANDE DO PIAUI";2;172;30;65;469;16;1276;2030
"220217 CAMPO LARGO DO PIAUI";4;260;68;85;477;60;1650;2604
"220220 CAMPO MAIOR";8;1067;478;685;2743;349;10685;16015
"220225 CANAVIEIRA";1;78;46;46;198;19;864;1252
"220230 CANTO DO BURITI";12;469;236;281;1372;121;4675;7166
"220240 CAPITAO DE CAMPOS";1;234;28;92;973;65;2553;3946
"220245 CAPITAO GERVASIO OLIVEIRA";-;159;13;16;252;8;846;1294
"220250 CARACOL";1;221;114;133;788;305;2474;4036
"220253 CARAUBAS DO PIAUI";6;197;48;60;332;31;1364;2038
"220255 CARIDADE DO PIAUI";5;113;39;49;421;21;1121;1769
"220260 CASTELO DO PIAUI";3;476;115;249;1426;165;5136;7570
"220265 CAXINGO";-;233;61;78;395;39;1335;2141
"220270 COCAL";14;881;284;324;2071;159;6594;10327
"220271 COCAL DE TELHA";-;99;31;63;331;22;1151;1697
"220272 COCAL DOS ALVES";2;164;64;40;350;26;1228;1874
"220273 COIVARAS";1;97;37;48;206;56;740;1185
"220275 COLONIA DO GURGUEIA";-;177;38;57;416;22;1477;2187
"220277 COLONIA DO PIAUI";1;163;64;78;473;25;1459;2263
"220280 CONCEICAO DO CANINDE";2;117;17;42;395;23;1106;1702
"220285 CORONEL JOSE DIAS";2;105;28;66;259;6;886;1352
"220290 CORRENTE";17;1237;492;320;1838;184;6448;10536
"220300 CRISTALANDIA DO PIAUI";3;256;63;79;468;26;2065;2960
"220310 CRISTINO CASTRO";-;362;136;155;819;18;2743;4233
"220320 CURIMATA";1;316;169;202;1005;25;3195;4913
"220323 CURRAIS";1;174;55;98;379;7;1379;2093
"220325 CURRALINHOS";2;109;60;52;239;114;731;1307
"220327 CURRAL NOVO DO PIAUI";1;127;32;138;420;18;1064;1800
"220330 DEMERVAL LOBAO";6;411;159;165;1009;371;2970;5091
"220335 DIRCEU ARCOVERDE";3;198;85;86;382;110;1280;2144
"220340 DOM EXPEDITO LOPES";3;122;62;77;414;17;1270;1965
"220342 DOMINGOS MOURAO";1;117;35;52;266;16;1073;1560
"220345 DOM INOCENCIO";5;170;62;86;363;96;1584;2366
"220350 ELESBAO VELOSO";5;294;72;122;770;141;3075;4479
"220360 ELISEU MARTINS";-;103;38;34;258;16;957;1406
"220370 ESPERANTINA";16;1309;394;451;3391;201;9957;15719
"220375 FARTURA DO PIAUI";1;190;66;92;271;52;1061;1733
"220380 FLORES DO PIAUI";1;121;68;64;227;13;1082;1576
"220385 FLORESTA DO PIAUI";-;50;9;21;123;2;433;638
"220390 FLORIANO";7;1582;1080;922;4689;208;13801;22289
"220400 FRANCINOPOLIS";-;141;24;34;276;34;1141;1650
"220410 FRANCISCO AYRES";1;95;50;63;307;11;991;1518
"220415 FRANCISCO MACEDO";1;62;16;50;162;14;518;823
"220420 FRANCISCO SANTOS";7;142;76;101;520;32;1633;2511
"220430 FRONTEIRAS";6;175;75;126;801;23;2426;3632
"220435 GEMINIANO";5;174;68;77;393;22;1203;1942
"220440 GILBUES";3;461;144;156;820;68;2821;4473
"220450 GUADALUPE";5;277;198;150;649;207;2532;4018
"220455 GUARIBAS";1;115;31;61;382;78;1200;1868
"220460 HUGO NAPOLEAO";-;58;15;34;275;50;728;1160
"220465 ILHA GRANDE";9;440;186;141;501;62;2356;3695
"220470 INHUMA";2;412;71;107;964;52;3316;4924
"220480 IPIRANGA DO PIAUI";7;218;61;92;632;33;2108;3151
"220490 ISAIAS COELHO";2;222;22;38;699;35;2017;3035
"220500 ITAINOPOLIS";3;178;58;103;687;30;2040;3099
"220510 ITAUEIRA";3;198;99;119;679;29;2433;3560
"220515 JACOBINA DO PIAUI";-;104;58;68;373;23;1233;1859
"220520 JAICOS";12;572;198;333;1240;81;4743;7179
"220525 JARDIM DO MULATO";-;97;49;54;148;83;731;1162
"220527 JATOBA DO PIAUI";1;136;34;61;193;19;1125;1569
"220530 JERUMENHA";-;130;89;78;236;40;974;1547
"220535 JOAO COSTA";-;99;15;34;189;8;588;933
"220540 JOAQUIM PIRES";6;536;185;241;803;89;3513;5373
"220545 JOCA MARQUES";2;176;61;88;294;75;1325;2021
"220550 JOSE DE FREITAS";25;1239;472;436;2384;816;8389;13761
"220551 JUAZEIRO DO PIAUI";1;107;32;48;279;41;1205;1713
"220552 JULIO BORGES";1;185;51;73;426;11;1170;1917
"220553 JUREMA";-;111;36;62;380;26;1240;1855
"220554 LAGOINHA DO PIAUI";-;73;28;21;173;35;547;877
"220555 LAGOA ALEGRE";4;220;74;116;367;224;1723;2728
"220556 LAGOA DO BARRO DO PIAUI";3;152;19;25;354;100;1013;1666
"220557 LAGOA DE SAO FRANCISCO";4;128;62;64;388;27;1305;1978
"220558 LAGOA DO PIAUI";3;131;56;55;225;98;642;1210
"220559 LAGOA DO SITIO";1;127;11;27;323;12;1039;1540
"220560 LANDRI SALES";1;123;24;32;376;35;1291;1882
"220570 LUIS CORREIA";32;1272;606;382;1514;207;7196;11209
"220580 LUZILANDIA";12;810;390;337;1291;412;6635;9887
"220585 MADEIRO";3;241;67;125;551;90;2174;3251
"220590 MANOEL EMIDIO";1;117;45;51;395;15;1233;1857
