 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município e Adeq quant pré-natal*
Período:2000-2022
"Município";"Não fez pré-natal";"Inadequado";"Intermediário";"Adequado";"Mais que adequado";"Não Classificados";"Não informado";"Total"
"420170 ASCURRA";-;147;42;55;676;7;1177;2104
"420180 ATALANTA";1;42;36;46;246;6;548;925
"420190 AURORA";2;56;37;46;570;5;994;1710
"420195 BALNEARIO ARROIO DO SILVA";6;246;160;153;887;21;1630;3103
"420200 BALNEARIO CAMBORIU";49;1485;946;933;11042;139;18456;33050
"420205 BALNEARIO BARRA DO SUL";11;188;113;122;853;20;1304;2611
"420207 BALNEARIO GAIVOTA";4;193;93;129;921;32;1367;2739
"420208 BANDEIRANTE";-;65;12;10;246;3;496;832
"420209 BARRA BONITA";-;31;9;8;104;1;368;521
"420210 BARRA VELHA";20;715;313;293;3247;61;4243;8892
"420213 BELA VISTA DO TOLDO";-;91;19;20;384;90;1116;1720
"420215 BELMONTE";1;54;13;15;212;4;484;783
"420220 BENEDITO NOVO";-;138;23;38;758;42;1606;2605
"420230 BIGUACU";51;1608;679;673;5249;397;11097;19754
"420240 BLUMENAU";76;9023;1720;2225;26608;121;56946;96719
"420243 BOCAINA DO SUL";-;88;30;22;252;5;635;1032
"420245 BOMBINHAS";11;298;216;202;1889;38;2682;5336
"420250 BOM JARDIM DA SERRA";2;91;41;42;218;20;670;1084
"420253 BOM JESUS";1;60;26;25;201;7;511;831
"420257 BOM JESUS DO OESTE";-;21;10;16;164;1;350;562
"420260 BOM RETIRO";2;215;49;66;790;32;2069;3223
"420270 BOTUVERA";2;40;18;23;444;14;590;1131
"420280 BRACO DO NORTE";11;470;290;315;3498;59;5927;10570
"420285 BRACO DO TROMBUDO";2;39;23;21;325;4;637;1051
"420287 BRUNOPOLIS";-;57;13;23;186;2;582;863
"420290 BRUSQUE";28;1614;851;1128;13262;88;18249;35220
"420300 CACADOR";38;1390;552;547;7761;123;17835;28246
"420310 CAIBI";4;90;12;34;478;13;1002;1633
"420315 CALMON";3;109;44;52;329;12;928;1477
"420320 CAMBORIU";66;1756;1389;1093;8146;216;13955;26621
"420325 CAPAO ALTO";-;46;17;17;172;2;446;700
"420330 CAMPO ALEGRE";3;140;41;112;947;38;2298;3579
"420340 CAMPO BELO DO SUL";2;136;37;53;546;23;1494;2291
"420350 CAMPO ERE";2;228;64;75;953;13;2443;3778
"420360 CAMPOS NOVOS";5;834;509;543;2726;197;7195;12009
"420370 CANELINHA";9;295;92;128;717;66;1963;3270
"420380 CANOINHAS";9;982;277;313;5356;293;12511;19741
"420390 CAPINZAL";15;473;92;206;1994;131;4685;7596
"420395 CAPIVARI DE BAIXO";7;302;318;338;1827;16;4186;6994
"420400 CATANDUVAS";7;214;85;123;1032;29;2024;3514
"420410 CAXAMBU DO SUL";-;62;24;32;395;15;780;1308
"420415 CELSO RAMOS";1;36;24;28;167;13;457;726
"420417 CERRO NEGRO";-;84;20;29;227;8;634;1002
"420419 CHAPADAO DO LAGEADO";-;21;5;14;293;2;576;911
"420420 CHAPECO";141;3299;1505;2007;24216;958;38356;70482
"420425 COCAL DO SUL";6;240;160;223;1202;12;2472;4315
"420430 CONCORDIA";17;900;315;707;7811;30;13131;22911
"420435 CORDILHEIRA ALTA";-;40;37;37;373;13;481;981
"420440 CORONEL FREITAS";8;109;100;122;698;28;1578;2643
"420445 CORONEL MARTINS";-;23;4;14;175;1;404;621
"420450 CORUPA";4;259;89;93;1236;3;2462;4146
"420455 CORREIA PINTO";1;319;120;157;1328;26;3156;5107
"420460 CRICIUMA";139;3477;1620;2090;17959;97;37028;62410
"420470 CUNHA PORA";2;122;25;31;1024;15;1631;2850
"420475 CUNHATAI";-;10;6;4;157;6;248;431
"420480 CURITIBANOS";29;1180;230;527;3752;24;9823;15565
"420490 DESCANSO";2;154;44;48;580;3;1355;2186
"420500 DIONISIO CERQUEIRA";10;350;75;115;1472;21;3375;5418
"420510 DONA EMMA";-;75;31;41;328;11;697;1183
"420515 DOUTOR PEDRINHO";-;39;12;22;229;16;527;845
"420517 ENTRE RIOS";-;88;22;33;366;7;772;1288
"420519 ERMO";-;27;45;34;180;3;490;779
"420520 ERVAL VELHO";3;67;28;36;370;12;667;1183
"420530 FAXINAL DOS GUEDES";7;226;55;75;1015;18;2347;3743
"420535 FLOR DO SERTAO";1;25;3;11;142;-;252;434
"420540 FLORIANOPOLIS";222;8856;3243;3508;36117;3249;73129;128324
"420543 FORMOSA DO SUL";-;24;11;15;225;8;459;742
"420545 FORQUILHINHA";18;540;341;418;2553;22;4201;8093
"420550 FRAIBURGO";8;440;100;125;3168;1056;8893;13790
"420555 FREI ROGERIO";-;42;8;27;160;2;550;789
"420560 GALVAO";1;67;14;25;269;2;722;1100
"420570 GAROPABA";14;408;243;208;1799;94;3025;5791
"420580 GARUVA";19;388;158;172;1837;35;3482;6091
"420590 GASPAR";16;1437;476;664;5563;48;10050;18254
"420600 GOVERNADOR CELSO RAMOS";9;325;117;114;916;88;2183;3752
"420610 GRAO PARA";1;84;72;87;526;10;1022;1802
"420620 GRAVATAL";10;168;124;126;754;15;1753;2950
"420630 GUABIRUBA";9;307;158;174;2041;46;2682;5417
"420640 GUARACIABA";1;198;20;31;737;26;1596;2609
"420650 GUARAMIRIM";8;776;244;298;4204;22;6927;12479
"420660 GUARUJA DO SUL";3;113;31;52;287;6;802;1294
"420665 GUATAMBU";4;131;75;86;621;36;904;1857
