 Nascidos vivos - Brasil;;;;;
Nascim p/resid.mãe por Município e Anomalia congênita;;;;;
Período:2000-2022;;;;;
Município;Sim;Não;Não ou ignorado;Ignorado;Total
130190 ITACOATIARA;73;44460;1721;142;46396
130195 ITAMARATI;15;4834;118;32;4999
130200 ITAPIRANGA;18;3797;200;161;4176
130210 JAPURA;29;2909;44;22;3004
130220 JURUA;34;3947;94;36;4111
130230 JUTAI;30;8968;303;2101;11402
130240 LABREA;17;14256;364;1806;16443
130250 MANACAPURU;264;45530;2132;646;48572
130255 MANAQUIRI;34;4283;246;678;5241
130260 MANAUS;6016;801681;39998;46358;894053
130270 MANICORE;93;18907;616;188;19804
130280 MARAA;34;7388;106;51;7579
130290 MAUES;131;29448;907;63;30549
130300 NHAMUNDA;52;7152;310;239;7753
130310 NOVA OLINDA DO NORTE;23;12944;465;156;13588
130320 NOVO AIRAO;28;6200;215;51;6494
130330 NOVO ARIPUANA;21;8144;345;22;8532
130340 PARINTINS;279;46461;2337;127;49204
130350 PAUINI;14;7019;202;196;7431
130353 PRESIDENTE FIGUEIREDO;61;11037;426;210;11734
130356 RIO PRETO DA EVA;60;7379;193;218;7850
130360 SANTA ISABEL DO RIO NEGRO;33;6544;177;24;6778
130370 SANTO ANTONIO DO ICA;89;13300;195;67;13651
130380 SAO GABRIEL DA CACHOEIRA;183;26663;560;328;27734
130390 SAO PAULO DE OLIVENCA;77;16906;269;50;17302
130395 SAO SEBASTIAO DO UATUMA;18;3980;106;19;4123
130400 SILVES;31;4237;176;14;4458
130406 TABATINGA;134;32625;1008;160;33927
130410 TAPAUA;27;9101;367;86;9581
130420 TEFE;197;35961;1742;1325;39225
130423 TONANTINS;14;7380;241;512;8147
130426 UARINI;43;6795;209;46;7093
130430 URUCARA;36;6441;281;169;6927
130440 URUCURITUBA;19;7253;178;38;7488
 MUNICIPIO IGNORADO - RR;-;33;-;-;33
140002 AMAJARI;44;6450;192;93;6779
140005 ALTO ALEGRE;56;11760;527;251;12594
140010 BOA VISTA;782;146713;6245;276;154016
140015 BONFIM;32;7038;212;52;7334
140017 CANTA;48;6687;190;27;6952
140020 CARACARAI;39;8385;434;92;8950
140023 CAROEBE;20;3627;130;26;3803
140028 IRACEMA;22;3190;127;35;3374
140030 MUCAJAI;43;6939;292;49;7323
140040 NORMANDIA;54;7885;287;145;8371
140045 PACARAIMA;74;7768;317;40;8199
140047 RORAINOPOLIS;50;9635;308;37;10030
140050 SAO JOAO DA BALIZA;17;2666;118;42;2843
140060 SAO LUIZ;15;2131;119;12;2277
140070 UIRAMUTA;65;9110;237;49;9461
 MUNICIPIO IGNORADO - PA;2;50;8;1;61
150010 ABAETETUBA;261;58085;3010;521;61877
150013 ABEL FIGUEIREDO;11;2507;102;18;2638
150020 ACARA;91;19741;790;150;20772
150030 AFUA;188;17412;637;542;18779
150034 AGUA AZUL DO NORTE;30;4205;189;64;4488
150040 ALENQUER;249;26984;1431;51;28715
150050 ALMEIRIM;113;16922;729;227;17991
150060 ALTAMIRA;181;48198;2277;2265;52921
150070 ANAJAS;15;14891;285;143;15334
150080 ANANINDEUA;909;191511;9334;1081;202835
150085 ANAPU;44;10708;197;121;11070
150090 AUGUSTO CORREA;52;20929;605;44;21630
150095 AURORA DO PARA;37;9220;376;65;9698
150100 AVEIRO;35;4898;189;21;5143
150110 BAGRE;40;10648;135;239;11062
150120 BAIAO;25;11495;270;183;11973
150125 BANNACH;4;1075;51;16;1146
150130 BARCARENA;151;43041;1420;1750;46362
150140 BELEM;2646;473108;27339;698;503791
150145 BELTERRA;29;5730;189;65;6013
150150 BENEVIDES;100;20979;812;78;21969
150157 BOM JESUS DO TOCANTINS;23;5428;179;56;5686
150160 BONITO;12;4196;197;8;4413
150170 BRAGANCA;127;48658;2203;195;51183
150172 BRASIL NOVO;44;6522;278;57;6901
150175 BREJO GRANDE DO ARAGUAIA;13;2361;160;22;2556
150178 BREU BRANCO;123;17287;128;33;17571
150180 BREVES;400;52166;1312;313;54191
150190 BUJARU;38;10726;279;149;11192
150195 CACHOEIRA DO PIRIA;14;6474;111;58;6657
150200 CACHOEIRA DO ARARI;15;5920;169;12;6116
150210 CAMETA;286;51175;2400;4631;58492
150215 CANAA DOS CARAJAS;72;17063;201;1823;19159
150220 CAPANEMA;74;25057;1266;63;26460
150230 CAPITAO POCO;61;18774;862;117;19814
150240 CASTANHAL;379;71914;3318;75;75686
150250 CHAVES;34;6216;106;58;6414
150260 COLARES;21;3705;154;42;3922
150270 CONCEICAO DO ARAGUAIA;102;18737;1068;93;20000
150275 CONCORDIA DO PARA;53;10341;270;148;10812
150276 CUMARU DO NORTE;20;2913;35;30;2998
150277 CURIONOPOLIS;33;8201;396;16;8646
150280 CURRALINHO;53;12498;155;86;12792
150285 CURUA;34;5019;185;21;5259
150290 CURUCA;66;10486;282;73;10907
150293 DOM ELISEU;71;17682;884;79;18716
150295 ELDORADO DOS CARAJAS;52;12718;476;67;13313
150300 FARO;24;3181;113;41;3359
150304 FLORESTA DO ARAGUAIA;29;6532;212;35;6808
150307 GARRAFAO DO NORTE;24;9335;485;1320;11164
150309 GOIANESIA DO PARA;65;14541;502;69;15177
150310 GURUPA;98;14813;363;202;15476
150320 IGARAPE-ACU;51;12832;630;41;13554
150330 IGARAPE-MIRI;103;25418;853;259;26633
150340 INHANGAPI;21;3809;173;11;4014
150345 IPIXUNA DO PARA;47;12523;325;76;12971
150350 IRITUIA;71;11131;629;55;11886
150360 ITAITUBA;286;55010;2819;79;58194
150370 ITUPIRANGA;118;20465;707;84;21374
150375 JACAREACANGA;44;10665;173;70;10952
150380 JACUNDA;97;21625;1165;39;22926
150390 JURUTI;123;19716;397;384;20620
150400 LIMOEIRO DO AJURU;51;9858;273;170;10352
150405 MAE DO RIO;77;14397;655;32;15161
150410 MAGALHAES BARATA;11;2308;123;12;2454
150420 MARABA;431;104323;3417;298;108469
150430 MARACANA;51;9017;315;60;9443
150440 MARAPANIM;40;6931;203;24;7198
150442 MARITUBA;179;37333;1671;105;39288
150445 MEDICILANDIA;44;10474;575;119;11212
150450 MELGACO;41;12103;136;232;12512
150460 MOCAJUBA;31;11054;432;245;11762
150470 MOJU;153;26586;859;241;27839
150475 MOJUI DOS CAMPOS;13;2310;-;19;2342
150480 MONTE ALEGRE;143;25732;1267;154;27296
150490 MUANA;42;11378;406;32;11858
150495 NOVA ESPERANCA DO PIRIA;15;8198;173;40;8426
150497 NOVA IPIXUNA;22;4608;99;12;4741
150500 NOVA TIMBOTEUA;8;3643;165;8;3824
150503 NOVO PROGRESSO;50;11152;264;58;11524
150506 NOVO REPARTIMENTO;116;28490;837;42;29485
150510 OBIDOS;141;22785;854;322;24102
150520 OEIRAS DO PARA;66;15363;449;260;16138
150530 ORIXIMINA;227;32455;1343;255;34280
150540 OUREM;35;6587;315;156;7093
150543 OURILANDIA DO NORTE;58;11470;263;266;12057
150548 PACAJA;78;15161;522;71;15832
150549 PALESTINA DO PARA;17;3013;170;15;3215
150550 PARAGOMINAS;243;45060;1738;100;47141
150553 PARAUAPEBAS;404;87698;2246;92;90440
150555 PAU D'ARCO;17;2839;82;18;2956
150560 PEIXE-BOI;7;2477;127;26;2637
150563 PICARRA;17;3542;162;35;3756
150565 PLACAS;31;6087;217;37;6372
150570 PONTA DE PEDRAS;38;5869;218;976;7101
150580 PORTEL;206;28190;913;93;29402
150590 PORTO DE MOZ;20;14512;369;92;14993
150600 PRAINHA;52;14487;493;35;15067
150610 PRIMAVERA;16;4215;208;22;4461
150611 QUATIPURU;10;4189;209;17;4425
150613 REDENCAO;205;37141;1709;348;39403
150616 RIO MARIA;27;7024;370;206;7627
150618 RONDON DO PARA;62;17671;978;49;18760
150619 RUROPOLIS;35;9515;432;30;10012
150620 SALINOPOLIS;61;15854;682;58;16655
150630 SALVATERRA;14;7080;206;15;7315
150635 SANTA BARBARA DO PARA;36;6423;236;32;6727
150640 SANTA CRUZ DO ARARI;5;1685;47;12;1749
150650 SANTA IZABEL DO PARA;98;20837;820;75;21830
150655 SANTA LUZIA DO PARA;11;7786;346;115;8258
150658 SANTA MARIA DAS BARREIRAS;27;3741;109;63;3940
150660 SANTA MARIA DO PARA;52;9644;517;38;10251
150670 SANTANA DO ARAGUAIA;42;13666;522;30;14260
150680 SANTAREM;819;143584;6063;1121;151587
150690 SANTAREM NOVO;10;2237;96;7;2350
150700 SANTO ANTONIO DO TAUA;59;10844;554;21;11478
150710 SAO CAETANO DE ODIVELAS;36;4862;203;40;5141
150715 SAO DOMINGOS DO ARAGUAIA;33;9672;486;34;10225
150720 SAO DOMINGOS DO CAPIM;77;13252;441;31;13801
150730 SAO FELIX DO XINGU;117;21354;631;141;22243
150740 SAO FRANCISCO DO PARA;20;5050;237;9;5316
150745 SAO GERALDO DO ARAGUAIA;37;11722;756;81;12596
150746 SAO JOAO DA PONTA;14;1707;48;7;1776
150747 SAO JOAO DE PIRABAS;41;7098;195;78;7412
150750 SAO JOAO DO ARAGUAIA;12;4505;167;21;4705
150760 SAO MIGUEL DO GUAMA;102;22214;1031;71;23418
150770 SAO SEBASTIAO DA BOA VISTA;53;9777;234;27;10091
150775 SAPUCAIA;7;2011;105;19;2142
150780 SENADOR JOSE PORFIRIO;20;6263;213;149;6645
150790 SOURE;20;8771;278;40;9109
150795 TAILANDIA;196;32452;959;942;34549
150796 TERRA ALTA;31;3897;154;5;4087
150797 TERRA SANTA;33;6486;300;67;6886
150800 TOME-ACU;97;26088;849;760;27794
150803 TRACUATEUA;34;11821;431;259;12545
150805 TRAIRAO;42;5214;114;69;5439
150808 TUCUMA;51;14669;608;110;15438
150810 TUCURUI;358;44345;588;87;45378
150812 ULIANOPOLIS;70;9889;242;11;10212
150815 URUARA;109;17727;688;169;18693
150820 VIGIA;105;16973;739;98;17915
150830 VISEU;61;26148;895;116;27220
150835 VITORIA DO XINGU;30;5724;171;154;6079
150840 XINGUARA;86;18949;701;66;19802
 MUNICIPIO IGNORADO - AP;-;8;-;-;8
160005 SERRA DO NAVIO;14;1752;117;51;1934
160010 AMAPA;11;3563;184;92;3850
160015 PEDRA BRANCA DO AMAPARI;45;4350;37;130;4562
160020 CALCOENE;15;4112;179;71;4377
160021 CUTIAS;12;1978;52;39;2081
160023 FERREIRA GOMES;15;3061;97;32;3205
160025 ITAUBAL;10;2226;32;19;2287
160027 LARANJAL DO JARI;106;18206;843;976;20131
160030 MACAPA;649;194442;8981;1776;205848
160040 MAZAGAO;172;8842;397;598;10009
160050 OIAPOQUE;68;10126;244;236;10674
160053 PORTO GRANDE;75;7334;247;117;7773
160055 PRACUUBA;7;1617;16;18;1658
160060 SANTANA;870;45190;2410;3211;51681
160070 TARTARUGALZINHO;23;5893;126;133;6175
160080 VITORIA DO JARI;41;5850;264;246;6401
 MUNICIPIO IGNORADO - TO;-;47;2;4;53
170025 ABREULANDIA;8;794;39;3;844
170030 AGUIARNOPOLIS;16;1665;63;9;1753
170035 ALIANCA DO TOCANTINS;6;1844;119;11;1980
170040 ALMAS;19;3081;185;23;3308
170070 ALVORADA;14;2685;177;20;2896
170100 ANANAS;24;4322;234;9;4589
170105 ANGICO;8;1010;50;2;1070
170110 APARECIDA DO RIO NEGRO;19;1557;51;15;1642
170130 ARAGOMINAS;6;1852;87;5;1950
170190 ARAGUACEMA;19;2219;121;7;2366
170200 ARAGUACU;25;2532;185;85;2827
170210 ARAGUAINA;406;65565;2744;71;68786
170215 ARAGUANA;19;2017;113;10;2159
170220 ARAGUATINS;77;12801;705;50;13633
170230 ARAPOEMA;16;2666;187;46;2915
170240 ARRAIAS;34;3883;220;90;4227
170255 AUGUSTINOPOLIS;40;7696;374;26;8136
170270 AURORA DO TOCANTINS;11;912;34;17;974
170290 AXIXA DO TOCANTINS;37;4864;300;16;5217
170300 BABACULANDIA;12;2739;141;41;2933
170305 BANDEIRANTES DO TOCANTINS;6;1035;40;11;1092
170307 BARRA DO OURO;12;1713;56;20;1801
170310 BARROLANDIA;17;1753;99;5;1874
170320 BERNARDO SAYAO;9;1368;83;12;1472
170330 BOM JESUS DO TOCANTINS;14;1505;51;4;1574
170360 BRASILANDIA DO TOCANTINS;2;679;43;2;726
170370 BREJINHO DE NAZARE;18;1785;103;40;1946
170380 BURITI DO TOCANTINS;16;3669;206;25;3916
170382 CACHOEIRINHA;4;755;31;7;797
170384 CAMPOS LINDOS;18;2936;67;36;3057
170386 CARIRI DO TOCANTINS;3;1074;51;5;1133
170388 CARMOLANDIA;7;928;44;1;980
170389 CARRASCO BONITO;6;1636;81;6;1729
170390 CASEARA;11;1706;95;8;1820
170410 CENTENARIO;4;744;49;4;801
170460 CHAPADA DE AREIA;2;400;10;-;412
170510 CHAPADA DA NATIVIDADE;10;1061;49;22;1142
170550 COLINAS DO TOCANTINS;61;13769;744;58;14632
170555 COMBINADO;17;1563;105;23;1708
170560 CONCEICAO DO TOCANTINS;9;1519;100;27;1655
170600 COUTO MAGALHAES;7;1574;67;9;1657
170610 CRISTALANDIA;15;2245;163;9;2432
170625 CRIXAS DO TOCANTINS;1;458;20;1;480
170650 DARCINOPOLIS;12;2110;83;9;2214
170700 DIANOPOLIS;57;7479;426;66;8028
170710 DIVINOPOLIS DO TOCANTINS;14;2357;99;9;2479
170720 DOIS IRMAOS DO TOCANTINS;6;1544;114;21;1685
170730 DUERE;5;1432;90;8;1535
170740 ESPERANTINA;27;3937;206;13;4183
170755 FATIMA;8;1292;62;20;1382
170765 FIGUEIROPOLIS;5;1658;93;18;1774
170770 FILADELFIA;23;2769;161;3;2956
170820 FORMOSO DO ARAGUAIA;32;7212;475;30;7749
170825 FORTALEZA DO TABOCAO;11;1052;44;1;1108
170830 GOIANORTE;6;1453;73;3;1535
170900 GOIATINS;40;5718;256;94;6108
170930 GUARAI;57;8961;501;19;9538
170950 GURUPI;103;29395;1527;117;31142
170980 IPUEIRAS;3;587;16;14;620
171050 ITACAJA;26;3035;144;24;3229
171070 ITAGUATINS;12;2059;181;10;2262
171090 ITAPIRATINS;6;1050;61;8;1125
171110 ITAPORA DO TOCANTINS;5;939;54;3;1001
171150 JAU DO TOCANTINS;3;917;19;4;943
171180 JUARINA;3;743;45;5;796
171190 LAGOA DA CONFUSAO;24;4316;97;37;4474
171195 LAGOA DO TOCANTINS;10;1470;71;8;1559
171200 LAJEADO;7;1088;54;5;1154
171215 LAVANDEIRA;7;480;10;7;504
171240 LIZARDA;9;1126;52;51;1238
171245 LUZINOPOLIS;5;998;44;2;1049
171250 MARIANOPOLIS DO TOCANTINS;8;1432;49;8;1497
171270 MATEIROS;2;890;25;12;929
171280 MAURILANDIA DO TOCANTINS;6;935;23;8;972
171320 MIRACEMA DO TOCANTINS;53;8531;634;21;9239
171330 MIRANORTE;18;4447;305;78;4848
171360 MONTE DO CARMO;20;2155;89;42;2306
171370 MONTE SANTO DO TOCANTINS;6;600;27;2;635
171380 PALMEIRAS DO TOCANTINS;6;1661;91;15;1773
171395 MURICILANDIA;6;1354;59;6;1425
171420 NATIVIDADE;30;3129;177;68;3404
171430 NAZARE;14;1550;103;4;1671
171488 NOVA OLINDA;26;4341;233;7;4607
171500 NOVA ROSALANDIA;10;1141;58;3;1212
171510 NOVO ACORDO;12;1549;57;17;1635
171515 NOVO ALEGRE;3;505;22;1;531
171525 NOVO JARDIM;5;908;46;16;975
171550 OLIVEIRA DE FATIMA;2;423;12;9;446
171570 PALMEIRANTE;3;1492;78;6;1579
171575 PALMEIROPOLIS;16;2099;147;31;2293
171610 PARAISO DO TOCANTINS;127;17829;882;21;18859
171620 PARANA;32;3589;181;159;3961
171630 PAU D'ARCO;5;1393;92;21;1511
171650 PEDRO AFONSO;44;5181;207;22;5454
171660 PEIXE;18;3239;152;14;3423
171665 PEQUIZEIRO;4;1484;69;10;1567
171670 COLMEIA;19;3027;195;5;3246
171700 PINDORAMA DO TOCANTINS;13;1423;53;33;1522
171720 PIRAQUE;6;919;62;18;1005
171750 PIUM;16;2170;138;11;2335
171780 PONTE ALTA DO BOM JESUS;8;1379;68;11;1466
171790 PONTE ALTA DO TOCANTINS;19;2583;134;59;2795
171800 PORTO ALEGRE DO TOCANTINS;10;1042;40;14;1106
171820 PORTO NACIONAL;188;21986;1086;436;23696
171830 PRAIA NORTE;13;2929;144;11;3097
171840 PRESIDENTE KENNEDY;9;1322;127;5;1463
171845 PUGMIL;2;767;19;2;790
171850 RECURSOLANDIA;15;1626;86;28;1755
171855 RIACHINHO;6;1454;65;1;1526
171865 RIO DA CONCEICAO;2;725;22;6;755
171870 RIO DOS BOIS;4;881;46;1;932
171875 RIO SONO;15;1602;122;24;1763
171880 SAMPAIO;4;1918;76;12;2010
171884 SANDOLANDIA;10;968;32;25;1035
171886 SANTA FE DO ARAGUAIA;19;2966;150;7;3142
171888 SANTA MARIA DO TOCANTINS;7;945;40;8;1000
171889 SANTA RITA DO TOCANTINS;4;511;25;8;548
171890 SANTA ROSA DO TOCANTINS;15;1781;76;49;1921
171900 SANTA TEREZA DO TOCANTINS;11;1069;41;7;1128
172000 SANTA TEREZINHA DO TOCANTINS;6;758;44;3;811
172010 SAO BENTO DO TOCANTINS;10;1748;73;11;1842
172015 SAO FELIX DO TOCANTINS;4;571;20;5;600
172020 SAO MIGUEL DO TOCANTINS;24;2727;25;24;2800
172025 SAO SALVADOR DO TOCANTINS;5;726;34;20;785
172030 SAO SEBASTIAO DO TOCANTINS;5;1745;81;11;1842
172049 SAO VALERIO;12;1459;54;26;1551
172065 SILVANOPOLIS;20;1905;93;40;2058
172080 SITIO NOVO DO TOCANTINS;21;3477;174;14;3686
172085 SUCUPIRA;1;553;40;1;595
172090 TAGUATINGA;38;4918;321;59;5336
172093 TAIPAS DO TOCANTINS;6;671;34;3;714
172097 TALISMA;2;643;20;5;670
172100 PALMAS;857;98871;3672;423;103823
172110 TOCANTINIA;16;4132;123;31;4302
172120 TOCANTINOPOLIS;70;9801;540;122;10533
172125 TUPIRAMA;3;509;22;2;536
172130 TUPIRATINS;3;557;21;2;583
172208 WANDERLANDIA;28;3430;197;29;3684
172210 XAMBIOA;47;5725;322;22;6116
 MUNICIPIO IGNORADO - MA;-;80;4;-;84
210005 ACAILANDIA;160;42217;1329;3700;47406
210010 AFONSO CUNHA;6;2536;77;171;2790
210015 AGUA DOCE DO MARANHAO;10;3255;96;226;3587
210020 ALCANTARA;19;5418;285;443;6165
210030 ALDEIAS ALTAS;28;10220;153;40;10441
210040 ALTAMIRA DO MARANHAO;13;2390;89;48;2540
210043 ALTO ALEGRE DO MARANHAO;19;9344;54;47;9464
210047 ALTO ALEGRE DO PINDARE;26;11665;590;100;12381
210050 ALTO PARNAIBA;14;4141;211;227;4593
210055 AMAPA DO MARANHAO;4;2513;68;31;2616
210060 AMARANTE DO MARANHAO;97;16586;436;235;17354
210070 ANAJATUBA;33;7208;357;125;7723
210080 ANAPURUS;20;6486;269;152;6927
210083 APICUM-ACU;10;4955;201;480;5646
210087 ARAGUANA;8;3253;79;36;3376
210090 ARAIOSES;76;13502;646;140;14364
210095 ARAME;21;14055;229;113;14418
210100 ARARI;55;10015;600;896;11566
210110 AXIXA;18;3717;143;225;4103
210120 BACABAL;201;40062;1710;489;42462
210125 BACABEIRA;21;5395;163;281;5860
210130 BACURI;21;6047;204;61;6333
210135 BACURITUBA;1;1394;43;31;1469
210140 BALSAS;116;43745;2029;431;46321
210150 BARAO DE GRAJAU;21;6008;256;21;6306
210160 BARRA DO CORDA;223;36006;1411;55;37695
210170 BARREIRINHAS;87;26310;897;217;27511
210173 BELAGUA;7;3955;67;148;4177
210177 BELA VISTA DO MARANHAO;7;3957;191;92;4247
210180 BENEDITO LEITE;4;1619;75;21;1719
210190 BEQUIMAO;16;5789;202;53;6060
210193 BERNARDO DO MEARIM;6;1569;44;116;1735
210197 BOA VISTA DO GURUPI;6;3105;33;40;3184
210200 BOM JARDIM;28;13553;484;123;14188
210203 BOM JESUS DAS SELVAS;51;9783;61;224;10119
210207 BOM LUGAR;11;3604;114;37;3766
210210 BREJO;13;13047;477;234;13771
210215 BREJO DE AREIA;13;3195;108;68;3384
210220 BURITI;44;13182;708;687;14621
210230 BURITI BRAVO;9;9409;219;36;9673
210232 BURITICUPU;105;28595;718;1128;30546
210235 BURITIRANA;20;4595;72;60;4747
210237 CACHOEIRA GRANDE;8;2998;44;134;3184
210240 CAJAPIO;5;3545;208;318;4076
210250 CAJARI;7;5571;85;278;5941
210255 CAMPESTRE DO MARANHAO;25;4980;144;35;5184
210260 CANDIDO MENDES;11;6266;32;77;6386
210270 CANTANHEDE;24;6885;394;114;7417
210275 CAPINZAL DO NORTE;16;3500;91;46;3653
210280 CAROLINA;40;8424;379;23;8866
210290 CARUTAPERA;18;8874;357;97;9346
210300 CAXIAS;128;60971;2417;341;63857
210310 CEDRAL;7;2694;12;103;2816
210312 CENTRAL DO MARANHAO;12;2533;48;384;2977
210315 CENTRO DO GUILHERME;15;4083;43;63;4204
210317 CENTRO NOVO DO MARANHAO;13;6014;117;204;6348
210320 CHAPADINHA;100;33406;1548;3175;38229
210325 CIDELANDIA;26;4273;31;74;4404
210330 CODO;156;49594;2326;544;52620
210340 COELHO NETO;71;20297;1078;745;22191
210350 COLINAS;31;15747;346;129;16253
210355 CONCEICAO DO LAGO-ACU;20;5412;68;106;5606
210360 COROATA;48;27137;1496;346;29027
210370 CURURUPU;24;11376;455;104;11959
210375 DAVINOPOLIS;43;4925;114;123;5205
210380 DOM PEDRO;15;7855;368;96;8334
210390 DUQUE BACELAR;7;4666;158;73;4904
210400 ESPERANTINOPOLIS;33;7643;217;60;7953
210405 ESTREITO;31;13633;608;144;14416
210407 FEIRA NOVA DO MARANHAO;5;2640;28;33;2706
210408 FERNANDO FALCAO;28;4559;99;26;4712
210409 FORMOSA DA SERRA NEGRA;11;6093;172;188;6464
210410 FORTALEZA DOS NOGUEIRAS;7;5058;233;20;5318
210420 FORTUNA;23;7198;271;37;7529
210430 GODOFREDO VIANA;5;3053;146;40;3244
210440 GONCALVES DIAS;13;6054;43;20;6130
210450 GOVERNADOR ARCHER;6;3650;90;56;3802
210455 GOVERNADOR EDISON LOBAO;36;5744;90;96;5966
210460 GOVERNADOR EUGENIO BARROS;10;5873;253;40;6176
210462 GOVERNADOR LUIZ ROCHA;5;3146;146;78;3375
210465 GOVERNADOR NEWTON BELLO;15;3653;91;70;3829
210467 GOVERNADOR NUNES FREIRE;32;12259;605;106;13002
210470 GRACA ARANHA;2;1746;113;32;1893
210480 GRAJAU;55;33854;1235;182;35326
210490 GUIMARAES;2;3738;197;105;4042
210500 HUMBERTO DE CAMPOS;18;10549;203;217;10987
210510 ICATU;56;6814;441;2590;9901
210515 IGARAPE DO MEIO;12;5631;127;56;5826
210520 IGARAPE GRANDE;22;3627;260;252;4161
210530 IMPERATRIZ;675;108561;3617;2004;114857
210535 ITAIPAVA DO GRAJAU;16;5461;63;22;5562
210540 ITAPECURU MIRIM;64;26813;1145;639;28661
210542 ITINGA DO MARANHAO;46;8141;398;123;8708
210545 JATOBA;6;3121;51;40;3218
210547 JENIPAPO DOS VIEIRAS;40;6790;106;99;7035
210550 JOAO LISBOA;56;9889;253;87;10285
210560 JOSELANDIA;11;5605;280;144;6040
210565 JUNCO DO MARANHAO;14;2469;69;18;2570
210570 LAGO DA PEDRA;23;19454;849;880;21206
210580 LAGO DO JUNCO;2;3553;79;157;3791
210590 LAGO VERDE;25;6363;334;452;7174
210592 LAGOA DO MATO;3;2872;47;76;2998
210594 LAGO DOS RODRIGUES;10;2996;127;137;3270
210596 LAGOA GRANDE DO MARANHAO;8;5076;149;68;5301
210598 LAJEADO NOVO;10;2227;74;14;2325
210600 LIMA CAMPOS;25;4464;251;148;4888
210610 LORETO;4;3771;53;33;3861
210620 LUIS DOMINGUES;5;2328;15;133;2481
210630 MAGALHAES DE ALMEIDA;8;5312;281;73;5674
210632 MARACACUME;21;7916;217;64;8218
210635 MARAJA DO SENA;4;2602;76;118;2800
210637 MARANHAOZINHO;17;3878;138;71;4104
210640 MATA ROMA;31;6982;337;216;7566
210650 MATINHA;15;8556;324;175;9070
210660 MATOES;32;10972;444;187;11635
210663 MATOES DO NORTE;6;2563;101;47;2717
210667 MILAGRES DO MARANHAO;4;1969;22;38;2033
210670 MIRADOR;32;7565;319;31;7947
210675 MIRANDA DO NORTE;25;7235;452;182;7894
210680 MIRINZAL;9;3721;150;1600;5480
210690 MONCAO;22;11786;168;121;12097
210700 MONTES ALTOS;21;3232;100;208;3561
210710 MORROS;25;7106;197;353;7681
210720 NINA RODRIGUES;10;5004;158;87;5259
210725 NOVA COLINAS;9;1922;43;10;1984
210730 NOVA IORQUE;4;1182;48;29;1263
210735 NOVA OLINDA DO MARANHAO;10;6169;182;67;6428
210740 OLHO D'AGUA DAS CUNHAS;6;5996;296;259;6557
210745 OLINDA NOVA DO MARANHAO;7;4254;132;254;4647
210750 PACO DO LUMIAR;201;31116;1084;3273;35674
210760 PALMEIRANDIA;16;5340;161;490;6007
210770 PARAIBANO;23;7590;287;72;7972
210780 PARNARAMA;38;11881;665;715;13299
210790 PASSAGEM FRANCA;9;7319;311;201;7840
210800 PASTOS BONS;10;6918;288;81;7297
210805 PAULINO NEVES;23;6556;7;108;6694
210810 PAULO RAMOS;18;8832;331;93;9274
210820 PEDREIRAS;38;13722;844;1456;16060
210825 PEDRO DO ROSARIO;16;7571;212;102;7901
210830 PENALVA;31;14753;544;158;15486
210840 PERI MIRIM;6;3219;83;91;3399
210845 PERITORO;22;8810;346;96;9274
210850 PINDARE-MIRIM;33;12492;709;451;13685
210860 PINHEIRO;98;33041;1022;614;34775
210870 PIO XII;25;10497;256;111;10889
210880 PIRAPEMAS;14;6612;310;228;7164
210890 POCAO DE PEDRAS;17;6825;336;60;7238
210900 PORTO FRANCO;42;9556;367;30;9995
210905 PORTO RICO DO MARANHAO;6;1907;51;110;2074
210910 PRESIDENTE DUTRA;50;17521;951;97;18619
210920 PRESIDENTE JUSCELINO;9;4535;229;129;4902
210923 PRESIDENTE MEDICI;12;2139;72;59;2282
210927 PRESIDENTE SARNEY;21;7017;166;61;7265
210930 PRESIDENTE VARGAS;12;4378;62;222;4674
210940 PRIMEIRA CRUZ;10;4241;133;81;4465
210945 RAPOSA;63;9843;425;1178;11509
210950 RIACHAO;30;8415;176;21;8642
210955 RIBAMAR FIQUENE;10;2556;87;29;2682
210960 ROSARIO;74;13825;709;838;15446
210970 SAMBAIBA;7;1278;6;175;1466
210975 SANTA FILOMENA DO MARANHAO;5;1896;84;21;2006
210980 SANTA HELENA;25;11749;313;80;12167
210990 SANTA INES;82;35874;2246;1118;39320
211000 SANTA LUZIA;61;28944;533;684;30222
211003 SANTA LUZIA DO PARUA;47;8233;118;785;9183
211010 SANTA QUITERIA DO MARANHAO;34;11259;288;246;11827
211020 SANTA RITA;67;12372;503;258;13200
211023 SANTANA DO MARANHAO;9;2751;128;209;3097
211027 SANTO AMARO DO MARANHAO;12;4010;182;235;4439
211030 SANTO ANTONIO DOS LOPES;5;5168;261;256;5690
211040 SAO BENEDITO DO RIO PRETO;21;8553;333;207;9114
211050 SAO BENTO;8;11982;583;403;12976
211060 SAO BERNARDO;22;9812;551;1471;11856
211065 SAO DOMINGOS DO AZEITAO;6;2586;13;47;2652
211070 SAO DOMINGOS DO MARANHAO;39;10853;853;3920;15665
211080 SAO FELIX DE BALSAS;1;1194;80;30;1305
211085 SAO FRANCISCO DO BREJAO;16;2760;140;48;2964
211090 SAO FRANCISCO DO MARANHAO;15;3329;175;134;3653
211100 SAO JOAO BATISTA;9;5843;303;753;6908
211102 SAO JOAO DO CARU;8;4785;19;50;4862
211105 SAO JOAO DO PARAISO;24;3648;97;27;3796
211107 SAO JOAO DO SOTER;16;6249;184;95;6544
