 Nascidos vivos - Brasil;;;;;
Nascim p/resid.mãe por Município e Anomalia congênita;;;;;
Período:2000-2022;;;;;
Município;Sim;Não;Não ou ignorado;Ignorado;Total
420470 CUNHA PORA;16;2663;160;11;2850
420475 CUNHATAI;6;403;20;2;431
420480 CURITIBANOS;53;14582;912;18;15565
420490 DESCANSO;14;2038;130;4;2186
420500 DIONISIO CERQUEIRA;38;4920;343;117;5418
420510 DONA EMMA;8;1101;58;16;1183
420515 DOUTOR PEDRINHO;8;799;34;4;845
420517 ENTRE RIOS;13;1196;75;4;1288
420519 ERMO;4;709;64;2;779
420520 ERVAL VELHO;12;1117;46;8;1183
420530 FAXINAL DOS GUEDES;27;3495;210;11;3743
420535 FLOR DO SERTAO;4;411;18;1;434
420540 FLORIANOPOLIS;1301;120689;5560;774;128324
420543 FORMOSA DO SUL;6;677;58;1;742
420545 FORQUILHINHA;64;7693;316;20;8093
420550 FRAIBURGO;126;12861;774;29;13790
420555 FREI ROGERIO;2;729;56;2;789
420560 GALVAO;9;1018;73;-;1100
420570 GAROPABA;54;5476;227;34;5791
420580 GARUVA;56;5788;242;5;6091
420590 GASPAR;136;17408;687;23;18254
420600 GOVERNADOR CELSO RAMOS;33;3472;201;46;3752
420610 GRAO PARA;11;1701;77;13;1802
420620 GRAVATAL;18;2789;132;11;2950
420630 GUABIRUBA;34;5218;162;3;5417
420640 GUARACIABA;17;2362;157;73;2609
420650 GUARAMIRIM;88;11927;448;16;12479
420660 GUARUJA DO SUL;14;1199;77;4;1294
420665 GUATAMBU;17;1761;78;1;1857
420670 HERVAL D'OESTE;62;6435;367;15;6879
420675 IBIAM;2;459;26;1;488
420680 IBICARE;7;747;57;4;815
420690 IBIRAMA;36;5504;285;12;5837
420700 ICARA;152;17266;901;82;18401
420710 ILHOTA;33;3481;143;2;3659
420720 IMARUI;32;2388;159;5;2584
420730 IMBITUBA;99;11838;559;33;12529
420740 IMBUIA;19;1798;96;6;1919
420750 INDAIAL;147;17606;688;20;18461
420757 IOMERE;7;576;37;1;621
420760 IPIRA;14;1059;66;15;1154
420765 IPORA DO OESTE;10;2277;117;6;2410
420768 IPUACU;40;3165;193;31;3429
420770 IPUMIRIM;26;1944;128;5;2103
420775 IRACEMINHA;11;1032;63;1;1107
420780 IRANI;33;2722;158;6;2919
420785 IRATI;4;557;32;2;595
420790 IRINEOPOLIS;12;2844;169;11;3036
420800 ITA;14;1562;124;31;1731
420810 ITAIOPOLIS;34;6735;414;25;7208
420820 ITAJAI;616;66278;2743;28;69665
420830 ITAPEMA;119;15369;465;66;16019
420840 ITAPIRANGA;17;4660;272;20;4969
420845 ITAPOA;37;4740;151;14;4942
420850 ITUPORANGA;68;8012;386;22;8488
420860 JABORA;14;1077;39;2;1132
420870 JACINTO MACHADO;20;2823;184;71;3098
420880 JAGUARUNA;29;4778;229;6;5042
420890 JARAGUA DO SUL;342;46957;1802;39;49140
420895 JARDINOPOLIS;4;466;29;1;500
420900 JOACABA;76;7805;416;23;8320
420910 JOINVILLE;1830;165328;7812;34;175004
420915 JOSE BOITEUX;20;2063;106;30;2219
420917 JUPIA;4;604;41;-;649
420920 LACERDOPOLIS;6;500;21;9;536
420930 LAGES;455;52337;2910;74;55776
420940 LAGUNA;110;11426;698;202;12436
420945 LAJEADO GRANDE;2;379;15;1;397
420950 LAURENTINO;21;1802;73;3;1899
420960 LAURO MULLER;30;4138;180;10;4358
420970 LEBON REGIS;34;4020;266;21;4341
420980 LEOBERTO LEAL;6;989;56;8;1059
420985 LINDOIA DO SUL;11;1108;57;8;1184
420990 LONTRAS;27;3236;124;3;3390
421000 LUIZ ALVES;21;3387;142;4;3554
421003 LUZERNA;16;1213;78;3;1310
421005 MACIEIRA;3;460;6;3;472
421010 MAFRA;114;17518;956;33;18621
421020 MAJOR GERCINO;4;718;39;6;767
421030 MAJOR VIEIRA;19;2165;124;5;2313
421040 MARACAJA;15;2097;95;2;2209
421050 MARAVILHA;60;7053;264;25;7402
421055 MAREMA;7;441;41;1;490
421060 MASSARANDUBA;33;3983;175;2;4193
421070 MATOS COSTA;7;856;54;4;921
421080 MELEIRO;14;1843;97;2;1956
421085 MIRIM DOCE;5;681;43;4;733
421090 MODELO;9;1019;77;2;1107
421100 MONDAI;29;2441;141;3;2614
421105 MONTE CARLO;13;3601;233;16;3863
421110 MONTE CASTELO;9;2723;163;9;2904
421120 MORRO DA FUMACA;45;5144;254;24;5467
421125 MORRO GRANDE;3;804;46;3;856
421130 NAVEGANTES;162;24784;868;58;25872
421140 NOVA ERECHIM;10;1187;57;5;1259
421145 NOVA ITABERABA;9;1036;78;-;1123
421150 NOVA TRENTO;20;2963;146;25;3154
421160 NOVA VENEZA;27;3612;192;31;3862
421165 NOVO HORIZONTE;11;670;55;1;737
421170 ORLEANS;57;6349;336;11;6753
421175 OTACILIO COSTA;60;5140;165;14;5379
421180 OURO;15;1773;104;6;1898
421185 OURO VERDE;8;577;29;-;614
421187 PAIAL;4;472;30;1;507
421189 PAINEL;7;627;27;1;662
421190 PALHOCA;525;48672;1962;623;51782
421200 PALMA SOLA;11;2564;187;13;2775
421205 PALMEIRA;5;531;9;1;546
421210 PALMITOS;41;3971;225;7;4244
421220 PAPANDUVA;29;5955;358;18;6360
421223 PARAISO;9;1112;87;4;1212
421225 PASSO DE TORRES;17;1870;59;9;1955
421227 PASSOS MAIA;13;1450;97;3;1563
421230 PAULO LOPES;21;1963;108;17;2109
421240 PEDRAS GRANDES;9;866;54;2;931
421250 PENHA;61;7676;325;8;8070
421260 PERITIBA;4;630;34;9;677
421265 PESCARIA BRAVA;16;885;-;1;902
