 Nascidos vivos - Brasil;;;;;;;
Nascim p/resid.mãe por Município e Consult pré-natal;;;;;;;
Período:2000-2022;;;;;;;
Município;Nenhuma;De 1 a 3 consultas;De 4 a 6 consultas;De 1 a 6 consultas, não especificado;7 ou mais consultas;Ignorado;Total
211105 SAO JOAO DO PARAISO;53;719;1871;-;1140;13;3796
211107 SAO JOAO DO SOTER;384;1702;2448;-;1847;163;6544
211110 SAO JOAO DOS PATOS;156;1132;4940;-;3276;171;9675
211120 SAO JOSE DE RIBAMAR;1380;8376;27816;-;23081;557;61210
211125 SAO JOSE DOS BASILIOS;45;458;950;1;1015;10;2479
211130 SAO LUIS;11193;48118;165879;-;166245;5131;396566
211140 SAO LUIS GONZAGA DO MARANHAO;230;1511;4465;-;1622;160;7988
211150 SAO MATEUS DO MARANHAO;309;2315;9784;-;4066;154;16628
211153 SAO PEDRO DA AGUA BRANCA;136;910;2027;-;897;20;3990
211157 SAO PEDRO DOS CRENTES;35;260;681;-;789;1;1766
211160 SAO RAIMUNDO DAS MANGABEIRAS;116;1037;3153;-;2997;67;7370
211163 SAO RAIMUNDO DO DOCA BEZERRA;66;393;742;-;928;17;2146
211167 SAO ROBERTO;25;153;654;-;1144;27;2003
211170 SAO VICENTE FERRER;623;994;3198;-;2385;203;7403
211172 SATUBINHA;76;727;1012;-;777;6;2598
211174 SENADOR ALEXANDRE COSTA;121;597;1491;-;2059;14;4282
211176 SENADOR LA ROCQUE;232;1696;3111;-;2668;87;7794
211178 SERRANO DO MARANHAO;377;1243;1284;-;556;242;3702
211180 SITIO NOVO;182;1418;2924;-;1961;30;6515
211190 SUCUPIRA DO NORTE;48;720;2173;1;951;56;3949
211195 SUCUPIRA DO RIACHAO;51;271;911;-;516;31;1780
211200 TASSO FRAGOSO;63;354;1471;-;1090;14;2992
211210 TIMBIRAS;533;3086;6850;-;1984;88;12541
211220 TIMON;3143;11626;28043;-;22466;773;66051
211223 TRIZIDELA DO VALE;99;1065;3288;-;3566;73;8091
211227 TUFILANDIA;99;477;1199;-;648;10;2433
211230 TUNTUM;127;1472;5135;-;7399;40;14173
211240 TURIACU;1518;5361;4416;-;1727;371;13393
211245 TURILANDIA;1145;2223;2961;-;913;94;7336
211250 TUTOIA;1573;5093;8619;-;6706;182;22173
211260 URBANO SANTOS;643;4727;5435;-;3882;115;14802
211270 VARGEM GRANDE;956;3563;8086;-;8629;115;21349
211280 VIANA;859;6518;10567;-;4208;66;22218
211285 VILA NOVA DOS MARTIRIOS;74;378;1466;-;1574;44;3536
211290 VITORIA DO MEARIM;2249;2560;5106;-;3764;121;13800
211300 VITORINO FREIRE;645;2627;7092;-;2588;124;13076
211400 ZE DOCA;647;5804;8461;-;5710;83;20705
 MUNICIPIO IGNORADO - PI;2;5;4;-;15;2;28
220005 ACAUA;30;166;1050;-;1013;8;2267
220010 AGRICOLANDIA;46;116;615;-;885;43;1705
220020 AGUA BRANCA;116;285;2151;-;3960;40;6552
220025 ALAGOINHA DO PIAUI;16;165;1045;-;1005;10;2241
220027 ALEGRETE DO PIAUI;21;145;676;-;730;10;1582
220030 ALTO LONGA;92;320;1442;-;1592;31;3477
220040 ALTOS;508;1881;6232;-;6174;103;14898
220045 ALVORADA DO GURGUEIA;38;260;745;-;941;10;1994
220050 AMARANTE;144;974;3069;-;2381;45;6613
220060 ANGICAL DO PIAUI;59;157;954;-;1029;15;2214
220070 ANISIO DE ABREU;30;129;1523;-;1538;23;3243
220080 ANTONIO ALMEIDA;14;105;475;-;469;9;1072
220090 AROAZES;44;240;579;-;972;3;1838
220095 AROEIRAS DO ITAIM;2;27;191;-;233;2;455
220100 ARRAIAL;20;289;588;-;738;17;1652
220105 ASSUNCAO DO PIAUI;145;563;1303;-;1239;70;3320
220110 AVELINO LOPES;155;905;2333;-;1250;9;4652
220115 BAIXA GRANDE DO RIBEIRO;74;898;2311;-;2007;47;5337
220117 BARRA D'ALCANTARA;11;86;386;-;735;4;1222
220120 BARRAS;389;1821;7239;-;9209;198;18856
220130 BARREIRAS DO PIAUI;74;237;354;-;327;31;1023
220140 BARRO DURO;86;147;809;-;1200;50;2292
220150 BATALHA;169;927;4024;-;3759;56;8935
220155 BELA VISTA DO PIAUI;8;96;412;-;721;12;1249
220157 BELEM DO PIAUI;12;60;382;-;385;9;848
220160 BENEDITINOS;95;343;964;-;1582;32;3016
220170 BERTOLINIA;20;247;993;-;667;33;1960
220173 BETANIA DO PIAUI;72;403;1224;-;1056;21;2776
220177 BOA HORA;45;154;798;-;1269;39;2305
220180 BOCAINA;8;128;509;-;527;9;1181
220190 BOM JESUS;178;1189;3296;-;6078;42;10783
220191 BOM PRINCIPIO DO PIAUI;51;398;1287;-;751;31;2518
220192 BONFIM DO PIAUI;19;109;724;-;978;19;1849
220194 BOQUEIRAO DO PIAUI;36;84;943;-;1217;17;2297
220196 BRASILEIRA;46;218;1147;1;902;10;2324
220198 BREJO DO PIAUI;10;90;460;-;755;5;1320
220200 BURITI DOS LOPES;191;1255;4266;-;2600;72;8384
220202 BURITI DOS MONTES;38;254;994;-;863;22;2171
220205 CABECEIRAS DO PIAUI;43;202;1110;-;1718;45;3118
220207 CAJAZEIRAS DO PIAUI;12;84;479;-;374;1;950
220208 CAJUEIRO DA PRAIA;68;343;1146;-;778;28;2363
220209 CALDEIRAO GRANDE DO PIAUI;41;128;517;1;1011;6;1704
220210 CAMPINAS DO PIAUI;30;287;711;-;684;17;1729
220211 CAMPO ALEGRE DO FIDALGO;52;248;507;-;797;12;1616
220213 CAMPO GRANDE DO PIAUI;18;202;885;-;919;6;2030
220217 CAMPO LARGO DO PIAUI;83;342;1180;-;981;18;2604
220220 CAMPO MAIOR;189;748;6500;-;8457;121;16015
220225 CANAVIEIRA;28;186;597;-;430;11;1252
220230 CANTO DO BURITI;108;503;2766;-;3772;17;7166
220240 CAPITAO DE CAMPOS;60;186;1492;-;2187;21;3946
220245 CAPITAO GERVASIO OLIVEIRA;43;254;491;-;496;10;1294
220250 CARACOL;83;340;1430;-;2125;58;4036
220253 CARAUBAS DO PIAUI;70;344;927;-;683;14;2038
220255 CARIDADE DO PIAUI;33;154;812;-;766;4;1769
220260 CASTELO DO PIAUI;75;403;3532;-;3523;37;7570
220265 CAXINGO;56;297;980;-;788;20;2141
220270 COCAL;266;1883;4269;-;3851;58;10327
220271 COCAL DE TELHA;16;58;645;-;972;6;1697
220272 COCAL DOS ALVES;27;285;867;-;688;7;1874
220273 COIVARAS;23;89;488;-;583;2;1185
220275 COLONIA DO GURGUEIA;36;156;919;-;1071;5;2187
220277 COLONIA DO PIAUI;27;152;1078;-;972;34;2263
220280 CONCEICAO DO CANINDE;47;243;618;-;784;10;1702
220285 CORONEL JOSE DIAS;24;108;558;-;653;9;1352
220290 CORRENTE;317;1585;4960;-;3598;76;10536
220300 CRISTALANDIA DO PIAUI;53;450;1237;-;1201;19;2960
220310 CRISTINO CASTRO;97;696;1459;-;1944;37;4233
220320 CURIMATA;37;550;2538;-;1762;26;4913
220323 CURRAIS;67;470;792;-;752;12;2093
220325 CURRALINHOS;71;157;453;-;593;33;1307
220327 CURRAL NOVO DO PIAUI;52;221;775;-;746;6;1800
220330 DEMERVAL LOBAO;149;482;1843;-;2526;91;5091
220335 DIRCEU ARCOVERDE;34;290;831;-;954;35;2144
220340 DOM EXPEDITO LOPES;19;170;831;-;933;12;1965
220342 DOMINGOS MOURAO;35;277;720;-;520;8;1560
220345 DOM INOCENCIO;75;332;1021;-;919;19;2366
220350 ELESBAO VELOSO;71;186;2509;-;1696;17;4479
220360 ELISEU MARTINS;11;87;525;-;774;9;1406
220370 ESPERANTINA;200;1434;7081;-;6959;45;15719
220375 FARTURA DO PIAUI;65;311;696;-;637;24;1733
220380 FLORES DO PIAUI;12;143;768;-;649;4;1576
220385 FLORESTA DO PIAUI;9;32;286;-;306;5;638
220390 FLORIANO;266;1677;10418;-;9881;47;22289
220400 FRANCINOPOLIS;30;135;779;-;690;16;1650
220410 FRANCISCO AYRES;43;141;779;-;548;7;1518
220415 FRANCISCO MACEDO;11;65;387;-;353;7;823
220420 FRANCISCO SANTOS;32;196;1003;-;1267;13;2511
220430 FRONTEIRAS;204;365;1128;-;1920;15;3632
220435 GEMINIANO;27;254;856;-;798;7;1942
220440 GILBUES;127;971;1730;-;1590;55;4473
220450 GUADALUPE;56;355;1807;-;1760;40;4018
220455 GUARIBAS;221;208;582;-;848;9;1868
220460 HUGO NAPOLEAO;23;44;385;-;701;7;1160
220465 ILHA GRANDE;59;530;1985;-;1085;36;3695
220470 INHUMA;79;347;1651;-;2807;40;4924
220480 IPIRANGA DO PIAUI;38;246;1347;-;1507;13;3151
220490 ISAIAS COELHO;40;174;1179;-;1621;21;3035
220500 ITAINOPOLIS;30;283;1278;-;1497;11;3099
220510 ITAUEIRA;30;224;1759;-;1541;6;3560
220515 JACOBINA DO PIAUI;42;220;767;-;818;12;1859
220520 JAICOS;185;673;3514;-;2748;59;7179
220525 JARDIM DO MULATO;24;120;567;-;438;13;1162
220527 JATOBA DO PIAUI;23;81;761;-;698;6;1569
220530 JERUMENHA;31;210;739;-;561;6;1547
220535 JOAO COSTA;10;135;411;-;376;1;933
220540 JOAQUIM PIRES;127;821;2534;-;1857;34;5373
220545 JOCA MARQUES;76;251;1090;-;585;19;2021
220550 JOSE DE FREITAS;333;1020;7021;-;5324;63;13761
220551 JUAZEIRO DO PIAUI;35;213;738;-;715;12;1713
220552 JULIO BORGES;25;262;866;-;749;15;1917
220553 JUREMA;24;136;789;-;878;28;1855
220554 LAGOINHA DO PIAUI;14;46;336;-;475;6;877
220555 LAGOA ALEGRE;100;278;1436;-;891;23;2728
220556 LAGOA DO BARRO DO PIAUI;25;177;578;-;867;19;1666
220557 LAGOA DE SAO FRANCISCO;58;297;867;-;740;16;1978
220558 LAGOA DO PIAUI;35;106;504;-;548;17;1210
220559 LAGOA DO SITIO;19;80;447;-;991;3;1540
220560 LANDRI SALES;17;108;865;-;890;2;1882
220570 LUIS CORREIA;209;1784;6005;-;3143;68;11209
220580 LUZILANDIA;406;1369;5266;-;2778;68;9887
220585 MADEIRO;66;258;1790;-;1117;20;3251
220590 MANOEL EMIDIO;23;114;927;-;789;4;1857
220595 MARCOLANDIA;66;331;1078;-;1665;11;3151
220600 MARCOS PARENTE;24;171;642;-;809;2;1648
220605 MASSAPE DO PIAUI;69;231;773;-;736;23;1832
220610 MATIAS OLIMPIO;144;435;1986;-;1765;24;4354
220620 MIGUEL ALVES;499;1683;6003;-;4370;466;13021
220630 MIGUEL LEAO;20;40;137;-;190;8;395
220635 MILTON BRANDAO;85;380;805;-;645;14;1929
220640 MONSENHOR GIL;117;195;1136;-;1550;44;3042
220650 MONSENHOR HIPOLITO;22;251;1089;-;1209;21;2592
220660 MONTE ALEGRE DO PIAUI;75;542;1644;-;1645;112;4018
220665 MORRO CABECA NO TEMPO;29;195;750;-;547;7;1528
220667 MORRO DO CHAPEU DO PIAUI;43;249;1016;-;1089;13;2410
220669 MURICI DOS PORTELAS;111;685;1304;-;692;26;2818
220670 NAZARE DO PIAUI;28;208;1366;-;788;15;2405
220672 NAZARIA;118;207;694;-;892;100;2011
220675 NOSSA SENHORA DE NAZARE;17;45;479;-;808;8;1357
220680 NOSSA SENHORA DOS REMEDIOS;144;636;1745;-;1274;23;3822
220690 NOVO ORIENTE DO PIAUI;28;112;713;-;1018;12;1883
220695 NOVO SANTO ANTONIO;22;80;275;-;362;3;742
220700 OEIRAS;167;1127;7175;-;4453;51;12973
220710 OLHO D'AGUA DO PIAUI;19;35;320;-;599;9;982
220720 PADRE MARCOS;39;240;1141;-;854;19;2293
220730 PAES LANDIM;47;237;599;-;648;12;1543
220735 PAJEU DO PIAUI;18;50;259;-;468;2;797
220740 PALMEIRA DO PIAUI;30;321;766;-;800;11;1928
220750 PALMEIRAIS;227;642;1917;6;1797;93;4682
220755 PAQUETA;13;153;491;-;511;7;1175
220760 PARNAGUA;81;777;2008;-;1344;102;4312
220770 PARNAIBA;689;6637;27410;-;20362;477;55575
220775 PASSAGEM FRANCA DO PIAUI;98;113;455;-;765;44;1475
220777 PATOS DO PIAUI;31;208;720;-;724;13;1696
220779 PAU D'ARCO DO PIAUI;26;92;336;-;438;8;900
220780 PAULISTANA;179;1210;3870;-;3329;50;8638
220785 PAVUSSU;31;137;507;-;460;6;1141
220790 PEDRO II;574;3131;6796;-;4175;134;14810
220793 PEDRO LAURENTINO;13;114;314;-;408;8;857
220795 NOVA SANTA RITA;30;186;644;-;732;6;1598
220800 PICOS;289;2591;10464;-;13382;104;26830
220810 PIMENTEIRAS;58;489;1658;-;1385;17;3607
220820 PIO IX;174;449;2245;-;3487;28;6383
220830 PIRACURUCA;88;937;3456;-;5642;37;10160
220840 PIRIPIRI;289;1156;9154;-;11732;131;22462
220850 PORTO;150;799;2441;-;2207;74;5671
220855 PORTO ALEGRE DO PIAUI;13;63;305;-;548;6;935
220860 PRATA DO PIAUI;31;131;362;-;440;16;980
220865 QUEIMADA NOVA;83;393;1147;-;1037;14;2674
220870 REDENCAO DO GURGUEIA;31;509;1848;-;1432;41;3861
220880 REGENERACAO;111;601;2980;-;3078;52;6822
220885 RIACHO FRIO;61;378;769;-;596;16;1820
220887 RIBEIRA DO PIAUI;44;192;600;-;476;14;1326
220890 RIBEIRO GONCALVES;60;361;1146;-;1028;69;2664
220900 RIO GRANDE DO PIAUI;44;187;884;-;974;15;2104
220910 SANTA CRUZ DO PIAUI;16;126;1066;-;885;9;2102
220915 SANTA CRUZ DOS MILAGRES;32;101;295;-;501;9;938
220920 SANTA FILOMENA;88;649;941;-;786;32;2496
220930 SANTA LUZ;37;244;680;-;1180;38;2179
220935 SANTANA DO PIAUI;11;135;585;-;597;9;1337
220937 SANTA ROSA DO PIAUI;10;138;815;-;745;9;1717
220940 SANTO ANTONIO DE LISBOA;30;224;1008;-;631;6;1899
220945 SANTO ANTONIO DOS MILAGRES;20;32;328;-;337;9;726
220950 SANTO INACIO DO PIAUI;20;54;497;-;541;-;1112
220955 SAO BRAZ DO PIAUI;10;81;404;-;893;9;1397
220960 SAO FELIX DO PIAUI;9;40;231;-;329;2;611
220965 SAO FRANCISCO DE ASSIS DO PIAUI;22;207;754;-;830;10;1823
220970 SAO FRANCISCO DO PIAUI;31;228;1185;-;551;6;2001
220975 SAO GONCALO DO GURGUEIA;18;127;441;-;312;4;902
220980 SAO GONCALO DO PIAUI;32;105;524;-;900;15;1576
220985 SAO JOAO DA CANABRAVA;38;182;715;-;510;9;1454
220987 SAO JOAO DA FRONTEIRA;108;276;863;-;650;17;1914
220990 SAO JOAO DA SERRA;41;193;813;-;793;14;1854
220995 SAO JOAO DA VARJOTA;16;115;859;-;604;3;1597
220997 SAO JOAO DO ARRAIAL;55;279;1428;-;1465;20;3247
221000 SAO JOAO DO PIAUI;151;959;2900;-;4026;61;8097
221005 SAO JOSE DO DIVINO;26;246;727;-;799;5;1803
221010 SAO JOSE DO PEIXE;25;106;670;-;494;4;1299
221020 SAO JOSE DO PIAUI;21;194;1116;-;1022;11;2364
221030 SAO JULIAO;21;165;776;-;970;12;1944
221035 SAO LOURENCO DO PIAUI;12;104;402;-;700;12;1230
221037 SAO LUIS DO PIAUI;14;107;407;-;255;7;790
221038 SAO MIGUEL DA BAIXA GRANDE;44;77;202;-;195;17;535
221039 SAO MIGUEL DO FIDALGO;26;172;530;-;295;4;1027
221040 SAO MIGUEL DO TAPUIO;153;683;2138;-;3100;268;6342
221050 SAO PEDRO DO PIAUI;115;395;1944;-;2331;75;4860
221060 SAO RAIMUNDO NONATO;151;1140;4889;-;6876;135;13191
221062 SEBASTIAO BARROS;44;326;770;-;409;32;1581
221063 SEBASTIAO LEAL;9;138;621;-;552;6;1326
221065 SIGEFREDO PACHECO;46;173;1079;-;1285;13;2596
221070 SIMOES;104;533;2785;-;2257;20;5699
221080 SIMPLICIO MENDES;59;672;1587;-;2029;48;4395
221090 SOCORRO DO PIAUI;36;191;637;-;499;11;1374
221093 SUSSUAPARA;20;158;885;-;916;11;1990
221095 TAMBORIL DO PIAUI;6;70;402;-;592;6;1076
221097 TANQUE DO PIAUI;12;53;343;-;370;2;780
221100 TERESINA;12394;24909;106664;-;172684;4135;320786
221110 UNIAO;659;2525;6991;-;6935;142;17252
221120 URUCUI;239;1069;4690;-;3420;33;9451
221130 VALENCA DO PIAUI;101;392;2305;-;4372;13;7183
221135 VARZEA BRANCA;27;152;679;-;877;21;1756
221140 VARZEA GRANDE;24;85;498;-;792;14;1413
221150 VERA MENDES;9;53;445;-;500;3;1010
221160 VILA NOVA DO PIAUI;3;37;285;-;498;4;827
221170 WALL FERRAZ;16;96;621;-;563;21;1317
 MUNICIPIO IGNORADO - CE;2;5;17;-;11;2;37
230010 ABAIARA;24;112;942;-;2104;7;3189
230015 ACARAPE;57;274;2040;-;2553;43;4967
230020 ACARAU;266;1071;8864;-;12893;51;23145
230030 ACOPIARA;182;1186;5650;1;9102;39;16160
230040 AIUABA;78;319;1873;-;2556;67;4893
230050 ALCANTARAS;70;180;875;-;2263;9;3397
230060 ALTANEIRA;12;119;997;1;1287;12;2428
230070 ALTO SANTO;46;71;1527;-;3054;21;4719
230075 AMONTADA;255;930;7880;-;7400;78;16543
230080 ANTONINA DO NORTE;48;173;762;-;1520;27;2530
230090 APUIARES;102;173;1306;-;2126;39;3746
230100 AQUIRAZ;573;1651;8015;-;13090;353;23682
230110 ARACATI;340;1295;5919;-;15857;132;23543
230120 ARACOIABA;114;551;3295;-;4775;68;8803
230125 ARARENDA;41;259;1134;1;1920;41;3396
230130 ARARIPE;51;346;3502;-;5583;44;9526
230140 ARATUBA;43;157;1473;-;2613;42;4328
230150 ARNEIROZ;46;195;798;-;1277;68;2384
230160 ASSARE;123;465;2626;1;4039;175;7429
