 Nascidos vivos - Brasil;;;;;;;
Nascim p/resid.mãe por Município e Consult pré-natal;;;;;;;
Período:2000-2022;;;;;;;
Município;Nenhuma;De 1 a 3 consultas;De 4 a 6 consultas;De 1 a 6 consultas, não especificado;7 ou mais consultas;Ignorado;Total
240485 ITAJA;23;121;1447;-;998;17;2606
240490 ITAU;20;106;465;-;1046;3;1640
240500 JACANA;32;176;845;-;1539;46;2638
240510 JANDAIRA;112;263;916;-;1081;24;2396
240520 JANDUIS;22;89;758;-;878;8;1755
240530 JANUARIO CICCO;119;304;1185;-;1471;50;3129
240540 JAPI;38;134;893;-;1418;31;2514
240550 JARDIM DE ANGICOS;29;74;322;-;355;4;784
240560 JARDIM DE PIRANHAS;53;191;1417;-;2394;20;4075
240570 JARDIM DO SERIDO;19;48;734;-;2064;11;2876
240580 JOAO CAMARA;622;1092;4940;-;6084;106;12844
240590 JOAO DIAS;14;30;495;-;338;2;879
240600 JOSE DA PENHA;11;24;319;-;1581;7;1942
240610 JUCURUTU;52;383;2003;-;3212;31;5681
240615 JUNDIA;20;57;313;-;387;15;792
240620 LAGOA D'ANTA;43;113;851;-;1105;22;2134
240630 LAGOA DE PEDRAS;53;215;975;-;1006;48;2297
240640 LAGOA DE VELHOS;12;67;423;-;457;14;973
240650 LAGOA NOVA;61;303;2124;-;3086;25;5599
240660 LAGOA SALGADA;109;318;1310;-;1562;69;3368
240670 LAJES;39;174;801;-;1942;35;2991
240680 LAJES PINTADAS;15;105;587;-;953;11;1671
240690 LUCRECIA;14;21;444;-;559;3;1041
240700 LUIS GOMES;22;161;956;-;2583;32;3754
240710 MACAIBA;577;1735;8613;-;11405;176;22506
240720 MACAU;124;743;2643;-;4078;60;7648
240725 MAJOR SALES;8;23;280;-;959;4;1274
240730 MARCELINO VIEIRA;14;98;1045;-;1469;7;2633
240740 MARTINS;41;95;830;-;1462;16;2444
240750 MAXARANGUAPE;145;527;1441;-;1204;29;3346
240760 MESSIAS TARGINO;18;53;550;-;745;4;1370
240770 MONTANHAS;171;280;1510;-;1963;67;3991
240780 MONTE ALEGRE;238;556;2465;-;3051;115;6425
240790 MONTE DAS GAMELEIRAS;19;21;344;-;596;20;1000
240800 MOSSORO;1247;3685;40996;-;42766;333;89027
240810 NATAL;6748;27590;92471;-;149710;4954;281473
240820 NISIA FLORESTA;292;933;3150;-;3329;167;7871
240830 NOVA CRUZ;389;1053;5775;-;5367;196;12780
240840 OLHO-D'AGUA DO BORGES;21;68;440;-;531;8;1068
240850 OURO BRANCO;11;45;289;-;1068;12;1425
240860 PARANA;8;39;315;-;992;3;1357
240870 PARAU;25;78;671;-;419;11;1204
240880 PARAZINHO;91;150;708;-;1157;9;2115
240890 PARELHAS;67;322;2123;-;4816;16;7344
240895 RIO DO FOGO;129;384;1338;-;1845;30;3726
240910 PASSA E FICA;47;146;1333;-;1971;54;3551
240920 PASSAGEM;21;55;392;-;434;16;918
