 Nascidos vivos - Brasil;;;;;;;
Nascim p/resid.mãe por Município e Cor/raça;;;;;;;
Período:2000-2022;;;;;;;
Município;Branca;Preta;Amarela;Parda;Indígena;Ignorado;Total
270440 MAJOR ISIDORO;721;78;17;6070;18;211;7115
270450 MARAGOGI;1085;151;32;11295;13;242;12818
270460 MARAVILHA;324;48;13;3527;4;107;4023
270470 MARECHAL DEODORO;2900;172;20;16446;28;161;19727
270480 MARIBONDO;473;72;25;4273;8;86;4937
270490 MAR VERMELHO;202;12;3;786;1;34;1038
270500 MATA GRANDE;754;133;39;8142;25;164;9257
270510 MATRIZ DE CAMARAGIBE;1499;244;11;8645;9;170;10578
270520 MESSIAS;802;78;17;5930;22;43;6892
270530 MINADOR DO NEGRAO;302;34;11;1556;11;290;2204
270540 MONTEIROPOLIS;183;40;8;2991;1;31;3254
270550 MURICI;1676;96;23;10615;13;119;12542
270560 NOVO LINO;680;103;13;3557;7;77;4437
270570 OLHO D'AGUA DAS FLORES;1071;202;39;7528;18;136;8994
270580 OLHO D'AGUA DO CASADO;125;71;29;3243;10;46;3524
270590 OLHO D'AGUA GRANDE;147;20;10;1802;10;109;2098
270600 OLIVENCA;287;27;15;3993;6;138;4466
270610 OURO BRANCO;474;93;15;3895;9;137;4623
270620 PALESTINA;57;46;3;2155;3;11;2275
270630 PALMEIRA DOS INDIOS;3344;467;99;26632;440;321;31303
270640 PAO DE ACUCAR;279;139;13;10086;20;58;10595
270642 PARICONHA;145;37;6;3569;418;68;4243
270644 PARIPUEIRA;450;34;7;4339;7;27;4864
270650 PASSO DE CAMARAGIBE;763;95;36;4973;18;79;5964
270660 PAULO JACINTO;687;64;5;1731;7;72;2566
270670 PENEDO;2535;215;17;20362;31;2606;25766
270680 PIACABUCU;779;154;11;5923;11;755;7633
270690 PILAR;1591;194;38;11710;25;474;14032
270700 PINDOBA;220;17;1;714;-;50;1002
270710 PIRANHAS;552;131;21;10471;19;106;11300
270720 POCO DAS TRINCHEIRAS;347;92;25;4963;4;238;5669
270730 PORTO CALVO;2055;139;8;9197;8;286;11693
270740 PORTO DE PEDRAS;264;62;8;2527;5;106;2972
270750 PORTO REAL DO COLEGIO;746;105;32;5771;429;541;7624
270760 QUEBRANGULO;870;187;56;3206;42;125;4486
270770 RIO LARGO;4082;297;42;22307;30;415;27173
270780 ROTEIRO;727;17;1;2957;2;7;3711
270790 SANTA LUZIA DO NORTE;304;35;6;2519;-;12;2876
270800 SANTANA DO IPANEMA;1439;119;82;18546;31;780;20997
270810 SANTANA DO MUNDAU;994;33;8;3187;8;48;4278
270820 SAO BRAS;314;48;15;2059;4;166;2606
270830 SAO JOSE DA LAJE;2465;160;152;7272;14;53;10116
270840 SAO JOSE DA TAPERA;825;246;43;13281;25;194;14614
270850 SAO LUIS DO QUITUNDE;1564;217;78;12802;25;234;14920
270860 SAO MIGUEL DOS CAMPOS;4884;119;5;18803;10;558;24379
270870 SAO MIGUEL DOS MILAGRES;226;27;2;2218;5;61;2539
270880 SAO SEBASTIAO;1233;106;46;12218;112;782;14497
270890 SATUBA;537;48;8;4295;7;43;4938
270895 SENADOR RUI PALMEIRA;428;137;14;4864;7;115;5565
270900 TANQUE D'ARCA;163;18;3;1732;4;63;1983
270910 TAQUARANA;387;38;21;6883;8;214;7551
270915 TEOTONIO VILELA;2678;171;28;14968;19;324;18188
270920 TRAIPU;786;127;74;8063;48;322;9420
270930 UNIAO DOS PALMARES;7040;127;51;21140;15;228;28601
270940 VICOSA;2558;87;10;7855;6;432;10948
 MUNICIPIO IGNORADO - SE;3;1;-;8;-;9;21
280010 AMPARO DE SAO FRANCISCO;91;43;5;583;3;117;842
280020 AQUIDABA;1098;149;66;4589;13;902;6817
280030 ARACAJU;28031;9862;1981;104828;349;67546;212597
280040 ARAUA;232;66;13;3697;14;179;4201
280050 AREIA BRANCA;505;122;18;5512;7;565;6729
280060 BARRA DOS COQUEIROS;785;650;131;5850;23;3261;10700
280067 BOQUIM;502;182;33;7822;28;656;9223
280070 BREJO GRANDE;231;236;22;2342;5;362;3198
280100 CAMPO DO BRITO;852;75;4;5171;8;92;6202
280110 CANHOBA;238;119;16;1161;1;240;1775
280120 CANINDE DE SAO FRANCISCO;1242;178;62;11041;24;586;13133
280130 CAPELA;718;403;88;10762;32;831;12834
280140 CARIRA;1264;186;20;5938;11;309;7728
280150 CARMOPOLIS;376;316;47;4562;27;675;6003
280160 CEDRO DE SAO JOAO;317;26;17;1179;2;314;1855
280170 CRISTINAPOLIS;390;116;18;6435;10;528;7497
280190 CUMBE;143;18;12;981;2;87;1243
280200 DIVINA PASTORA;59;160;15;862;7;626;1729
280210 ESTANCIA;1578;326;41;23019;22;942;25928
280220 FEIRA NOVA;486;48;9;1538;2;165;2248
280230 FREI PAULO;531;49;11;4615;9;202;5417
280240 GARARU;798;147;27;2300;5;409;3686
280250 GENERAL MAYNARD;42;69;6;631;7;146;901
280260 GRACHO CARDOSO;486;28;6;1292;2;114;1928
280270 ILHA DAS FLORES;304;165;29;2595;10;392;3495
280280 INDIAROBA;285;172;22;6453;14;201;7147
280290 ITABAIANA;6123;269;61;27124;29;575;34181
280300 ITABAIANINHA;1249;199;58;12464;19;1627;15616
280310 ITABI;335;26;8;917;4;158;1448
280320 ITAPORANGA D'AJUDA;559;728;138;8449;98;2993;12965
280330 JAPARATUBA;353;259;42;4599;30;844;6127
280340 JAPOATA;393;234;43;4065;15;524;5274
280350 LAGARTO;6368;312;154;26707;158;2230;35929
280360 LARANJEIRAS;507;953;79;5574;32;3886;11031
