 Nascidos vivos - Brasil;;;;;;;
Nascim p/resid.mãe por Município e Cor/raça;;;;;;;
Período:2000-2022;;;;;;;
Município;Branca;Preta;Amarela;Parda;Indígena;Ignorado;Total
220300 CRISTALANDIA DO PIAUI;342;386;24;2153;5;50;2960
220310 CRISTINO CASTRO;434;159;22;3551;9;58;4233
220320 CURIMATA;184;62;42;4589;12;24;4913
220323 CURRAIS;158;79;9;1835;8;4;2093
220325 CURRALINHOS;61;62;7;1043;5;129;1307
220327 CURRAL NOVO DO PIAUI;350;46;48;1320;-;36;1800
220330 DEMERVAL LOBAO;414;214;60;3904;15;484;5091
220335 DIRCEU ARCOVERDE;429;111;21;1563;1;19;2144
220340 DOM EXPEDITO LOPES;821;31;2;1100;-;11;1965
220342 DOMINGOS MOURAO;172;28;7;1173;2;178;1560
220345 DOM INOCENCIO;701;128;37;1477;3;20;2366
220350 ELESBAO VELOSO;435;229;45;3571;8;191;4479
220360 ELISEU MARTINS;184;86;25;1089;4;18;1406
220370 ESPERANTINA;1545;609;232;12702;36;595;15719
220375 FARTURA DO PIAUI;240;116;28;1330;2;17;1733
220380 FLORES DO PIAUI;190;79;15;1265;9;18;1576
220385 FLORESTA DO PIAUI;62;10;-;559;1;6;638
220390 FLORIANO;2717;1605;255;17486;30;196;22289
220400 FRANCINOPOLIS;81;77;12;1281;2;197;1650
220410 FRANCISCO AYRES;144;83;32;1245;1;13;1518
220415 FRANCISCO MACEDO;208;11;7;588;2;7;823
220420 FRANCISCO SANTOS;1020;21;2;1445;2;21;2511
220430 FRONTEIRAS;1260;115;13;2206;4;34;3632
220435 GEMINIANO;606;27;-;1290;1;18;1942
220440 GILBUES;368;288;29;3714;13;61;4473
220450 GUADALUPE;737;223;62;2891;22;83;4018
220455 GUARIBAS;536;91;36;1179;4;22;1868
220460 HUGO NAPOLEAO;86;33;12;942;3;84;1160
220465 ILHA GRANDE;519;59;15;3012;12;78;3695
220470 INHUMA;663;227;92;3886;13;43;4924
220480 IPIRANGA DO PIAUI;841;137;1;2149;-;23;3151
220490 ISAIAS COELHO;451;555;11;1972;3;43;3035
220500 ITAINOPOLIS;1103;93;13;1859;4;27;3099
220510 ITAUEIRA;427;263;21;2818;10;21;3560
220515 JACOBINA DO PIAUI;625;43;28;1054;3;106;1859
220520 JAICOS;1015;308;81;5555;34;186;7179
220525 JARDIM DO MULATO;92;59;9;925;5;72;1162
220527 JATOBA DO PIAUI;67;19;3;1423;1;56;1569
220530 JERUMENHA;164;104;39;1222;1;17;1547
220535 JOAO COSTA;225;46;8;633;3;18;933
220540 JOAQUIM PIRES;810;222;207;3947;24;163;5373
220545 JOCA MARQUES;112;49;9;1730;7;114;2021
220550 JOSE DE FREITAS;361;245;45;12090;13;1007;13761
220551 JUAZEIRO DO PIAUI;225;61;31;1344;-;52;1713
220552 JULIO BORGES;64;38;7;1776;3;29;1917
220553 JUREMA;443;69;11;1302;5;25;1855
220554 LAGOINHA DO PIAUI;70;27;11;710;4;55;877
220555 LAGOA ALEGRE;120;61;12;2299;8;228;2728
220556 LAGOA DO BARRO DO PIAUI;527;53;27;1021;3;35;1666
220557 LAGOA DE SAO FRANCISCO;335;29;5;1395;3;211;1978
220558 LAGOA DO PIAUI;58;46;15;975;3;113;1210
220559 LAGOA DO SITIO;221;47;13;1242;3;14;1540
220560 LANDRI SALES;124;123;43;1576;1;15;1882
220570 LUIS CORREIA;1721;121;33;8976;37;321;11209
220580 LUZILANDIA;925;218;80;8187;28;449;9887
220585 MADEIRO;225;79;27;2794;11;115;3251
220590 MANOEL EMIDIO;123;40;6;1656;7;25;1857
220595 MARCOLANDIA;437;70;19;2600;6;19;3151
220600 MARCOS PARENTE;100;126;24;1387;-;11;1648
220605 MASSAPE DO PIAUI;324;127;28;1288;12;53;1832
220610 MATIAS OLIMPIO;457;137;54;3550;9;147;4354
220620 MIGUEL ALVES;874;552;171;10193;30;1201;13021
220630 MIGUEL LEAO;20;16;5;317;1;36;395
220635 MILTON BRANDAO;483;32;6;1291;1;116;1929
220640 MONSENHOR GIL;153;97;27;2405;2;358;3042
220650 MONSENHOR HIPOLITO;1073;48;7;1453;1;10;2592
220660 MONTE ALEGRE DO PIAUI;224;233;33;3463;10;55;4018
220665 MORRO CABECA NO TEMPO;127;36;7;1333;6;19;1528
220667 MORRO DO CHAPEU DO PIAUI;232;54;44;1974;6;100;2410
220669 MURICI DOS PORTELAS;457;87;7;2173;5;89;2818
220670 NAZARE DO PIAUI;137;141;19;2087;4;17;2405
220672 NAZARIA;62;168;12;1664;2;103;2011
220675 NOSSA SENHORA DE NAZARE;44;10;2;1257;1;43;1357
220680 NOSSA SENHORA DOS REMEDIOS;151;91;24;3363;5;188;3822
220690 NOVO ORIENTE DO PIAUI;168;64;34;1594;10;13;1883
220695 NOVO SANTO ANTONIO;80;28;16;556;5;57;742
220700 OEIRAS;798;355;37;11566;81;136;12973
220710 OLHO D'AGUA DO PIAUI;49;25;13;816;2;77;982
220720 PADRE MARCOS;740;162;18;1327;8;38;2293
220730 PAES LANDIM;260;86;49;1122;4;22;1543
220735 PAJEU DO PIAUI;101;35;8;643;1;9;797
220740 PALMEIRA DO PIAUI;292;46;11;1553;9;17;1928
220750 PALMEIRAIS;243;350;119;3568;15;387;4682
220755 PAQUETA;429;39;6;691;1;9;1175
220760 PARNAGUA;399;340;20;3449;5;99;4312
220770 PARNAIBA;11733;776;196;41201;203;1466;55575
220775 PASSAGEM FRANCA DO PIAUI;96;71;19;1126;4;159;1475
220777 PATOS DO PIAUI;424;46;22;1165;3;36;1696
220779 PAU D'ARCO DO PIAUI;39;14;4;776;-;67;900
220780 PAULISTANA;2569;568;196;4859;11;435;8638
220785 PAVUSSU;175;57;15;880;5;9;1141
220790 PEDRO II;3360;301;22;10253;8;866;14810
220793 PEDRO LAURENTINO;240;74;4;516;3;20;857
220795 NOVA SANTA RITA;386;134;46;997;4;31;1598
220800 PICOS;11184;446;18;14958;9;215;26830
220810 PIMENTEIRAS;818;129;31;2537;10;82;3607
220820 PIO IX;1648;142;39;4479;10;65;6383
220830 PIRACURUCA;975;199;104;8350;16;516;10160
220840 PIRIPIRI;1458;450;56;17479;50;2969;22462
220850 PORTO;322;235;50;4713;22;329;5671
220855 PORTO ALEGRE DO PIAUI;92;194;41;600;-;8;935
220860 PRATA DO PIAUI;124;41;6;724;-;85;980
220865 QUEIMADA NOVA;943;285;193;1130;5;118;2674
220870 REDENCAO DO GURGUEIA;242;313;58;3196;13;39;3861
220880 REGENERACAO;312;561;40;5522;35;352;6822
220885 RIACHO FRIO;163;107;12;1508;-;30;1820
220887 RIBEIRA DO PIAUI;197;158;19;936;3;13;1326
220890 RIBEIRO GONCALVES;552;99;70;1827;2;114;2664
220900 RIO GRANDE DO PIAUI;285;159;31;1605;7;17;2104
220910 SANTA CRUZ DO PIAUI;395;60;18;1603;5;21;2102
220915 SANTA CRUZ DOS MILAGRES;61;25;4;787;1;60;938
220920 SANTA FILOMENA;213;78;54;1981;14;156;2496
220930 SANTA LUZ;253;64;22;1793;14;33;2179
220935 SANTANA DO PIAUI;574;17;1;736;-;9;1337
220937 SANTA ROSA DO PIAUI;73;76;3;1533;5;27;1717
220940 SANTO ANTONIO DE LISBOA;690;26;4;1167;-;12;1899
220945 SANTO ANTONIO DOS MILAGRES;30;19;9;610;5;53;726
220950 SANTO INACIO DO PIAUI;136;21;2;936;1;16;1112
220955 SAO BRAZ DO PIAUI;367;61;13;937;2;17;1397
220960 SAO FELIX DO PIAUI;64;30;3;461;1;52;611
220965 SAO FRANCISCO DE ASSIS DO PIAUI;796;64;32;897;-;34;1823
220970 SAO FRANCISCO DO PIAUI;167;145;15;1637;6;31;2001
220975 SAO GONCALO DO GURGUEIA;104;64;2;717;1;14;902
220980 SAO GONCALO DO PIAUI;116;80;9;1209;4;158;1576
220985 SAO JOAO DA CANABRAVA;550;19;3;869;-;13;1454
220987 SAO JOAO DA FRONTEIRA;171;28;13;1461;5;236;1914
220990 SAO JOAO DA SERRA;194;109;27;1428;1;95;1854
220995 SAO JOAO DA VARJOTA;81;80;5;1414;6;11;1597
220997 SAO JOAO DO ARRAIAL;328;90;38;2670;1;120;3247
221000 SAO JOAO DO PIAUI;1670;922;109;5202;21;173;8097
221005 SAO JOSE DO DIVINO;207;44;21;1422;4;105;1803
221010 SAO JOSE DO PEIXE;104;98;54;1028;2;13;1299
221020 SAO JOSE DO PIAUI;856;75;7;1408;5;13;2364
221030 SAO JULIAO;762;34;-;1132;3;13;1944
221035 SAO LOURENCO DO PIAUI;333;36;17;833;-;11;1230
221037 SAO LUIS DO PIAUI;339;17;1;426;-;7;790
221038 SAO MIGUEL DA BAIXA GRANDE;62;18;4;399;2;50;535
221039 SAO MIGUEL DO FIDALGO;67;46;4;896;3;11;1027
221040 SAO MIGUEL DO TAPUIO;428;236;148;5156;20;354;6342
221050 SAO PEDRO DO PIAUI;248;367;44;3732;13;456;4860
221060 SAO RAIMUNDO NONATO;3096;654;130;9157;11;143;13191
221062 SEBASTIAO BARROS;272;88;8;1179;2;32;1581
221063 SEBASTIAO LEAL;185;59;64;1002;3;13;1326
221065 SIGEFREDO PACHECO;157;26;9;2309;3;92;2596
221070 SIMOES;923;302;205;4236;18;15;5699
221080 SIMPLICIO MENDES;452;213;31;3617;22;60;4395
221090 SOCORRO DO PIAUI;212;120;22;990;3;27;1374
221093 SUSSUAPARA;810;17;1;1139;1;22;1990
221095 TAMBORIL DO PIAUI;151;34;3;874;2;12;1076
221097 TANQUE DO PIAUI;71;26;1;662;2;18;780
221100 TERESINA;37753;8739;1238;229601;324;43131;320786
221110 UNIAO;628;841;106;14258;42;1377;17252
221120 URUCUI;1008;378;399;7482;38;146;9451
221130 VALENCA DO PIAUI;780;184;47;6092;10;70;7183
221135 VARZEA BRANCA;282;145;27;1285;2;15;1756
221140 VARZEA GRANDE;159;115;24;1062;9;44;1413
221150 VERA MENDES;281;41;3;675;2;8;1010
221160 VILA NOVA DO PIAUI;356;6;1;461;-;3;827
221170 WALL FERRAZ;170;29;8;1099;4;7;1317
 MUNICIPIO IGNORADO - CE;7;-;-;24;-;6;37
230010 ABAIARA;608;32;5;2462;9;73;3189
230015 ACARAPE;229;71;16;4278;5;368;4967
230020 ACARAU;2819;349;76;19552;81;268;23145
230030 ACOPIARA;2497;205;40;13129;53;236;16160
230040 AIUABA;1758;126;19;2408;19;563;4893
230050 ALCANTARAS;176;30;18;3132;5;36;3397
230060 ALTANEIRA;783;45;19;1541;6;34;2428
230070 ALTO SANTO;1015;98;61;3402;13;130;4719
230075 AMONTADA;2246;357;129;11393;17;2401;16543
230080 ANTONINA DO NORTE;813;70;14;1542;2;89;2530
230090 APUIARES;630;60;8;2411;6;631;3746
230100 AQUIRAZ;2213;205;55;18308;62;2839;23682
230110 ARACATI;2761;378;145;19667;46;546;23543
230120 ARACOIABA;636;118;53;7564;14;418;8803
230125 ARARENDA;706;45;24;2564;10;47;3396
230130 ARARIPE;2528;214;34;6425;10;315;9526
230140 ARATUBA;230;39;11;3695;37;316;4328
230150 ARNEIROZ;590;63;6;1436;4;285;2384
230160 ASSARE;2240;139;90;4812;20;128;7429
230170 AURORA;3586;148;118;4022;59;127;8060
230180 BAIXIO;342;25;15;1326;6;45;1759
230185 BANABUIU;1000;140;21;5280;16;150;6607
230190 BARBALHA;3752;378;133;14154;8;6942;25367
230195 BARREIRA;898;184;18;5608;6;461;7175
230200 BARRO;1446;130;412;4222;17;173;6400
230205 BARROQUINHA;692;63;30;4592;11;32;5420
230210 BATURITE;113;45;27;11715;7;689;12596
230220 BEBERIBE;1338;291;287;12078;40;911;14945
230230 BELA CRUZ;2230;331;55;6608;15;751;9990
230240 BOA VIAGEM;3472;542;117;12949;51;497;17628
230250 BREJO SANTO;3075;187;32;13053;86;272;16705
230260 CAMOCIM;2183;230;237;21615;26;136;24427
230270 CAMPOS SALES;5045;258;103;4617;33;140;10196
